,name,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002
46,"		RetainedEarnings","174,432,000","177,510,000","308,290,000","311,511,000","359,998,000","485,949,000","-174,730,000","-165,894,000","-156,055,000","-141,190,881","-65,533,668.30","-87,309,322.10","-77,133,546","-66,188,853","-15,063,380.02","-10,878,833.48","-7,171,974.52","-2,085,298.65","-1,076,158.94"
47,"		TreasuryStock","2,749,000","3,210,000",,"4,503,000",,,,,,,,,,,,,,,
48,"		OtherEquityInterest","439,000","327,000",,"3,996,000","-117,000","-105,000","-489,000","-489,000","-489,000",,,,,0,0,0,,,
49,"	MinorityInterest",,,,0,"31,000","2,440,000","1,303,000",,,,,,,,,,,,
50,TotalCapitalization,"165,618,000","168,123,000","297,625,000","301,445,000","361,944,000","503,452,000","586,220,000","570,019,000","579,431,000","472,994,749.50","411,560,652.90","425,912,097.10","377,021,685.60","309,358,980","155,269,965.63","58,539,337.92","292,993.63","4,370,852.16","4,904,034.83"
51,CommonStockEquity,"165,618,000","168,123,000","297,625,000","301,445,000","361,944,000","503,452,000","586,220,000","570,019,000","579,431,000","472,994,749.50","411,560,652.90","425,912,097.10","377,021,685.60","309,358,980","155,269,965.63","58,539,337.92","292,993.63","4,370,852.16","4,904,034.83"
52,CapitalLeaseObligations,"36,000",,,,,,,,,,,,,,,,,,
53,NetTangibleAssets,"165,618,000","168,123,000","297,625,000","301,445,000","361,944,000","503,452,000","586,220,000","570,019,000","154,017,000","132,357,420","107,210,526","137,807,626.60","170,866,382.40","159,650,829","79,596,437.42","38,316,852.97","-13,259,326.66","-1,246,214.19","70,517.54"
54,WorkingCapital,"13,449,000","18,100,000","97,874,000","128,570,000","147,453,000","199,334,000","36,077,000","36,582,000","152,766,000","131,554,670","106,463,972.10","136,881,097.50","95,779,378.80","95,719,851","78,892,420.27","37,714,961.31","-13,259,326.66","-1,246,214.19","70,517.54"
55,InvestedCapital,"165,618,000","168,123,000","297,625,000","301,445,000","361,944,000","503,452,000","586,220,000","570,019,000","579,431,000","472,994,749.50","411,560,652.90","425,912,097.10","377,021,685.60","309,358,980","155,269,965.63","58,539,337.92","9,292,083.71","5,300,961.55","4,904,034.83"
56,TangibleBookValue,"165,618,000","168,123,000","297,625,000","301,445,000","361,944,000","503,452,000","586,220,000","570,019,000","154,017,000","132,357,420","107,210,526","137,807,626.60","170,866,382.40","159,650,829","79,596,437.42","38,316,852.97","-13,259,326.66","-1,246,214.19","70,517.54"
57,TotalDebt,"36,000",,,,,,,,,,,,,,,,"8,999,090.08","930,109.40",
58,NetDebt,,,,,,,,,,,,,,,,,"8,704,276.62","906,939.41",
59,ShareIssued,"335,272,933","335,272,933","335,272,933","332,647,279","327,275,601","324,348,616","324,221,343","294,751,343","294,630,343","215,934,313","193,367,525","192,973,318","86,873,318","74,520,000","29,607,000","21,107,000","21,107,000","21,107,000","21,107,000"
60,OrdinarySharesNumber,"327,465,652","335,272,933","335,272,933","332,647,279","327,275,601","324,348,616","324,221,343","294,751,343","294,630,343","215,934,313","193,367,525","192,973,318","86,873,318","74,520,000","29,607,000","21,107,000","21,107,000","21,107,000","21,107,000"
61,TreasurySharesNumber,"7,807,281",,,,,,,,0,,,,,,,,,,
0,TotalRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,"	OperatingRevenue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,CostOfRevenue,,,,,,,0,0,0,,,,,,,,,,
