,name,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,ttm
42,NetInterestIncome,,"-269,000","-705,000","-884,000","-979,000","-980,000","-572,000","-518,000","-281,000","-30,000","76,000",,"-564,000",,"-241,000",,,,
43,EBIT,"-2,099,000","3,229,000","-534,000","-378,000","-1,282,000","-1,717,000","-1,700,000","-2,138,000","-3,057,000","-1,372,000","-2,366,000","-2,474,000","187,000","-2,152,000","-902,000","-800,000","-700,000","-1,000,000","-820,942"
44,EBITDA,,,,,,,,,,,,,,,,,,,"-820,942"
45,ReconciledCostOfRevenue,0,"718,000","861,000","914,000","2,289,000","1,976,000","1,677,000","1,519,000","573,000","574,000","1,336,000","1,708,000","4,962,000","4,318,000","12,197,000","12,900,000","12,900,000","12,500,000","70,886"
46,ReconciledDepreciation,,"89,000","207,000","199,000","215,000","187,000","92,000","169,000","146,000","136,000","111,000","354,000","1,366,000","1,297,000",,"1,200,000","1,100,000","1,100,000",
47,NetIncomeFromContinuingOperationNetMinorityInterest,"-2,595,000","2,864,000","3,311,000","-953,000","-1,522,000","-2,302,000","937,000","-1,490,000","-4,391,000","-1,453,000","-2,772,000","-2,343,000","-573,000","-2,428,000","-140,000","-400,000","700,000","-600,000","-1,683,583"
48,TotalUnusualItemsExcludingGoodwill,"-573,000","5,609,000","5,004,000","312,000","665,000","-4,485,000","2,918,000","810,000","-2,687,000","11,000","-490,000","121,000","-96,000","-173,000","1,003,000","500,000","1,500,000","500,000","-474,581"
49,TotalUnusualItems,"-573,000","5,609,000","5,004,000","312,000","665,000","-4,485,000","2,918,000","810,000","-2,687,000","11,000","-490,000","121,000","-96,000","-173,000","1,003,000","500,000","1,500,000","500,000","-474,581"
50,NormalizedEBITDA,"-1,526,000","-2,291,000","-5,331,000","-491,000","-1,732,000","2,955,000","-4,526,000","-2,779,000","-224,000","-1,247,000","-1,765,000","-2,241,000","1,649,000","-682,000","-596,000","-100,000","-1,100,000","-400,000","-346,361"
51,TaxRateForCalcs,0.029,0.021,0,0,0.011,0.015,0.112,0,0,0.048,0,0.021,0.211,0.017,0,0,0,0,0
52,TaxEffectOfUnusualItems,"-16,512.35","118,526.926",0,0,"7,345.679","-69,243.494","326,373.46",0,0,526.212,0,"2,530.719","-20,295.983","-2,897.822",0,0,0,0,0
