,name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
49,NetInterestIncome,"-17,170,000","-15,720,000","-16,248,000","-13,832,000","-19,747,000","-9,202,000","-3,071,000","-4,476,000","-7,273,000","-15,404,000","-15,347,000","-8,525,000",,,,,,,,,,,,,,,,,,,,,,,,
50,EBIT,"-612,024,000","-26,034,000","40,106,000","-164,851,000","-49,754,000","680,683,000","1,100,968,000","1,120,426,000","911,233,000","704,422,000","455,394,000","589,305,000","703,945,000","632,319,000","417,286,000","179,206,000","72,211,000","46,231,000","92,200,000","235,070,000","139,839,000","71,400,000","153,000,000","131,700,000","64,500,000","14,200,000","30,700,000","43,300,000","24,700,000","11,900,000","67,600,000","38,300,000","32,800,000","38,800,000","11,000,000","7,900,000"
51,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ReconciledCostOfRevenue,"1,672,450,000","2,371,389,000","2,236,412,000","1,834,860,000","1,497,392,000","2,311,155,000","2,533,461,000","2,308,391,000","1,750,510,000","1,432,602,000","1,071,959,000","1,011,558,000","1,086,666,000","862,254,000","661,563,000","484,205,000","416,621,000","345,357,000","335,768,000","445,942,000","338,090,000","342,500,000","356,300,000","283,100,000","235,900,000","210,300,000","223,800,000","201,700,000","149,000,000","111,800,000","109,100,000","77,300,000","70,500,000","61,500,000","65,100,000","103,600,000"
53,ReconciledDepreciation,"481,885,000","562,803,000","583,802,000","585,543,000","598,587,000","606,992,000","523,549,000","455,623,000","387,549,000","315,468,000","262,658,000","236,437,000","210,766,000","146,042,000","101,583,000","96,300,000","94,435,000","82,693,000","62,569,000","88,787,000","112,386,000","110,700,000","89,800,000","72,500,000","61,100,000","77,100,000","50,100,000","48,600,000","47,700,000","40,300,000","41,600,000","41,700,000","37,600,000","34,200,000","38,500,000","40,400,000"
54,NetIncomeFromContinuingOperationNetMinorityInterest,"-496,392,000","-32,510,000","493,010,000","-127,863,000","-52,990,000","422,272,000","708,766,000","721,453,000","573,609,000","434,668,000","286,081,000","353,545,000","461,738,000","449,261,000","293,858,000","127,606,000","4,359,000","17,873,000","53,706,000","144,254,000","82,300,000","42,800,000","101,200,000","84,200,000","45,400,000","9,800,000","21,000,000","24,600,000","10,800,000","21,200,000","47,600,000","22,700,000","20,200,000","22,000,000","7,000,000","18,500,000"
55,TotalUnusualItemsExcludingGoodwill,"-526,263,000","-239,124,000","-467,000","20,627,000","-22,343,000","-27,526,000","64,819,000","181,044,000","19,477,000","-40,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
56,TotalUnusualItems,"-526,263,000","-239,124,000","-467,000","20,627,000","-22,343,000","-27,526,000","64,819,000","181,044,000","19,477,000","-40,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
57,NormalizedEBITDA,"396,124,000","775,893,000","624,375,000","400,065,000","571,176,000","1,315,201,000","1,559,698,000","1,395,005,000","1,279,305,000","1,019,930,000","716,265,000","824,934,000","881,350,000","656,077,000","490,872,000","235,222,000","190,560,000","120,971,000","126,325,000","313,265,000","220,252,000","178,500,000","237,200,000","201,900,000","118,100,000","90,200,000","79,900,000","91,900,000","77,000,000","30,200,000","106,100,000","79,900,000","70,400,000","73,000,000","49,500,000","25,100,000"
58,TaxRateForCalcs,0.22,0.365,0.27,0.307,0.271,0.366,0.354,0.353,0.36,0.367,0.347,0.4,0.365,0.364,0.35,0.4,0.4,0.4,0.4,0.396,0.4,0.375,0.359,0.351,0.362,0.338,0.327,0.4,0.4,0.367,0.318,0.302,0.238,0.315,0.4,0.236
59,TaxEffectOfUnusualItems,"-115,777,860","-87,280,260","-126,090","6,332,489","-6,054,953","-10,074,516","22,945,926","63,908,532","7,011,720","-14,694.29","620,444.20","323,200","12,180,717.01","44,457,440.55","9,801,975.20","16,113,600","-9,565,600","3,181,200","11,377,600","4,191,125.49","12,789,200","1,350,656.93","2,010,892.97","806,861.99","2,717,696.63","371,621.62","294,230.77",0,"-1,840,000","8,077,611.94","985,959.89","30,153.85",0,0,0,"5,464,462.81"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.102388365,-0.005763492,0.077664092,-0.019908733,-0.008317893,0.059035835,0.105434938,0.117583295,0.101562029,0.086769676,0.036646762,0.084965864,0.128687907,0.155703135,0.137656977,0.076716265,0.003098425,0.012623646,0.051752894,0.105718769,0.065343805,0.038568983,0.092809978,0.081462848,0.088210245,0.01379893,0.040012804,0.040268456,0.018445773,0.036856745,0.081660662,0.038396482,0.035039029,0.038508664,0.012428977,0.030032468
2,ROA2,-0.092696728,-0.005584027,0.076282502,-0.019320665,-0.008127556,0.060866205,0.109145457,0.122917472,0.108353622,0.093682981,0.037100568,0.091248381,0.142656719,0.178985558,0.154741023,0.083125692,0.003088555,0.013524025,0.049013435,0.109949737,0.069475163,0.038907322,0.095291902,0.090757208,0.094641342,0.014681648,0.040462896,0.04112337,0.01860946,0.036611692,0.081083383,0.038879849,0.03519777,0.038783605,0.011872456,#REF!
3,ROE,-0.149011576,-0.008388367,0.110130318,-0.030786216,-0.012459753,0.086213198,0.14490336,0.165770535,0.151511161,0.132776685,0.055677275,0.131771828,0.203815184,0.247456371,0.212649035,0.118237127,0.004768573,0.019485397,0.070955238,0.140533105,0.086114619,0.050465747,0.127600555,0.107865744,0.112229102,0.01742532,0.047682624,0.048339556,0.021893371,0.043168397,0.099270073,0.051195309,0.046889508,0.052281369,0.017148457,0.043234401
4,ROC,-0.12862483,-0.007493133,0.098975066,-0.027528114,-0.011246896,0.077772307,0.14257137,0.158801973,0.142762969,0.119939327,0.049349243,0.110206985,0.166860665,0.198742676,0.185327693,0.099751571,0.00391254,0.01557898,0.063825276,0.13400565,0.081833305,0.047392315,0.113976799,0.107179226,0.111367127,0.016777949,0.047682624,0.047472019,0.021483986,0.042510527,0.094108343,0.044137663,0.040055523,0.044141252,0.014242116,0.035700502
5,OperatingMargin,-0.049427626,0.07333169,0.012893665,-0.107033641,-0.018231386,0.222173151,0.278302028,0.27681371,0.282497441,0.276155767,0.24093705,0.308088856,0.345656831,0.388007177,0.340693641,0.223804398,0.116295287,0.089719456,0.180455955,0.284294446,0.221581537,0.126528442,0.240339303,0.254296196,0.166451613,0.043585021,0.09331307,0.137416693,0.103045474,0.0625,0.283438155,0.223714953,0.210391276,0.252111761,0.068578554,0.046800948
6,NetMargin,-0.278758371,-0.012026486,0.194057094,-0.071041773,-0.034987613,0.133385838,0.190530867,0.217450689,0.184353268,0.170677709,0.083359198,0.186662042,0.226726369,0.275678087,0.239920706,0.159362878,0.007020138,0.034685727,0.124316929,0.174461271,0.130408259,0.075846181,0.158969526,0.162579649,0.187096774,0.030079804,0.075987842,0.078070454,0.04505632,0.111344538,0.199580713,0.132593458,0.129570237,0.142949968,0.043640898,0.109597156
7,CurrentRatio,4.396023474,2.718144102,2.957700547,3.586878058,4.763982794,4.097073696,2.516848398,2.781972393,2.348668814,2.294807897,2.806093587,1.732102045,2.235414637,2.201842797,1.620465851,5.585509773,4.10473599,2.229016678,2.452036379,2.733948738,3.360762542,2.233657858,1.468525896,1.659663866,1.827476038,1.652298851,2.631691649,3.243534483,3.707520891,4.182352941,3.723562152,3.12244898,6.105660377,6.676470588,5.608510638,4.587878788
8,QuickRatio,3.920610945,2.353348544,2.538433801,3.188475108,4.387377317,3.730562484,2.30751725,2.585484873,2.141993997,2.164250628,2.619529054,1.583966533,2.128286461,2.073230897,1.521561305,5.34732513,3.757073936,1.974745537,2.143239276,2.495260722,3.036301873,1.883171071,1.266135458,1.453781513,1.557507987,1.346264368,2.182012848,2.864224138,3.217270195,3.691176471,3.536178108,2.959183673,5.81509434,6.31512605,5.323404255,4.327272727
9,D/Eratio,0.158497749,0.119473918,0.112707704,0.11835544,0.107839309,0.108533376,0.01635665,0.043882084,0.061277737,0.107032101,0.128229559,0.195675825,0.221469326,0.245109379,0.147421796,0.185315936,0.218792049,0.25074925,0.111710625,0.048710297,0.052317509,0.064850843,0.119530954,0.006405329,0.007739938,0.038584637,0,0.01827471,0.019055342,0.015475463,0.054848801,0.159900767,0.170612813,0.184410646,0.204066634,0.211030615
10,EPS,-4.409185095,-0.300284808,4.309226652,-1.14519095,-0.510124121,3.804255659,6.413247186,6.774403531,5.400102226,4.048600701,1.460069683,3.302371771,4.312974407,4.341317558,2.829117375,1.228526113,0.043205098,0.178229659,0.635034484,1.446799464,0.823321556,0.431225567,1.024644108,0.841528744,0.728321144,0.098929941,0.252934035,0.249624548,0.109863281,0.198027201,0.486011844,0.234775774,0.188686295,0.205499925,0.065454817,0.183925873
