,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985,ttm
10,			FinishedGoods,"23,709,000","40,429,000","28,418,000","22,559,000","17,960,000","18,897,000","56,653,000","54,425,000","56,578,000","88,421,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,		PrepaidAssets,,,,,,,,,,,,,,,,,,,"167,152,000","81,588,000",,,,,,,,,,,,,,,,,
12,		CurrentDeferredAssets,,,,,,,"118,230,000","121,316,000","110,480,000","127,874,000","31,510,000","125,163,000","28,083,000","12,757,000","38,081,000","199,196,000","39,599,000","36,442,000","32,846,000","28,145,000",,,,,,,,,,,,,,,,,
13,			CurrentDeferredTaxesAssets,,,,,,,"118,230,000","121,316,000","110,480,000","127,874,000","31,510,000","125,163,000","28,083,000","12,757,000","38,081,000","199,196,000","39,599,000","36,442,000","32,846,000","28,145,000",,,,,,,,,,,,,,,,,
14,		AssetsHeldForSaleCurrent,"16,562,000","2,530,000","12,250,000","37,052,000","76,668,000","75,678,000","146,467,000","243,264,000","383,857,000","401,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,		OtherCurrentAssets,"109,595,000","164,257,000","177,604,000","180,134,000","172,019,000","187,135,000","193,438,000","272,781,000","226,560,000","170,044,000","504,884,000","135,791,000","243,379,000","252,280,000","116,534,000","121,191,000","159,568,000","125,756,000",,,"99,034,000","118,200,000","48,800,000","35,500,000","41,400,000","24,800,000","13,200,000","16,300,000","12,300,000","9,500,000","4,200,000","4,100,000","3,500,000","3,000,000","7,800,000","6,400,000",
16,	TotalNonCurrentAssets,"4,371,963,000","5,511,992,000","6,260,381,000","6,954,648,000","7,031,176,000","8,061,943,000","9,138,068,000","9,405,981,000","9,523,165,000","9,823,826,000","9,033,639,000","8,468,026,000","8,301,389,000","7,898,270,000","6,637,447,000","4,613,099,000","4,281,635,000","4,087,045,000","3,693,964,000","3,120,969,000","2,118,550,000","1,936,700,000","1,184,700,000","928,400,000","542,800,000","400,100,000","258,900,000","238,600,000","207,800,000","179,400,000","126,100,000","43,200,000","28,700,000","33,900,000","100,100,000","106,900,000",
17,		NetPPE,"3,985,707,000","4,930,549,000","5,467,870,000","6,109,565,000","6,267,583,000","7,027,802,000","8,599,125,000","8,597,813,000","8,712,088,000","8,629,946,000","7,815,419,000","7,646,050,000","7,282,042,000","6,689,126,000","5,410,101,000","3,886,924,000","3,275,495,000","2,990,792,000","2,781,050,000","2,433,247,000","1,821,392,000","1,669,500,000","1,127,200,000","861,400,000","511,200,000","383,700,000","230,400,000","230,800,000","199,200,000","168,400,000","99,300,000","37,600,000","23,900,000","33,400,000","99,800,000","106,600,000",
18,			GrossPPE,"13,112,640,000","13,615,622,000","13,695,384,000","13,929,857,000","13,556,735,000","13,336,457,000","15,427,115,000","15,244,631,000","14,436,262,000","13,598,711,000","12,490,965,000","11,435,674,000","10,311,740,000","9,198,801,000","7,433,590,000","5,582,194,000","4,675,332,000","4,097,010,000","3,636,955,000","3,136,722,000","2,417,486,000","2,152,400,000","1,528,800,000","1,177,000,000","762,100,000","596,100,000","403,100,000","371,400,000","325,600,000","283,000,000","206,400,000","154,900,000","155,700,000","222,700,000","222,100,000","219,600,000",
19,				Properties,0,0,0,0,0,0,0,0,0,0,"11,310,920,000","9,529,340,000",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
