,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
48,TotalUnusualItems,"-128,876,000",0,"-1,271,000","1,910,000",,"2,573,000","-96,706,000","-124,004,000","-23,872,000","-26,276,000","609,000","-38,200,133",
49,NormalizedEBITDA,"-39,727,000","591,991,000","25,555,000","12,839,000",,"419,995,000","363,754,000","215,471,000","174,727,000","80,859,000","29,598,000","-13,871,877","-936,568"
50,TaxRateForCalcs,0.27,0.032,0.27,0.4,,0.35,0.35,0.35,0.35,0.35,0.182,0.014,0.34
51,TaxEffectOfUnusualItems,"-34,796,520",0,"-343,170","764,000",,"900,550","-33,847,100","-43,401,400","-8,355,200","-9,196,600","111,085.75","-533,040.70",0
,,,,,,,,,,,,,,
1,ROA1,-0.352801757,0.417822078,-0.125241465,-0.138290054,0,0.011900199,-0.02255286,-0.041160193,-0.037668316,-0.023751569,0.007897754,-0.071215039,0.016157041
2,ROA2,-0.29515371,0.410515881,-0.127870044,-0.133524994,0,0.011736798,-0.022861414,-0.051410413,-0.038757601,-0.030476179,0.009906624,-0.100705854,
3,ROE,-0.632926586,0.793413169,0.713570247,-0.770771736,0,0.532610847,0.317414374,0.039965874,0.124080294,0.027525771,0.028046342,-0.105092573,-0.005060824
4,ROC,-0.381485112,0.454021431,-0.135464485,-0.149613842,0,0.012791677,-0.023918403,-0.043894591,-0.041157248,-0.02527833,0.008116897,-0.073262575,0.023800081
5,OperatingMargin,-0.886475067,0.527815017,-0.200600672,-0.302542683,#DIV/0!,0.335030912,0.350960304,0.311013167,0.226958801,0.168507523,0.164647108,-57.16052917,#DIV/0!
6,NetMargin,-2.181259952,0.598981663,-0.626666135,-0.703724759,#DIV/0!,0.047976098,-0.111773625,-0.308192215,-0.164729225,-0.170899739,0.07927852,-51.90708518,#DIV/0!
7,CurrentRatio,5.206359051,4.518677729,5.231865929,4.305491743,5.623647142,1.291719715,1.338591386,3.349712852,1.726378595,1.989135398,1.268210421,0.656378105,29.73452031
8,QuickRatio,4.17557678,3.886705429,4.507064389,3.670423186,4.804118852,1.034383372,1.093666197,3.165198913,1.564056975,1.818885969,1.099745484,0.656378105,29.73452031
9,D/Eratio,0.930492754,0.536955799,-17.14267386,12.03997395,3.83475459,4.909677257,5.768157861,4.823010282,1.790469241,1.443942811,0.608374763,0.302627505,0
10,EPS,-21.09938631,34.74899707,-28.29330009,-29.95668246,0,0.136468188,-0.269071789,-0.484917253,-0.274518354,-0.164228046,0.047197467,-0.625798906,0.10509751
