,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
13,"	InterestIncomeNonOperating","9,012,000","6,007,000","8,302,000","5,449,000","18,000","36,286,000","-1,298,000","2,754,000","5,188,000","1,484,000","9,886,000","6,843,000",,,,,,,,,,,,,,,,,,,,,,,,
14,"	InterestExpenseNonOperating","164,653,000","279,435,000","297,611,000","291,989,000","222,915,000","213,854,000","156,477,000","106,300,000","85,763,000","55,727,000","9,457,000","1,685,000",,,,,,,,,,,,,,,,,,,,,,,,
15,OtherIncomeExpense,"-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","21,056,000","12,871,000",,,,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
16,"	GainOnSaleOfSecurity",,,,,,,,"46,800,000","33,255,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"	SpecialIncomeCharges","-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","-25,744,000","-20,384,000",,0,,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
18,"		RestructuringAndMergernAcquisition","23,930,000",,,,,,,"17,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"		ImpairmentOfCapitalAssets","3,915,408,000","615,294,000","802,133,000","121,639,000","1,458,749,000","418,298,000","745,428,000","43,688,000","20,384,000",,0,,,,,,,,,,,,,,,,,,,,,,,,,
20,"		WriteOff",,"615,294,000","802,133,000","121,639,000","1,458,749,000","418,298,000","745,428,000","43,688,000","20,384,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"		OtherSpecialCharges","-17,254,000","-30,616,000","1,793,000",,"-17,814,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"		GainOnSaleOfPPE",,,,,,,0,"35,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PretaxIncome,"-4,238,862,000","-909,085,000","-1,237,176,000","-449,812,000","-967,029,000","742,433,000","29,465,000","1,018,012,000","703,225,000","436,250,000","916,509,000","2,015,902,000","1,912,458,000","1,488,902,000","921,287,000","364,092,000","161,817,000","186,984,000","243,325,000","349,992,000","226,307,000","125,500,000","230,900,000","379,600,000","102,000,000","4,900,000","27,200,000","21,600,000","-5,900,000","-11,300,000","-7,400,000","-9,700,000","-13,300,000","-16,800,000","-82,100,000","-31,000,000"
24,TaxProvision,"-260,403,000","-38,540,000","-106,641,000","42,629,000","-109,156,000","159,232,000","106,651,000","167,606,000","147,088,000","72,625,000","143,077,000","337,260,000","351,463,000","282,891,000","189,421,000","67,396,000","15,731,000","20,568,000","33,822,000","86,082,000","60,753,000","30,200,000","68,900,000","115,700,000","22,700,000","3,300,000","5,700,000","2,500,000","2,200,000","2,100,000","1,400,000","800,000","-4,900,000","-6,700,000","-38,100,000","-14,500,000"
25,NetIncomeCommonStockholders,"-3,978,459,000","-700,590,000","-885,050,000","-515,025,000","-929,580,000","499,792,000","8,491,000","773,426,000","517,035,000","370,898,000","773,429,000","1,678,642,000","1,560,995,000","1,206,011,000","731,866,000","296,696,000","146,086,000","166,416,000","209,503,000","262,922,000","165,554,000","84,500,000","162,000,000","257,200,000","72,600,000","-5,600,000","8,700,000","14,200,000","-18,200,000","-15,900,000","-8,800,000","-10,500,000","-8,400,000","-10,100,000","-44,000,000","-16,500,000"
