,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
0,TotalAssets,"3,054,493,000","3,470,601,000","3,894,108,000","2,958,465,000","3,214,395,000","3,598,140,000","3,723,445,000","3,387,678,000","3,070,977,000","3,048,113,000","2,244,220,000","2,128,090,000","2,228,836,000","1,786,560,000","1,762,149,000","1,522,339,000","1,139,240,000","1,028,292,000","867,802,000","643,034,000","606,626,000","489,500,000","416,300,000","336,600,000","235,000,000","111,200,000","113,700,000","68,500,000"
1,"	CurrentAssets","261,562,000","368,275,000","515,394,000","360,499,000","301,242,000","332,560,000","598,518,000","595,067,000","532,713,000","561,734,000","488,508,000","445,339,000","518,255,000","395,780,000","467,883,000","492,097,000","329,872,000","287,314,000","224,798,000","209,723,000","220,062,000","152,300,000","104,800,000","156,300,000","92,600,000","48,300,000","51,200,000","31,200,000"
2,"		CashCashEquivalentsAndShortTermInvestments","44,198,000","28,408,000","84,823,000","32,374,000","29,837,000","40,386,000","53,997,000","78,858,000","33,208,000","2,613,000","89,520,000","135,153,000","95,905,000","1,940,000","14,570,000","31,993,000","15,711,000","21,664,000","22,860,000","49,273,000","10,722,000","17,500,000","19,200,000","2,900,000","1,900,000","100,000","700,000","700,000"
3,"			CashAndCashEquivalents","44,198,000","28,408,000","84,823,000","32,374,000","29,837,000","40,386,000","53,997,000","78,858,000","33,208,000","2,613,000","89,520,000","135,153,000","95,905,000","1,940,000","14,570,000","31,993,000","15,711,000","21,664,000","22,860,000","49,273,000","10,722,000","17,500,000","19,200,000","2,900,000","1,900,000","100,000","700,000","700,000"
4,"				CashFinancial","44,198,000","28,408,000","75,709,000","32,374,000","24,500,000","33,902,000","31,097,000","64,634,000","25,690,000",,,,,,,,,,,,,,,,,,,
5,"				CashEquivalents",,,"9,114,000",0,"5,337,000","6,484,000","22,900,000","14,224,000","7,518,000",,,,,,,,,,,,,,,,,,,
6,"		Receivables","164,685,000","273,769,000","353,590,000","235,701,000","222,555,000","220,368,000","479,659,000","449,362,000","423,160,000","477,143,000","331,137,000","248,778,000","360,486,000","301,721,000","365,075,000","387,106,000","261,812,000","226,662,000","165,154,000","132,140,000","177,441,000","121,100,000","73,200,000","148,600,000","85,800,000","44,400,000","47,500,000","28,400,000"
7,"			AccountsReceivable","122,638,000","220,655,000","351,596,000","232,155,000","205,347,000","215,421,000","463,818,000","440,790,000","423,160,000","477,143,000","331,137,000","242,352,000","360,486,000","301,721,000","365,075,000","387,106,000","261,812,000","226,662,000","165,154,000","132,140,000","177,441,000","121,100,000","73,200,000","148,600,000","85,800,000","44,400,000","47,500,000","28,400,000"
8,"				GrossAccountsReceivable","139,204,000","235,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,
9,"				AllowanceForDoubtfulAccountsReceivable","-16,566,000","-14,625,000",,,,,,,,,,,,,,,,,,,,,,,,,,
