,name,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,ttm
14,	SpecialIncomeCharges,"-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",,"-2,457,294"
15,		ImpairmentOfCapitalAssets,"2,457,294",,,,,,,,,,,,
16,		OtherSpecialCharges,"-23,863",,,,,,,,,,,,
17,PretaxIncome,,,,,,,,,,,,"-1,800,000",
18,TaxProvision,,,,,,,,,,,,"-700,000",
19,NetIncomeCommonStockholders,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-879,275","-2,446,463","-16,128,000","-10,269,000","-7,900,000","-1,100,000","-2,591,652"
20,	NetIncome,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-10,269,000","-7,900,000","-1,100,000","-2,591,652"
21,		NetIncomeIncludingNoncontrollingInterests,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-10,751,000","-8,300,000","-1,100,000","-2,591,652"
22,			NetIncomeContinuousOperations,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-3,627,000","-4,455,000","-7,900,000","-1,100,000","-2,591,652"
23,			NetIncomeDiscontinuousOperations,,,,,,,,,"-12,501,000","-5,379,000",,,
24,			NetIncomeFromTaxLossCarryforward,,,,,,,,,,"-435,000",,,
25,		MinorityInterests,,,,,,,,,,"482,000","400,000",,
26,	PreferredStockDividends,,,,,,,"48,000","40,800",,,,,
27,DilutedNIAvailtoComStockholders,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-879,275","-2,446,463","-16,128,000","-10,269,000","-7,900,000","-1,100,000","-2,591,652"
28,BasicEPS,-0.31,0.02,-0.02,-0.02,-0.07,-0.15,-0.38,-1.36,-9.47,-6.35,-6.1,-1.35,
29,DilutedEPS,-0.31,0.02,-0.02,-0.02,-0.07,-0.15,-0.38,-1.36,-9.47,-6.35,-6.1,-1.35,
30,BasicAverageShares,"7,502,703","7,502,703","7,502,703","7,472,703","7,431,663","4,668,929","2,286,117","1,800,819","2,037,000","1,678,600","1,292,337","1,444,000",
31,DilutedAverageShares,"7,502,703","10,285,560","7,502,703","7,472,703","7,431,663","4,668,929","2,286,117","1,808,000","2,037,000","1,678,600","1,292,337","1,444,000",
32,TotalOperatingIncomeAsReported,,"212,587","-108,684","-104,167","-524,324","-703,744","-390,933","-1,207,125","-2,376,000","-5,182,000","-8,900,000","-1,800,000",
33,TotalExpenses,"676,159","625,173","372,551","818,251","955,500","988,494","725,333","1,334,344","2,377,000","12,201,000","13,700,000","3,300,000","593,446"
34,NetIncomeFromContinuingAndDiscontinuedOperation,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-16,128,000","-9,834,000","-7,900,000","-1,100,000","-2,591,652"
35,NormalizedIncome,"133,488","156,050","-165,621","-157,002","-550,786","-706,566","-377,387","-1,122,208","-2,124,000","-4,455,000","-8,500,000","-1,100,000","-134,358"
36,InterestIncome,,,,8,38,"3,845","13,546","84,917","253,000",,,,
37,InterestExpense,"46,289","56,537","56,937","52,843","26,500","6,667",,,,,,,"45,465"
38,NetInterestIncome,"-46,289",,,,,,,,,,,,"-45,465"
39,EBIT,"179,776","212,587","-108,684","-104,167","-524,324","-703,744","-390,933","-1,207,125","-2,376,000","-5,182,000","-8,900,000","-1,800,000","-88,894"
40,EBITDA,,,,,,,,,,,,,"76,670"
41,ReconciledCostOfRevenue,0,,,,,,,,"66,000","3,087,000","3,500,000","900,000",
42,ReconciledDepreciation,"170,601","262,288","65,033","216,458","1,950","104,551","160,900","153,928","66,000","2,442,000","200,000",,"165,564"
43,NetIncomeFromContinuingOperationNetMinorityInterest,"-2,299,943","156,050","-165,621","-157,002","-534,709","-721,566","-831,275","-2,405,663","-3,627,000","-4,455,000","-7,900,000","-1,100,000","-2,591,652"
44,TotalUnusualItemsExcludingGoodwill,"-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",,"-2,457,294"
45,TotalUnusualItems,"-2,433,431",,,,"16,077","-15,000","-453,888","-1,283,455","-1,503,000",,"600,000",,"-2,457,294"
46,NormalizedEBITDA,"2,783,808","474,875","-43,651","112,291","-538,451","-584,193","223,855","230,258","-807,000","-2,740,000","-9,300,000","-1,800,000","2,533,964"
47,TaxRateForCalcs,0,0,0,0,0,0,0,0,0,0,0,0.389,0
48,TaxEffectOfUnusualItems,0,0,0,0,0,0,0,0,0,0,0,0,0
