,name,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,ttm
50,OrdinarySharesNumber,"1,059,404","1,059,404","1,159,404","1,059,404","1,059,404","1,059,417","1,059,417","1,059,000","1,058,000","1,051,000","1,051,000","976,000","976,000","976,000","983,000","993,000","991,000","995,000","995,000",
0,TotalRevenue,"916,000","871,000","499,000","535,000","353,000","468,000","1,407,000","1,269,000","1,900,000","5,300,000","5,000,000","6,400,000","8,800,000","7,600,000","6,300,000","6,900,000","7,600,000","10,100,000","19,500,000","263,000"
1,	OperatingRevenue,"916,000","871,000","499,000","535,000","353,000","468,000","1,407,000","1,269,000","1,900,000","5,300,000","5,000,000","6,400,000","8,800,000","7,600,000","6,300,000","6,900,000","7,600,000","10,100,000","19,500,000","263,000"
2,CostOfRevenue,"322,000","383,000","405,000","360,000","215,000","402,000","790,000","561,000","1,900,000","4,100,000","4,300,000","4,800,000","6,500,000","5,400,000","4,400,000","4,800,000","4,600,000","7,000,000","12,300,000","294,000"
3,GrossProfit,"594,000","488,000","94,000","175,000","138,000","66,000","617,000","708,000",0,"1,200,000","700,000","1,600,000","2,300,000","2,200,000","1,900,000","2,100,000","3,000,000","3,100,000","7,200,000","-31,000"
4,OperatingExpense,"410,000","1,380,000","1,207,000","743,000","534,000","949,000","629,000","777,000","800,000","1,700,000","1,800,000","1,800,000","2,300,000","1,900,000","2,100,000","2,700,000","3,600,000","3,800,000","5,100,000","259,000"
5,	SellingGeneralAndAdministration,"404,000","1,078,000","436,000","432,000","473,000","522,000","475,000","418,000","600,000","1,300,000","1,100,000","1,000,000","1,300,000","1,100,000","1,100,000","1,300,000","2,000,000","1,900,000","2,100,000","253,000"
6,	DepreciationAmortizationDepletionIncomeStatement,0,"2,000","3,000","3,000","9,000","32,000","123,000","127,000","200,000","400,000","700,000","800,000","1,000,000","800,000","1,000,000","1,400,000","1,500,000","1,800,000","2,900,000",
7,		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,"200,000","400,000","700,000","800,000","1,000,000","800,000","1,000,000","1,400,000","1,500,000","1,800,000","2,900,000",
8,	OtherTaxes,,,,,,,,,,,,,,,,,"100,000","100,000","100,000",
