id,CurrentRatio,DERatio,NetMargin,OperatingMargin,QuickRatio,ROA1,ROC1,ROE1,asset,current_asset,current_liability,debt,entity.cik,entity.name,eps,equity,inventory,location,net_income,operating_income,period.end,period.fiscal-year,period.start,revenue
0,1.414066369,0.365456861,-0.525564184,-0.448089853,1.140911342,-0.248383561,-0.107011343,-0.642088507,81197000,34260000,24228000,11479000,1441693,MARRONE BIO INNOVATIONS INC,-0.14,31410000,6618000,CA,-20168000,-17195000,31/12/20,2020,1/1/20,38374000
1,1.029926488,0.502886493,-1.265618085,-0.952745719,0.643443206,-0.511228461,-0.348309199,-1.578020205,72717000,21716000,21085000,11847000,1441693,MARRONE BIO INNOVATIONS INC,-0.32,23558000,8149000,CA,-37175000,-27985000,31/12/19,2019,1/1/19,29373000
2,2.662426009,0.913651824,-0.952544769,-0.919132893,1.935860058,-0.434062748,-0.180256405,-1.562538652,46567000,30136000,11319000,11819000,1441693,MARRONE BIO INNOVATIONS INC,-0.2,12936000,8224000,CA,-20213000,-19504000,31/12/18,2018,1/1/18,21220000
3,0.868921007,-0.481866103,-1.702262344,-1.265756592,0.422279793,-0.837780728,-0.176577358,0.610550631,36913000,19118000,22002000,24407000,1441693,MARRONE BIO INNOVATIONS INC,-1.06,-50651000,9827000,CA,-30925000,-22995000,31/12/17,2017,1/1/17,18167000
4,1.76241065,-0.69848264,-2.212718986,-1.684945165,1.206177454,-0.675706239,-0.217210708,1.02938643,45983000,26875000,15249000,21083000,1441693,MARRONE BIO INNOVATIONS INC,-1.26,-30184000,8482000,CA,-31071000,-23660000,31/12/16,2016,1/1/16,14042000
5,2.794925675,-10.63748764,-4.461585552,-4.025813692,2.089501128,-0.614148678,-0.312060224,21.62611276,71201000,35912000,12849000,21509000,1441693,MARRONE BIO INNOVATIONS INC,-1.79,-2022000,9064000,CA,-43728000,-39457000,31/12/15,2015,1/1/15,9801000
6,1.753829883,0.290903072,-5.654443958,-5.312281086,1.348599449,-0.669314089,-0.544064678,-1.554542445,77182000,54723000,31202000,9667000,1441693,MARRONE BIO INNOVATIONS INC,-2.32,33231000,12644000,CA,-51659000,-48533000,31/12/14,2014,1/1/14,9136000
7,3.847456536,0.314621711,-3.699029126,-3.755505565,3.028589826,-0.446837724,-0.27120341,-0.800440675,69918000,59751000,15530000,12280000,1441693,MARRONE BIO INNOVATIONS INC,-3.74,39031000,12717000,CA,-31242000,-31719000,31/12/13,2013,1/1/13,8446000
8,0.705442684,-0.104596819,-5.433333333,-3.338655462,0.580304626,-1.148499023,-0.918586062,0.522499226,33778000,27465000,38933000,7766000,1441693,MARRONE BIO INNOVATIONS INC,-32.48,-74247000,4872000,CA,-38794000,-23838000,31/12/12,2012,1/1/12,7140000
9,,,-2.509998096,-2.49933346,,,,0.386510264,,,,,1441693,MARRONE BIO INNOVATIONS INC,-10.64,-34100000,,CA,-13180000,-13124000,31/12/11,2011,1/1/11,5251000
0,1.602045029,0,-0.165512244,-0.0295783,1.599834684,-0.275674324,-0.275674324,-0.685090211,24069329,22835356,14253879,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.29,9685288,31506,CA,-6635296,-1185778,31/12/19,2019,1/1/19,40089457
1,1.601761386,0,0.011217504,0.084480001,1.518715028,0.010575515,0.010575515,0.027016118,32511042,31690093,19784528,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,0.02,12726514,1643033,CA,343821,2589346,31/12/18,2018,1/1/18,30650402
2,2.149435707,0,0.307412553,0.104002538,1.839981861,0.265390946,0.265390946,0.497527701,20004586,19073381,8873669,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,0.51,10670835,2745991,CA,5309036,1796131,31/12/17,2017,1/1/17,17270069
3,0.433023508,0,0.092613717,0.090711198,0.433023508,0.146430808,0.146430808,-0.209947946,6084990,4472718,10329042,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,0.17,-4244052,0,CA,891030,872726,31/12/16,2016,1/1/16,9620929
4,0.004566714,0,,,0.004566714,-10.72549641,-10.72549641,0.061020747,63154,50981,11163608,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.34,-11100454,0,CA,-677358,-243341,31/12/15,2015,1/1/15,
5,0.00172419,0,,,0.00172419,-28.74491164,-28.74491164,0.059723676,24615,17243,10000640,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.35,-11847161,0,CA,-707556,-527558,31/12/14,2014,1/1/14,
6,0.00195937,0,,,0.00195937,130.3797086,130.3797086,-0.329920127,28485,16530,8436384,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,0.01,-11256864,0,CA,3713866,-556852,31/12/13,2013,1/1/13,
7,0.002172973,0,,,0.002172973,-31.92769824,-31.92769824,0.097233426,42046,26081,12002449,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.003,-13806281,0,CA,-1342432,-595559,31/12/12,2012,1/1/12,
8,0.004028593,0,,,0.004028593,-26.84675947,-26.84675947,0.136999514,62999,42677,10593526,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.005,-12345438,0,CA,-1691319,-1422789,31/12/11,2011,1/1/11,
9,0.012091564,0,-25.84472381,-23.14189834,0.012091564,-17.24809768,-17.24809768,0.219399736,131944,106022,8768262,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.006,-10372770,0,CA,-2275783,-2037783,31/12/10,2010,1/1/10,88056
10,0.025939166,0,-98.73135381,-54.14472997,0.025939166,-8.885856651,-8.885856651,0.476603915,425465,169982,6553102,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.01,-7932417,0,CA,-3780621,-2073310,31/12/09,2009,1/1/09,38292
11,0.494323737,0,-16.23765697,-8.107983021,0.449851902,-0.691967082,-0.691967082,0.838369751,5323694,3910254,7910310,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,0.037,-4394029,351786,CA,-3683821,-1839450,31/12/08,2008,1/1/08,226869
12,0.521125902,0,,,0.234441355,,,,3675180,1487532,2854458,0,1159275,KIWA BIO-TECH PRODUCTS GROUP CORP,-0.038,-2084771,818329,CA,,,31/12/07,2007,1/1/07,
0,1.280092593,2.087062536,0.093765127,0.141640043,0.625736532,0.114598432,0.545037716,0.555651176,3380500000,1216600000,950400000,1455100000,825542,SCOTTS MIRACLE-GRO CO,6.96,697200000,621900000,OH,387400000,585200000,30/9/20,2020,1/10/19,4131600000
1,1.678807413,2.119799638,0.145975919,0.129784537,0.808058018,0.152111467,0.655132565,0.641018506,3028700000,1041700000,620500000,1523500000,825542,SCOTTS MIRACLE-GRO CO,8.3,718700000,540300000,OH,460700000,409600000,30/9/19,2019,1/10/18,3156000000
2,1.445568794,5.312464749,0.023916798,0.074678982,0.659866166,0.020854477,0.637583893,0.17963903,3054500000,885700000,612700000,1883800000,825542,SCOTTS MIRACLE-GRO CO,1.13,354600000,481400000,OH,63700000,198900000,30/9/18,2018,1/10/17,2663400000
3,1.619283747,1.938964242,0.082623671,0.164036183,0.870890725,0.079468511,0.537422643,0.336467324,2747000000,881700000,544500000,1258000000,825542,SCOTTS MIRACLE-GRO CO,3.68,648800000,407500000,OH,218300000,433400000,30/9/17,2017,1/10/16,2642100000
4,1.460755197,1.441414989,0.125807996,0.178597079,0.902559751,0.114413238,0.488496988,0.440855705,2755800000,1032900000,707100000,1030900000,825542,SCOTTS MIRACLE-GRO CO,5.16,715200000,394700000,OH,315300000,447600000,30/9/16,2016,1/10/15,2506200000
5,1.809246686,1.651361366,0.06739488,0.107038927,1.169414808,0.063232035,0.468819247,0.257451265,2527200000,1119200000,618600000,1025000000,825542,SCOTTS MIRACLE-GRO CO,2.62,620700000,395800000,OH,159800000,253800000,30/9/15,2015,1/10/14,2371100000
6,1.716541215,1.250496659,0.076051706,0.129584799,1.009546539,0.080891998,0.41728611,0.300704353,2058300000,935000000,544700000,692400000,825542,SCOTTS MIRACLE-GRO CO,2.7,553700000,385100000,OH,166500000,283700000,30/9/14,2014,1/10/13,2189300000
7,1.728128678,0.672906404,0.074369864,0.143338565,1.090819929,0.083161264,0.329960768,0.226741731,1937200000,881000000,509800000,478100000,825542,SCOTTS MIRACLE-GRO CO,2.61,710500000,324900000,OH,161100000,310500000,30/9/13,2013,1/10/12,2166200000
8,2.306273063,1.297723874,,,1.349400369,0.051340147,0.427882761,0.176939691,2074400000,1000000000,433600000,781100000,825542,SCOTTS MIRACLE-GRO CO,1.75,601900000,414900000,OH,106500000,241200000,30/9/12,2012,1/10/11,
16,2.118011097,1.414433726,,,1.29214682,0.081814638,0.467644479,0.299928546,2052200000,992500000,468600000,791800000,825542,SCOTTS MIRACLE-GRO CO,2.6,559800000,387000000,OH,167900000,274800000,30/9/11,2011,1/10/10,
17,1.517508143,0.571223022,,,1.03854506,0.094316081,0.296118299,0.266971877,2164000000,1118100000,736800000,436700000,825542,SCOTTS MIRACLE-GRO CO,3.08,764500000,352900000,OH,204100000,374400000,30/9/10,2010,1/10/09,
18,1.441464059,,,,0.835095137,0.069050944,,0.262275449,2220100000,1090900000,756800000,,825542,SCOTTS MIRACLE-GRO CO,2.36,584500000,458900000,OH,153300000,260500000,30/9/09,2009,1/10/08,
19,,,,,,,,-0.024959927,,,,,825542,SCOTTS MIRACLE-GRO CO,-0.17,436700000,,OH,-10900000,139800000,30/9/08,2008,1/10/07,
0,1.278037449,0.027574003,-0.012861405,0.030359525,0.885047634,-0.031713778,-0.015283131,-0.05322224,429624000,135895000,106331000,7059000,1133470,"CALAVO GROWERS, INC",-0.78,256002000,41787000,CA,-13625000,32162000,31/10/20,2020,1/11/19,1059371000
1,1.406999967,0.021597305,0.030646182,0.059414088,0.999966898,0.093877446,0.109693616,0.128191584,390360000,127515000,90629000,6174000,1133470,"CALAVO GROWERS, INC",2.09,285869000,36889000,CA,36646000,71046000,31/10/19,2019,1/11/18,1195777000
2,1.298828618,0.001630441,0.02964938,0.05192614,0.944644897,0.087783084,0.088957839,0.121833944,367736000,128510000,98943000,432000,1133470,"CALAVO GROWERS, INC",1.85,264959000,35044000,CA,32281000,56535000,31/10/18,2018,1/11/17,1088758000
3,1.031514974,0.002326705,0.034651555,0.053825664,0.765880155,0.102357209,0.103917148,0.152669567,364117000,119828000,116167000,568000,1133470,"CALAVO GROWERS, INC",2.14,244122000,30858000,CA,37270000,57893000,31/10/17,2017,1/11/16,1075565000
4,1.234239672,0.002710758,0.040635731,0.06529376,0.942958268,0.115944415,0.117722218,0.176789774,327933000,134953000,109341000,583000,1133470,CALAVO GROWERS INC,2.19,215069000,31849000,CA,38022000,61094000,31/10/16,2016,1/11/15,935679000
5,1.193791003,0.015012205,0.031743975,0.050966126,0.92451307,0.095453509,0.105251891,0.146245336,284945000,116822000,97858000,2792000,1133470,CALAVO GROWERS INC,1.57,185982000,26351000,CA,27199000,43669000,31/10/15,2015,1/11/14,856824000
6,1.218293613,0.043978462,0.00012396,-0.021033597,0.911601335,0.000342195,0.028176417,0.000540673,283464000,123044000,100997000,7890000,1133470,CALAVO GROWERS INC,0.01,179406000,30975000,CA,97000,-16459000,31/10/14,2014,1/11/13,782510000
7,0.971216654,0.109578229,-0.00259599,-0.0099848,0.717432865,-0.007481068,0.046907756,-0.015072254,239939000,109730000,112982000,13050000,1133470,CALAVO GROWERS INC,-0.12,119093000,28673000,CA,-1795000,-6904000,31/10/13,2013,1/11/12,691451000
8,1.130825927,0.179664911,0.028672573,0.046049946,0.819911121,0.076010987,0.164783468,0.153837167,207891000,83464000,73808000,18455000,1133470,CALAVO GROWERS INC,1.07,102719000,22948000,CA,15802000,25379000,31/10/12,2012,1/11/11,551119000
9,1.137550728,0.264325241,0.021181599,0.03508322,0.854476009,0.059722754,0.187564415,0.123482685,185323000,71478000,62835000,23692000,1133470,CALAVO GROWERS INC,0.75,89632000,17787000,CA,11068000,18332000,31/10/11,2011,1/11/10,522529000
10,1.314841207,0.084503212,0.044593838,0.071198516,0.999361851,0.11827055,0.167925006,0.201275819,150198000,61812000,47011000,7458000,1133470,CALAVO GROWERS INC,1.22,88257000,14831000,CA,17764000,28362000,31/10/10,2010,1/11/09,398351000
11,1.341324853,0.2198109,0.039479065,0.063063246,1.022452363,0.11046455,0.234425724,0.195878366,123216000,49346000,36789000,15274000,1133470,CALAVO GROWERS INC,0.94,69487000,11731000,CA,13611000,21742000,31/10/09,2009,1/11/08,344765000
12,1.389197515,0.407726239,0.021370832,0.033936051,1.013231655,0.057355627,0.255691015,0.117908329,134686000,55015000,39602000,26713000,1133470,CALAVO GROWERS INC,0.54,65517000,14889000,CA,7725000,12267000,31/10/08,2008,1/11/07,361474000
13,1.539949093,0.194762374,0.024192697,0.039648958,1.263627649,0.057257573,0.169843303,0.099050039,128018000,46585000,30251000,14413000,1133470,CALAVO GROWERS INC,0.51,74003000,8359000,CA,7330000,12013000,31/10/07,2007,1/11/06,302984000
