,period.fiscal-year,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2020-11-01,159937000.0,-16435000.0,LIMONEIRA COMPANY,0001342423,-19008000.0,389600000.0,42520000.0,,31461000.0,122571000.0,,-0.96
1,2019,2019-11-01,166549000.0,-5943000.0,LIMONEIRA COMPANY,0001342423,-5514000.0,399867000.0,35070000.0,,31664000.0,105892000.0,,-0.37
2,2018,2018-11-01,124344000.0,20188000.0,LIMONEIRA COMPANY,0001342423,9486000.0,421339000.0,31044000.0,,27074000.0,76966000.0,219140000.0,1.26
3,2017,,,6595000.0,LIMONEIRA CO,0001342423,11863000.0,339031000.0,23120000.0,,23614000.0,102083000.0,136793000.0,0.42
4,2016,,,8058000.0,Limoneira CO,0001342423,9188000.0,305448000.0,18499000.0,,23751000.0,88164000.0,126498000.0,0.52
5,2015,,,7082000.0,Limoneira CO,0001342423,4583000.0,269370000.0,13762000.0,,19672000.0,89079000.0,121272000.0,0.46
6,2014,,,6991000.0,Limoneira CO,0001342423,9893000.0,246887000.0,14820000.0,,21133000.0,67771000.0,118329000.0,0.46
7,2013,,,4906000.0,Limoneira CO,0001342423,5398000.0,209914000.0,13597000.0,,14675000.0,61563000.0,107653000.0,0.36
8,2012,,,3150000.0,Limoneira CO,0001342423,4556000.0,172622000.0,9387000.0,,11604000.0,88875000.0,49702000.0,0.26
9,2011,,,1598000.0,Limoneira CO,0001342423,1010000.0,159028000.0,6452000.0,,6789000.0,82135000.0,49052000.0,0.12
10,2010,,,323000.0,LIMONEIRA CO,0001342423,3123000.0,159438000.0,7393000.0,,6338000.0,85312000.0,52096000.0,0.01
11,2009,,,-2877000.0,LIMONEIRA CO,0001342423,-7504000.0,,,,,,51761000.0,-0.28
12,2008,,,,,,,,,,,,54786000.0,
