,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,entity.name,entity.cik,current_liability,debt,equity,eps
0,2021,2021-07-01,84049036.0,-19170967.0,-20269261.0,151470976.0,87867936.0,63395256.0,S&W Seed Co,0001477246,61095846.0,,,-0.55
1,2020,2020-07-01,79582198.0,-19674324.0,-18763749.0,155955633.0,88403807.0,63882938.0,S&W Seed Co,0001477246,52600276.0,,,-0.59
2,2019,2019-07-01,109722511.0,-9305242.0,-4993735.0,146364269.0,91645276.0,71295520.0,S&W Seed Co,0001477246,33927538.0,,,-0.31
3,2018,2018-07-01,64085510.0,-4725090.0,-2993592.0,137767208.0,79881896.0,60419276.0,S&W Seed Co,0001477246,42396217.0,12977087.0,81742124.0,-0.21
4,2017,,,-11822042.0,-2408456.0,117100288.0,56724192.0,31489945.0,S&W Seed Co,0001477246,51312931.0,1096155.0,61221655.0,-0.67
5,2016,,,365227.0,2043414.0,127004985.0,57588509.0,21846130.0,S&W Seed Co,0001477246,41398096.0,11114333.0,67761444.0,0.02
6,2015,,,-3163127.0,2385878.0,122343067.0,56869653.0,25521747.0,S&W Seed Co,0001477246,42484189.0,10682072.0,51875605.0,-0.25
7,2014,,,373100.0,1061935.0,89300409.0,55440255.0,28485584.0,S&W Seed Co,0001477246,33055677.0,4452631.0,51514235.0,0.03
8,2013,,,-2516027.0,-3368268.0,85583219.0,51767558.0,25822467.0,S&W Seed Co,0001477246,30234635.0,4668958.0,50057063.0,-0.29
9,2012,,,374835.0,619614.0,22033695.0,17423189.0,6116785.0,S&W Seed Co,0001477246,1903263.0,0.0,20130432.0,0.06
10,2011,,,-811448.0,-1498297.0,15157261.0,11617416.0,5664119.0,S&W Seed Co,0001477246,594997.0,,14562264.0,-0.14
11,2010,,,,,,,,,,,,15251527.0,
