Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia (State),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,USA_Ave_Temp
1980/11,11.487,-11.19,10.246,9.718,10.835,1.806,4.508,6.716,5.884,18.776,12.14,23.67,0.107,5.652,5.1,4.309,7.2,6.899,13.291,-0.289,6.469,2.506,2.057,0.551,11.819,7.093,1.176,4.593,4.786,-0.06,5.08,5.32,1.443,9.079,0.982,4.223,9.595,4.437,3.24,4.518,11.408,3.281,8.359,11.487,3.192,-0.46,6.839,3.636,4.81,1.638,-0.034,5.685 
1980/12,7.489,-24.484,8.583,5.691,8.356,1.243,-2.561,1.189,0.996,14.292,8.098,22.724,-2.41,-0.401,-0.13,-3.819,2.279,2.765,10.329,-10.656,1.664,-5.144,-5.882,-9.948,8.05,1.529,-4.747,-0.715,2.088,-8.868,-1.126,4.745,-6.629,5.229,-9.418,-0.948,5.946,2.12,-2.89,-2.55,7.515,-4.46,4.085,9.736,1.212,-9.42,2.811,1.105,0.659,-7.064,-1.112,0.532 
1981/1,4.512,-9.084,7.464,3.5,8.215,-1.164,-6.77,-2.786,-2.857,10.52,5.037,22.105,-2.582,-3.277,-4.376,-4.535,0.875,-1.633,7.746,-13.482,-2.389,-9.158,-8.337,-9.969,5.333,-0.552,-1.995,-1.356,1.515,-12.319,-4.92,2.85,-10.342,1.318,-8.324,-5.559,3.902,2.184,-6.613,-6.764,4.3,-3.716,0.428,7.877,-0.285,-12.934,-1.286,1.981,-3.821,-8.458,-2.174,-1.415 
1981/2,8.765,-15.206,8.525,6.636,9.042,-0.996,1.239,3.649,3.226,15.807,9.559,21.646,-2.157,0.179,0.139,-2.169,2.789,2.939,10.902,-2.603,3.534,-0.06,-3.881,-6.594,9.177,2.139,-3.072,-0.964,2.495,-1.757,2.432,4.697,-0.652,5.928,-6.476,-0.148,6.523,2.424,0.065,1.228,8.584,-3.267,4.723,10.083,0.888,-1.728,3.775,1.795,1.176,-5.142,-3.12,2.289 
1981/3,11.67,-7.804,9.721,10.734,9.806,1.81,2.462,4.813,5.12,17.126,12.027,21.361,2.283,5.558,4.673,4.684,7.7,6.403,14.627,-1.223,5.13,1.572,0.619,0.965,12.479,7.595,2.472,4.902,4.64,-0.236,3.666,6.528,0.585,8.01,1.408,3.392,10.899,4.95,1.961,2.459,10.947,3.441,7.863,13.344,3.613,-0.605,5.745,5.558,3.597,1.131,1.44,5.561 
1981/4,19.657,-5.51,16.08,19.32,13.928,9.273,8.987,12.55,13.715,22.346,19.538,21.943,5.783,14.254,13.475,12.888,16.464,16.078,21.889,4.831,13.533,8.436,7.225,7.504,20.715,16.788,6.726,13.288,10.336,6.669,11.543,13.311,8.228,16.625,8.028,12.153,18.824,7.55,10.529,8.932,19.055,11.045,17.278,20.09,9.706,6.534,14.804,7.042,13.227,8.043,6.911,12.513 
1981/5,20.079,6.003,18.829,18.713,16.914,10.715,14.213,16.223,16.622,23.812,20.562,22.711,9.118,14.953,14.915,14.795,16.03,16.365,22.081,11.628,16.347,14.002,11.357,12.507,20.721,16.077,10.667,13.638,13.058,13.084,15.909,16.011,13.552,18.015,12.329,14.631,18.867,10.386,14.64,14.145,20.38,13.196,17.318,21.867,12.017,12.851,16.534,10.836,14.967,12.269,9.074,15.226 
1981/6,26.991,9.487,26.16,25.714,23.042,18.316,19.09,22.092,22.883,28.065,27.333,24.043,13.318,22.885,22.699,21.723,24.538,23.812,27.599,15.951,22.808,18.588,17.544,17.427,27.163,23.72,13.572,21.525,20.298,17.455,21.213,22.61,18.516,25.374,16.387,21.468,26.109,14.062,20.025,19.04,27.425,19.079,24.611,26.551,19.379,17.272,23.57,12.818,21.357,18.364,15.222,21.104 
1981/7,27.835,10.865,27.322,27.553,24.124,20.207,22.2,24.549,24.326,28.39,27.928,24.228,17.591,24.171,23.922,23.437,26.462,25.138,28.723,18.779,24.245,21.248,20.163,20.774,28.221,25.806,18.725,23.736,22.988,19.965,23.883,23.567,21.127,25.625,21.412,23.076,28.71,17.396,21.997,22.122,27.437,23.094,25.779,28.344,22.351,19.824,24.232,16.642,22.591,20.575,19.033,23.185 
1981/8,26.124,9.258,26.538,25.623,24.309,18.33,20.575,22.459,22.552,27.481,25.377,24.584,19.225,22.721,22.47,21.518,24.032,23.481,28.045,17.357,22.404,19.575,19.606,19.768,27.277,23.559,19.544,21.792,22.825,18.075,21.918,21.51,19.552,23.404,20.87,21.664,26.118,19.529,20.504,20.492,25.065,21.597,23.903,27.157,21.359,17.852,22.278,19.39,21.053,19.893,18.082,21.954 
1981/9,22.388,3.371,22.937,21.786,21.278,15.51,16.435,19.264,18.949,25.983,22.866,24.641,13.52,18.502,18.189,17.637,20.839,19.183,24.388,12.653,19.136,15.122,14.081,13.913,22.883,19.966,13.91,18.143,18.23,13.532,18.148,18.514,14.871,20.285,14.456,17.429,23.094,14.825,16.409,16.392,22.411,16.966,19.699,24.197,17.193,13.375,19.007,14.046,17.464,14.198,14.296,17.971 
1981/10,16.851,-3.906,15.189,15.62,13.752,7.688,9.548,11.95,11.382,23.165,17.194,23.805,4.955,11.661,11.183,9.829,12.908,13.026,19.783,5.847,11.878,7.946,6.857,6.383,17.771,13.017,5.41,9.713,8.491,6.056,10.477,12.315,7.237,13.974,6.321,10.484,15.935,7.79,8.996,9.531,16.403,8.406,13.814,19.09,7.901,5.737,12.126,7.179,10.558,7.074,5.014,11.006 
1981/11,13,-12.39,11.381,11.561,11.221,3.507,5.938,7.81,7.449,18.16,12.929,23.402,1.405,7.138,6.617,4.953,7.669,8.385,16.134,1.256,7.786,4.272,3.542,2.249,14.052,8.464,1.855,5.179,5.731,2.109,6.648,7.998,3.294,9.923,1.894,5.622,10.648,4.781,4.746,5.933,12.148,3.722,9.688,14.483,4.292,1.758,7.927,4.093,5.796,2.964,1.741,6.919 
1981/12,6.465,-17.769,7.249,4.39,8.193,-2.241,-0.417,1.803,0.637,14.903,7.097,22.076,-3.391,-2.187,-1.942,-5.289,0.306,0.859,10.02,-4.135,1.288,-2.337,-3.396,-10.127,7.264,-0.499,-5.804,-3.242,2.257,-4.447,0.085,3.746,-3.013,3.717,-10.649,-1.413,4.338,1.822,-1.723,-0.424,6.303,-6.633,2.523,9.428,-0.161,-4.553,1.191,-0.438,-0.713,-6.631,-4.131,0.397 
1982/1,6.252,-21.062,4.825,2.076,4.731,-4.947,-6.554,-3.159,-4.151,14.927,6.806,21.384,-7.25,-8.04,-7.013,-13.113,-3.936,-1.865,9.899,-14.407,-3.069,-9.2,-10.959,-19.778,7.03,-5.206,-13.437,-9.477,-2.755,-12.868,-5.377,1.586,-10.346,1.763,-21.577,-6.256,1.764,-1.538,-7.096,-6.562,5.136,-14.992,0.531,7.959,-4.156,-13.266,-1.602,-2.264,-3.65,-15.061,-8.279,-4.071 
1982/2,9.311,-16.961,7.642,4.321,8.523,-3.704,-1.461,2.04,1.373,18.785,11.156,21.198,-5.834,-3.577,-3.202,-6.112,-1.586,1.909,10.155,-9.481,2.06,-3.806,-7.597,-11.298,8.421,-1.001,-7.577,-3.434,1.38,-7.236,0.246,2.86,-5.218,7.159,-12.189,-2.347,2.994,0.764,-2.309,-1.467,10.184,-7.062,4.352,8.147,-1.949,-7.553,3.727,0.213,1.058,-8.888,-5.735,0.027 
1982/3,14.984,-12.692,9.959,13.035,8.776,2.067,1.92,5.569,5.606,20.084,15.175,20.538,0.551,4.465,4.673,1.035,6.536,8.957,16.927,-3.352,6.028,0.363,-2.003,-4.125,15.401,7.46,-1.781,2.39,3.826,-2.13,3.856,7.643,-0.562,10.677,-5.054,4.048,11.321,3.574,2.18,1.912,13.888,-0.766,11.023,15.228,3.122,-2.397,7.804,3.599,6.262,-2.234,-0.313,5.197 
1982/4,16.085,-8.325,14.054,14.073,11.665,5.338,6.46,9.698,10.414,21.683,16.546,21.027,2.365,8.607,8.363,7.368,10.965,10.894,18.524,2.274,10.26,5.674,3.592,3.993,16.693,10.732,2.733,7.575,6.935,3.77,8.707,11.391,5.253,13.206,3.714,7.813,14.058,5.003,7.198,6.41,15.792,5.728,12.291,17.859,6.024,3.605,11.229,5.327,9.023,4.27,2.411,8.948 
1982/5,22.511,1.433,18.237,21.921,16.767,10.65,14.233,17.306,18.797,23.809,22.505,22.137,8.588,19.837,19.939,17.397,17.911,20.818,23.791,11.092,18.47,13.833,15.237,14.326,23.148,19.862,8.934,15.006,13.003,12.933,16.679,15.335,14.646,20.842,12.303,19.172,20.356,10.209,16.7,14.119,22.489,13.796,20.997,22.201,11.936,13.024,19.561,10.584,18.609,15.691,8.42,16.512 
1982/6,25.095,9.541,22.674,23.39,19.238,14.881,16.606,19.936,20.701,27.115,25.487,23.851,14.07,19.609,19.604,18.505,20.345,21.054,26.854,14.251,20.547,15.954,14.755,15.097,25.642,20.621,14.421,17.797,17.36,15.168,19.025,20.323,16.58,22.916,15.447,19.069,22.867,15.079,17.944,16.493,25.204,16.72,22.276,25.966,16.801,15.179,21.189,16.153,19.325,15.308,13.07,19.080 
1982/7,26.813,11.92,26.18,27.152,22.831,19.492,21.645,24.077,24.545,27.618,26.568,24.492,17.025,24.535,24.212,23.877,26.269,25.212,28.126,18.478,24.288,20.799,20.455,21.098,27.559,25.839,17.979,24.085,21.479,19.53,23.307,23.276,20.835,25.248,20.939,23.347,27.631,17.245,21.981,21.561,26.812,23.024,25.696,28.458,20.833,19.423,24.211,16.735,22.844,21.328,18.188,22.884 
1982/8,26.26,9.766,26,26.626,23.352,19.597,19.623,21.999,21.976,27.635,26.032,24.851,18.283,22.195,21.647,21.715,25.709,22.869,28.095,15.755,21.964,18.431,17.793,18.947,27.058,23.863,18.67,22.863,22.094,16.984,20.975,22.701,18.07,23.892,19.453,20.515,28.485,18.133,19.163,19.553,25.81,22.003,23.807,28.725,21.424,16.81,22.229,17.441,20.344,18.764,19.238,21.690 
1982/9,22.71,4.895,22.387,21.899,19.61,14.255,17.015,19.13,19.109,26.171,22.88,24.495,11.881,18.564,18.354,17.131,20.548,19.258,24.52,13.538,19.218,15.832,14.712,13.856,23.176,19.569,11.818,16.96,15.667,14.502,18.212,19.025,15.726,20.487,13.668,17.584,23.269,13.325,16.759,16.958,22.519,15.566,19.964,25.241,15.375,14.418,19.109,13.728,17.554,14.44,11.711,17.810 
1982/10,17.977,-8.257,14.638,16.139,14.626,6.581,11.081,13.491,13.259,22.892,18.307,23.822,5.027,13.116,13.026,11.49,13.428,14.371,19.558,7.374,13.542,9.375,10.186,8.04,18.061,13.825,5.861,10.067,8.551,7.746,12.311,11.261,9.613,15.013,6.705,12.785,16.344,8.263,11.094,11.002,17.243,8.338,14.867,18.76,6.843,7.799,13.687,7.704,12.66,9.436,4.704,11.836 
1982/11,13.225,-13.826,9.058,10.642,8.399,-0.004,7.909,9.686,8.98,20.823,14.427,23.469,-2.637,6.121,6.799,2.253,5.196,9.073,15.371,2.683,9.495,6.245,2.996,-3.091,13.517,7.182,-3.201,1.145,2.061,3.865,8.328,5.456,5.209,11.442,-4.427,7.173,9.431,1.576,6.652,7.912,13.694,-1.278,9.841,12.836,0.921,3.637,9.452,0.782,7.905,0.426,-2.538,6.123 
1982/12,11.481,-15.467,4.731,8.317,5.908,-3.324,3.207,5.919,5.266,18.497,12.209,21.593,-5.722,3.573,4.585,-1.353,1.577,6.902,13.311,-3.391,5.92,1.178,0.159,-5.933,11.787,3.965,-5.576,-1.712,-0.903,-1.613,4.235,0.717,0.648,8.808,-7,4.387,5.61,-0.192,2.976,3.181,11.345,-3.705,7.829,8.658,-3.076,-1.803,6.365,-1.068,4.952,-2.848,-6.101,2.922 
1983/1,5.847,-20.953,5.681,3.679,6.885,-2.667,-1.435,1.601,0.67,13.762,6.22,21.043,-2.945,-1.385,-0.962,-4.339,-0.384,1.231,8.605,-7.709,1.32,-3.654,-4.572,-9.173,6.441,0.009,-3.028,-2.318,0.617,-6.481,-0.294,1.215,-4.705,3.705,-7.237,-1.175,3.105,2.137,-2.122,-1.431,5.551,-3.605,2.508,6.826,-1.443,-6.83,1.56,1.669,-0.31,-6.539,-3.039,0.023 
1983/2,8.351,-15.87,7.538,6.688,8.653,-0.928,-0.578,1.835,1.316,15.118,8.923,20.931,-1.558,1.609,1.57,-1.359,2.228,3.468,10.785,-6.741,1.901,-2.336,-2.417,-5.563,8.903,3.081,-0.619,0.54,2.516,-4.922,0.476,3.525,-3.215,5.207,-4.865,0.988,5.414,3.673,-0.689,-0.565,7.776,-0.951,4.973,9.319,0.546,-5.311,2.79,3.138,1.331,-3.165,-2.223,1.985 
1983/3,11.498,-12.519,9.734,10.308,9.87,1.232,3.86,6.996,7.105,16.849,12.531,21.197,1.968,5.409,5.82,2.649,5.808,8.105,13.675,-0.997,7.302,2.552,0.769,-1.145,12.017,6.823,1.01,2.69,4.959,0.425,5.725,6.839,1.931,10.384,-2.369,5.756,9.165,5.426,4.262,3.829,12.358,0.586,9.1,13.085,3.648,0.128,8.284,5.759,6.415,0.316,0.365,5.676 
1983/4,14.523,-4.234,11.037,12.652,10.433,2.852,7.914,10.438,10.482,19.376,15.125,21.229,3.186,8.417,8.688,6.307,8.471,10.469,16.526,4.652,10.463,7.2,4.422,4.162,14.968,9.241,3.931,5.611,5.687,5.596,9.46,8.152,5.991,12.423,3.654,8.702,12.111,5.844,7.789,7.908,14.526,4.648,11.231,16.036,4.486,5.052,10.949,7.166,9.326,4.491,1.422,8.651 
1983/5,20.742,3.479,18.174,19.129,16.547,9.079,12.443,15.645,16.244,23.897,21.35,21.892,9.118,15.171,14.978,13.771,15.564,16.716,22.314,9.493,16.113,12.095,9.684,10.688,21.145,16.456,9.378,12.687,12.42,10.916,14.807,14.547,11.809,18.638,10.337,14.194,18.529,11.412,13.365,12.382,21.018,11.614,17.783,21.736,10.755,10.724,16.77,12.39,14.906,10.476,7.304,14.565 
1983/6,23.963,10.077,22.761,23.518,19.925,14.785,19.265,21.39,22.194,26.246,24.151,23.12,13.194,22.486,22.228,21.301,21.542,22.468,25.294,16.493,21.791,18.799,17.749,17.826,24.465,22.511,14.553,19.322,17.494,17.886,20.922,19.582,18.833,22.547,17.325,21.071,23.109,13.544,19.724,19.184,24.208,18.323,22.467,25.104,16.7,17.725,21.653,13.996,20.357,18.503,13.65,19.948 
