name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988
Florida,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Illinois,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Michigan,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Texas,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
California,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Indiana,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Iowa,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Maryland,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
New York State,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Ohio,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA1,0.033658753,-0.055309998,0.02336077,-0.00575311,0.01768335,0.057453309,0.056259914,0.10442884,0.115647318,0.159283963,0.065086522,0.185402565,0.176212795,0.045800777,-0.01392106,0.019611559,-0.036886697,-0.030298864,-0.01565111,-0.08095551,-0.148828884,-0.001393858,0.013457712,0.053466608,0.041986732,0.042588742,-0.010366051,-0.081290134,-0.041957255,0.05507963,0.05212343,0.081828476,0.075877997
ROA2,0.03408181,-0.054158411,0.024256437,-0.006043846,0.017388207,0.05605204,0.056564657,0.108619639,0.118864561,0.176496599,0.065167291,0.191884389,0.198518829,0.046935284,-0.014145392,0.027338688,-0.037056296,-0.027948263,-0.015627754,-0.07295797,-0.132723466,-0.001617134,0.015183151,0.054792577,0.047079935,0.041926346,-0.011915844,-0.087176544,-0.042418901,0.057641396,0.050634463,0.087174603,0.075877997
Operating Margin,0.04755981,0.041229242,0.096826009,0.062852593,0.044535656,0.143761312,0.156893924,0.221533772,0.240812762,0.268087504,0.188013197,0.233142358,0.287895155,0.106378925,0.074145275,0.072440694,0.06066831,0.08860698,0.054679124,0.109451787,0.159625206,0.203249017,0.101385264,0.175318578,0.176954042,0.194022869,0.098231009,-0.140898451,0.152479924,0.155410184,0.152211269,0.21764754,0.191783346
Net Margin,0.04755981,0.041229242,0.096826009,0.062852593,0.044535656,0.143761312,0.156893924,0.221533772,0.240812762,0.268087504,0.188013197,0.233142358,0.287895155,0.106378925,0.074145275,0.072440694,0.06066831,0.08860698,0.054679124,0.109451787,0.159625206,0.203249017,0.101385264,0.175318578,0.176954042,0.194022869,0.098231009,-0.140898451,0.152479924,0.155410184,0.152211269,0.21764754,0.191783346
