,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps
0,2020,2021-01-01,1170156.0,-632365,-681883,4924941,4081283,1723674,2374549,,2550392,"NOCERA, INC.",0001756180,-0.0538
1,2019,2020-01-01,456860.0,-1256752,-1380469,3359189,2502640,287409,2596776,,733341,"NOCERA, INC.",0001756180,-0.1017
2,2018,2019-01-01,4812788.0,1791349,2501777,4241353,4182651,63401,2209041,,1853326,"NOCERA, INC.",0001756180,0.179
3,2017,,,-1175,-1218,108994,108994,0,113220,,-4183,"NOCERA, INC.",0001756180,-0.0001
