,period.fiscal-year,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2020-11-01,1059371000.0,-13625000.0,"CALAVO GROWERS, INC",0001133470,32162000.0,429624000.0,135895000.0,41787000.0,106331000.0,,,-0.78
1,2019,2019-11-01,1195777000.0,36646000.0,"CALAVO GROWERS, INC",0001133470,71046000.0,390360000.0,127515000.0,36889000.0,90629000.0,,,2.09
2,2018,2018-11-01,1088758000.0,32281000.0,"CALAVO GROWERS, INC",0001133470,56535000.0,367736000.0,128510000.0,35044000.0,98943000.0,,,1.85
3,2017,2017-11-01,1075565000.0,37270000.0,"CALAVO GROWERS, INC",0001133470,57893000.0,364117000.0,119828000.0,30858000.0,116167000.0,,,2.14
4,2016,,,38022000.0,CALAVO GROWERS INC,0001133470,61094000.0,327933000.0,134953000.0,31849000.0,109341000.0,,,2.19
5,2015,,,27199000.0,CALAVO GROWERS INC,0001133470,43669000.0,284945000.0,116822000.0,26351000.0,97858000.0,,,1.57
6,2014,,,97000.0,CALAVO GROWERS INC,0001133470,-16459000.0,283464000.0,123044000.0,30975000.0,100997000.0,,179406000.0,0.01
7,2013,,,-1795000.0,CALAVO GROWERS INC,0001133470,-6904000.0,239939000.0,109730000.0,28673000.0,112982000.0,,119093000.0,-0.12
8,2012,,,15802000.0,CALAVO GROWERS INC,0001133470,25379000.0,207891000.0,83464000.0,22948000.0,73808000.0,,102719000.0,1.07
9,2011,,,11068000.0,CALAVO GROWERS INC,0001133470,18332000.0,185323000.0,71478000.0,17787000.0,62835000.0,,89632000.0,0.75
10,2010,,,17764000.0,CALAVO GROWERS INC,0001133470,28362000.0,150198000.0,61812000.0,14831000.0,47011000.0,,88257000.0,1.22
11,2009,,,13611000.0,CALAVO GROWERS INC,0001133470,21742000.0,,,,,,69487000.0,0.94
12,2008,,,,,,,,,,,,65517000.0,
