,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,157643000.0,-53711000.0,8452000.0,785783000,155032000,24579000.0,52459000,264491000.0,"AgroFresh Solutions, Inc.",0001592016,272393000,
1,2019,2020-01-01,170065000.0,-53591000.0,-40755000.0,805692000,132345000,22621000.0,49778000,398064000.0,"AgroFresh Solutions, Inc.",0001592016,333686000,
2,2018,2019-01-01,178786000.0,-30060000.0,7344000.0,899287000,143209000,24807000.0,64104000,400309000.0,"AgroFresh Solutions, Inc.",0001592016,364313000,
3,2017,2018-01-01,164026000.0,23471000.0,40783000.0,983263000,178835000,24109000.0,94680000,402868000.0,"AgroFresh Solutions, Inc.",0001592016,407637000,
4,2016,,,-111560000.0,-36854000.0,965844000,170501000,15467000.0,96870000,392996000.0,"AgroFresh Solutions, Inc.",0001592016,335145000,
5,2014,,,,-676916.0,221317716,814755,,330788,,"AgroFresh Solutions, Inc.",0001592016,5000010,
6,2015,,,,,1082674000,180656000,44176000.0,67570000,406286000.0,"AgroFresh Solutions, Inc.",0001592016,443903000,
7,2013,,,,,143875,25000,,118875,,Boulevard Acquisition Corp.,0001592016,25000,
