,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,232274,-1593139,-1349345,687649,495171,16356,785233,8115,"SAVE
FOODS, INC.",0001789192,-436176,
1,2019,2020-01-01,175823,-1971417,-1931305,664670,424614,16302,623826,14955,Save Foods Inc.,0001789192,-381066,
2,2018,2019-01-01,426591,-356893,-518659,859211,676680,38085,483698,37926,Save Foods Inc.,0001789192,218227,
