,period.fiscal-year,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2021-01-01,458704000.0,15242000.0,AMERICAN VANGUARD CORPORATION,0000005981,22908000.0,680293000.0,331725000.0,163784000.0,171324000.0,107442000.0,,0.52
1,2019,2020-01-01,468186000.0,13601000.0,AMERICAN VANGUARD CORPORATION,0000005981,26221000.0,670098000.0,336199000.0,163313000.0,138638000.0,148766000.0,,0.47
2,2018,2019-01-01,454272000.0,24195000.0,AMERICAN VANGUARD CORPORATION,0000005981,39021000.0,593587000.0,310188000.0,159895000.0,145528000.0,96671000.0,329230000.0,0.83
3,2017,2018-01-01,355047000.0,20274000.0,AMERICAN VANGUARD CORP,0000005981,26794000.0,535592000.0,254883000.0,123124000.0,126202000.0,77486000.0,305060000.0,0.7
4,2016,2017-01-01,312113000.0,12788000.0,AMERICAN VANGUARD CORP,0000005981,20540000.0,429956000.0,227075000.0,120576000.0,97074000.0,40951000.0,282190000.0,0.44
5,2015,,,6591000.0,AMERICAN VANGUARD CORP,0000005981,11524000.0,435270000.0,228562000.0,136477000.0,88712000.0,68321000.0,268395000.0,0.23
6,2014,,,4841000.0,AMERICAN VANGUARD CORP,0000005981,6710000.0,472321000.0,287049000.0,165631000.0,81245000.0,98605000.0,261637000.0,0.17
7,2013,,,34449000.0,AMERICAN VANGUARD CORP,0000005981,55735000.0,447443000.0,249506000.0,139830000.0,110499000.0,51676000.0,257953000.0,1.22
8,2012,,,36867000.0,AMERICAN VANGUARD CORP,0000005981,59323000.0,399890000.0,222317000.0,87951000.0,113670000.0,36196000.0,225077000.0,1.32
9,2011,,,22068000.0,AMERICAN VANGUARD CORP,0000005981,39226000.0,342558000.0,183738000.0,71068000.0,79025000.0,51917000.0,187072000.0,0.8
10,2010,,,10984000.0,AMERICAN VANGUARD CORP,0000005981,19191000.0,280179000.0,118614000.0,74054000.0,49568000.0,,166437000.0,0.4
11,2009,,,-5789000.0,AMERICAN VANGUARD CORP,0000005981,-6329000.0,,,,,,153087000.0,-0.21
12,2008,,,,,,,,,,,,155943000.0,
