,period.fiscal-year,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2020-12-01,169410.0,-1505157,-1535343.0,PureBase Corp,0001575858,635340,15340,,1808014.0,,-1301674,
1,2019,2019-12-01,361930.0,-3133423,-1349980.0,PureBase Corp,0001575858,231188,30416,,976821.0,,-745633,
2,2018,2018-12-01,564296.0,-1164463,-1095534.0,PureBase Corp,0001575858,227378,24290,,5220989.0,,-4993611,
3,2017,,,-1629562,-2142167.0,PureBase Corp,0001575858,286103,73009,,4318665.0,,-4032562,
4,2016,,,-2701166,,PureBase Corp,0001575858,947462,652727,,3762542.0,,-2787907,
5,2015,,,-1412336,,PureBase Corp,0001575858,403938,97163,,1388009.0,,-984071,
6,2014,,,-856783,,PureBase Corp,0001575858,513978,270158,,307053.0,,-793075,
7,2013,,,-38900,,Port of Call Online Inc.,0001575858,1700,400,,1100.0,,600,
8,2013,,,-38900,,Port of Call Online Inc.,0001575858,1700,400,,1100.0,,-427276,
9,2013,,,-38900,,Port of Call Online Inc.,0001575858,1700,400,,3355.0,,600,
10,2013,,,-38900,,Port of Call Online Inc.,0001575858,1700,400,,3355.0,,-427276,
11,2013,,,-38900,,PureBase Corp,0001575858,255863,400,,1100.0,,600,
12,2013,,,-38900,,PureBase Corp,0001575858,255863,400,,1100.0,,-427276,
13,2013,,,-38900,,PureBase Corp,0001575858,255863,400,,3355.0,,600,
14,2013,,,-38900,,PureBase Corp,0001575858,255863,400,,3355.0,,-427276,
15,2013,,,-427276,,Port of Call Online Inc.,0001575858,1700,400,,1100.0,,600,
16,2013,,,-427276,,Port of Call Online Inc.,0001575858,1700,400,,1100.0,,-427276,
17,2013,,,-427276,,Port of Call Online Inc.,0001575858,1700,400,,3355.0,,600,
18,2013,,,-427276,,Port of Call Online Inc.,0001575858,1700,400,,3355.0,,-427276,
19,2013,,,-427276,,PureBase Corp,0001575858,255863,400,,1100.0,,600,
20,2013,,,-427276,,PureBase Corp,0001575858,255863,400,,1100.0,,-427276,
21,2013,,,-427276,,PureBase Corp,0001575858,255863,400,,3355.0,,600,
22,2013,,,-427276,,PureBase Corp,0001575858,255863,400,,3355.0,,-427276,
23,2012,,,-2900,,Port of Call Online Inc.,0001575858,39500,39500,,,,39500,
