,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,395521000.0,40345000.0,54241000.0,366575000,222283000,,53329000,38271000.0,"MGP INGREDIENTS, INC.",0000835011,262526000,
1,2019,2020-01-01,362745000.0,38793000.0,47242000.0,322597000,184206000,,39295000,40658000.0,"MGP INGREDIENTS, INC.",0000835011,231044000,
2,2018,2019-01-01,376089000.0,37284000.0,50148000.0,277892000,154623000,,37463000,21040000.0,"MGP Ingredients, Inc.",0000835011,201441000,
3,2017,2018-01-01,347448000.0,41823000.0,42909000.0,240328000,134742000,,41580000,21407000.0,"MGP Ingredients, Inc.",0000835011,168730000,
4,2016,2017-01-01,318263000.0,31184000.0,41975000.0,225336000,110901000,,36995000,31642000.0,"MGP Ingredients, Inc.",0000835011,146292000,
5,2015,,,26191000.0,32850000.0,194310000,91180000,,37661000,,MGP INGREDIENTS INC,0000835011,116160000,1.48
6,2014,,,23675000.0,16619000.0,160215000,82245000,,30748000,,MGP INGREDIENTS INC,0000835011,104365000,1.32
7,2013,,,-4929000.0,-5199000.0,151329000,71886000,,34150000,,MGP INGREDIENTS INC,0000835011,81603000,-0.29
8,2012,,,1624000.0,-944000.0,163171000,78091000,,29771000,,MGP INGREDIENTS INC,0000835011,86827000,0.09
9,2011,,,,,169157000,78058000,31082000.0,59171000,6852000.0,MGP INGREDIENTS INC,0000835011,84430000,
