,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,8034000.0,-4655000.0,-12778000.0,47348000.0,31696000.0,3812000.0,6314000.0,2105000.0,"Arcadia Biosciences, Inc.",0001469443,27725000,
1,2019,2020-01-01,1169000.0,-28805000.0,-19381000.0,32574000.0,28440000.0,1794000.0,5708000.0,107000.0,"Arcadia Biosciences, Inc.",0001469443,7705000,
2,2018,2019-01-01,1464000.0,-13480000.0,-16870000.0,24024000.0,22876000.0,181000.0,3054000.0,,"Arcadia Biosciences, Inc.",0001469443,12815000,
3,2017,2018-01-01,4026000.0,-15707000.0,-14315000.0,16570000.0,15047000.0,229000.0,3525000.0,,"Arcadia Biosciences, Inc.",0001469443,8007000,
4,2016,,,-19624000.0,-18620000.0,56574000.0,52222000.0,252000.0,3129000.0,25127000.0,"ARCADIA BIOSCIENCES, INC.",0001469443,22198000,
5,2015,,,-17956000.0,-15563000.0,74242000.0,52017000.0,294000.0,3450000.0,24930000.0,"ARCADIA BIOSCIENCES, INC.",0001469443,40225000,
6,2014,,,-18339000.0,-15153000.0,24889000.0,18695000.0,424000.0,11269000.0,8869000.0,"ARCADIA BIOSCIENCES, INC.",0001469443,-84766000,
7,2013,,,,,,,,,,"ARCADIA BIOSCIENCES, INC.",0001469443,-17297000,
