,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,23851000.0,-44836000.0,-43832000.0,63327000.0,39590000.0,1383000.0,6945000.0,1518000.0,"Calyxt, Inc.",0001705843,36875000,
1,2019,2020-01-01,7296000.0,-39612000.0,-39673000.0,88098000.0,63522000.0,2594000.0,7196000.0,,"Calyxt, Inc.",0001705843,62508000,
2,2018,2019-01-01,236000.0,-27897000.0,-28115000.0,118791000.0,95522000.0,,7004000.0,,"Calyxt, Inc.",0001705843,93397000,
3,2017,2018-01-01,508000.0,-25980000.0,-25789000.0,72167000.0,57457000.0,,4254000.0,,"Calyxt, Inc.",0001705843,57476000,
4,2016,2017-01-01,399000.0,-12086000.0,-12109000.0,16623000.0,5465000.0,,2865000.0,,"Calyxt, Inc.",0001705843,13119000,
5,2015,,,-5889000.0,-5814000.0,,,,,,"CALYXT, INC.",0001705843,24257000,
6,2014,,,,,,,,,,"CALYXT, INC.",0001705843,-10436000,
