,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
37,"		NonCurrentPrepaidAssets","745,000","820,000","685,000","548,000","702,000","501,000","1,087,000","1,168,000","1,107,000",,,,,,,,,,,,,,
38,"		OtherNonCurrentAssets","1,178,000","1,205,000","1,444,000","1,448,000","1,152,000","1,343,000","1,393,000","1,479,000","3,396,000","3,879,000","3,403,000","1,256,000","1,216,000","349,000","142,000","189,674",0,"42,525","64,923","15,298",,,
39,TotalLiabilitiesNetMinorityInterest,"95,900,000","43,675,000","29,365,000","32,594,000","35,466,000","47,192,000","50,674,000","83,467,000","54,494,000","33,589,000","20,113,000","15,361,000","14,559,000","11,384,000","6,883,000","6,918,732","2,994,831","2,885,350","1,448,640","1,192,847","982,000","211,000","18,000"
40,"	CurrentLiabilities","82,870,000","34,994,000","26,810,000","29,593,000","29,823,000","41,015,000","36,302,000","70,562,000","43,666,000","30,603,000","18,204,000","12,074,000","12,395,000","10,055,000","6,880,000","6,918,732","2,994,831","2,885,350","1,448,640","1,192,847",,,
41,"		PayablesAndAccruedExpenses","66,846,000","25,549,000","21,759,000","24,189,000","24,911,000","28,896,000","28,538,000","50,503,000","35,893,000","28,321,000","16,661,000","11,112,000","11,567,000","9,568,000","4,988,000","5,766,492","2,903,694","1,552,164","990,029","1,106,126",,,
42,"			Payables","64,426,000","21,320,000","17,618,000","20,066,000","20,405,000","24,132,000","23,774,000","45,434,000","28,695,000","22,010,000","10,581,000","6,834,000","6,605,000","4,960,000","2,839,000","2,372,650","439,425","223,627","442,349","821,808",,,
43,"				AccountsPayable","6,996,000","20,406,000","17,129,000","19,105,000","19,714,000","23,655,000","23,008,000","31,766,000","28,695,000","21,731,000","9,931,000","6,834,000","6,605,000","4,960,000","2,839,000","2,372,650","439,425","223,627","442,349","175,351",,,
44,"				TotalTaxPayable","326,000","914,000","489,000","961,000","691,000","477,000","574,000",,0,"279,000","650,000",,,,,,,,,"646,457",,,
45,"					IncomeTaxPayable","326,000","914,000","489,000","961,000","691,000","477,000","574,000",,0,"279,000","650,000",,,,,,,,,"646,457",,,
46,"				DuetoRelatedPartiesCurrent",,,,,,,"192,000","13,668,000",,,,,,,,,,,,,,,
47,"				OtherPayable","57,104,000",,,0,0,0,"192,000","13,668,000",0,,0,0,0,0,0,0,0,0,0,0,,,
48,"			CurrentAccruedExpenses","2,420,000","4,229,000","4,141,000","4,123,000","4,506,000","4,764,000","4,764,000","5,069,000","7,198,000","6,311,000","6,080,000","4,278,000","4,962,000","4,608,000","2,149,000","3,393,842","2,464,269","1,328,537","547,680","284,318",,,
49,"		CurrentProvisions","4,085,000","293,000","382,000","539,000","474,000","530,000","2,101,000","13,482,000","916,000",,,,,,,,,,,,,,
50,"		PensionandOtherPostRetirementBenefitPlansCurrent","2,144,000","2,955,000","2,813,000","3,540,000","3,288,000","4,373,000","4,090,000","4,718,000","3,879,000",,,,,,,,,,,,,,
51,"		CurrentDebtAndCapitalLeaseObligation","6,436,000","5,301,000",,,0,"5,658,000",,,,,,,,,,,,,,,,,
52,"			CurrentDebt","2,849,000",,,,0,"5,658,000",,,,,,,,,,,,,,,,,
53,"				CurrentNotesPayable",,,,,0,"5,658,000",,,,,,,,,,,,,,,,,
54,"				OtherCurrentBorrowings","2,849,000",,,,,"5,658,000",,,,,,,,,,,,,,,,,
55,"			CurrentCapitalLeaseObligation","3,587,000","5,301,000",,,,,,,,,,,,,,,,,,,,,
56,"		CurrentDeferredLiabilities","2,688,000","896,000","1,856,000","1,325,000","1,150,000","1,558,000","1,573,000","1,859,000","2,978,000","2,282,000","1,543,000","962,000","703,000","450,000","750,000","295,878","91,137","22,312","19,179",,,,
57,"			CurrentDeferredRevenue","2,688,000","896,000","1,339,000","825,000","719,000","1,085,000","1,192,000","1,578,000","2,698,000","2,282,000","1,325,000","828,000","703,000","450,000","750,000","295,878","91,137","22,312","19,179",,,,
58,"		OtherCurrentLiabilities","671,000",,,,,,,,,,,,"125,000","37,000","1,142,000","856,362",,"1,310,874","439,432","86,721",,,
59,"	TotalNonCurrentLiabilitiesNetMinorityInterest","13,030,000","8,681,000","2,555,000","3,001,000","5,643,000","6,177,000","14,372,000","12,905,000","10,828,000","2,986,000","1,909,000","3,287,000","2,164,000","1,329,000","3,000",,,,,0,,,
60,"		LongTermDebtAndCapitalLeaseObligation","11,588,000","8,238,000",,,,,,,,,,,,,,,,,,,,,
61,"			LongTermDebt","814,000",,,,,,,,,,,,,,,,,,,,,,
62,"			LongTermCapitalLeaseObligation","10,774,000","8,238,000",,,,,,,,,,,,,,,,,,,,,
63,"		NonCurrentDeferredLiabilities","357,000","84,000","2,137,000","2,628,000","2,764,000","3,177,000","3,436,000","2,469,000","798,000","2,986,000","460,000","1,148,000","465,000",,"3,000",,,,,0,,,
64,"			NonCurrentDeferredTaxesLiabilities","357,000",,,"373,000",,"3,000,000","10,936,000","10,436,000","10,030,000","2,225,000",0,"533,000","465,000",,"3,000",,,,,0,,,
65,"		TradeandOtherPayablesNonCurrent","357,000","359,000","418,000","373,000","2,879,000","3,000,000","10,936,000","10,436,000","10,030,000",,,,,,,,,,,,,,
66,"		LiabilitiesHeldforSaleNonCurrent",0,,,,,,,,,,,,,,,,,,,,,,
67,"		OtherNonCurrentLiabilities","1,085,000","84,000",,"373,000","2,879,000",0,0,0,0,,"1,449,000","2,139,000","1,699,000",,0,,,,,,,,
68,TotalEquityGrossMinorityInterest,"6,500,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,814,000","31,335,000","43,339,000","34,759,000","45,889,000","30,771,000","20,763,000","25,902,000","36,817,000","48,533,499","40,262,607","3,841,080","1,790,954","937,883","574,000","194,000","89,000"
69,"	StockholdersEquity","1,891,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,814,000","31,335,000","43,339,000","34,759,000","45,889,000","30,771,000","20,763,000","25,902,000","36,817,000","48,533,499","40,262,607","3,841,080","1,790,954","937,883","574,000","194,000","89,000"
70,"		CapitalStock","114,000","115,000","120,000","125,000","135,000","150,000","163,000","163,000","163,000","164,000","164,000","164,000","143,000","143,000","153,000","162,505","162,332","194,251","194,251","78,173",,,
71,"			PreferredStock",0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,
72,"			CommonStock","114,000","115,000","120,000","125,000","135,000","150,000","163,000","163,000","163,000","164,000","164,000","164,000","143,000","143,000","153,000","162,505","162,332","194,251","194,251","78,173",,,
73,"			OtherCapitalStock",,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,
74,"		AdditionalPaidInCapital","6,239,000",0,0,0,0,"7,759,000","11,043,000","10,247,000","8,863,000","7,656,000","6,598,000","4,772,000","185,000",,"2,076,000","30,645,464","30,299,991","-116,078","-116,078",,,,
75,"		RetainedEarnings","-403,000","14,200,000","18,153,000","16,550,000","21,716,000","17,386,000","53,122,000","37,117,000","42,948,000","43,484,000","40,165,000","27,008,000","21,823,000","25,939,000","34,566,000","17,763,301","9,800,284","3,762,907","1,712,781","859,710",,,
76,"		TreasuryStock",,,,,,"23,241,000","21,517,000","15,662,000","7,898,000","15,123,000",,,,,,,,,,,,,
77,"		GainsLossesNotAffectingRetainedEarnings","-4,059,000","-3,452,000","-4,214,000","-3,597,000","-3,787,000","-3,908,000","-2,997,000","-530,000","-737,000","-1,422,000","-1,038,000","-1,173,000","-1,388,000","-180,000","22,000","-37,771",,,,,,,
78,"	MinorityInterest","4,609,000",,,,,,,,,,,,,,,,,,,,,,
79,TotalCapitalization,"2,705,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,814,000","31,335,000","43,339,000","34,759,000","45,889,000","30,771,000","20,763,000","25,902,000","36,817,000","48,533,499","40,262,607","3,841,080","1,790,954","937,883","574,000","194,000","89,000"
80,CommonStockEquity,"1,891,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,814,000","31,335,000","43,339,000","34,759,000","45,889,000","30,771,000","20,763,000","25,902,000","36,817,000","48,533,499","40,262,607","3,841,080","1,790,954","937,883","574,000","194,000","89,000"
81,CapitalLeaseObligations,"14,361,000","13,539,000",,,,,,,,,,,,,,,,,,,,,
82,NetTangibleAssets,"-13,587,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,651,000","30,931,000","42,353,000","34,055,000","44,831,000","29,360,000","20,718,000","25,844,000","36,783,000","48,513,612","40,179,044","3,694,287","1,578,661","577,645","574,000","194,000","89,000"
83,WorkingCapital,"-12,826,000","1,116,000","6,356,000","7,646,000","14,643,000","16,046,000","41,061,000","30,912,000","42,654,000","29,261,000","39,563,000","27,250,000","17,407,000","26,202,000","36,472,000","48,136,939","40,027,408","3,460,176","1,339,593","425,147",,,
84,InvestedCapital,"5,554,000","10,863,000","14,059,000","13,078,000","18,064,000","27,045,000","39,814,000","31,335,000","43,339,000","34,759,000","45,889,000","30,771,000","20,763,000","25,902,000","36,817,000","48,533,499","40,262,607","3,841,080","1,790,954","937,883","574,000","194,000","89,000"
85,TangibleBookValue,"-13,587,000","10,863,000","14,059,000","13,078,000","18,064,000","21,387,000","39,651,000","30,931,000","42,353,000","34,055,000","44,831,000","29,360,000","20,718,000","25,844,000","36,783,000","48,513,612","40,179,044","3,694,287","1,578,661","577,645","574,000","194,000","89,000"
86,TotalDebt,"18,024,000","13,539,000",,,0,"5,658,000",,,,,,,,,,,,,,,,,
87,ShareIssued,"11,365,000","11,479,033","11,962,000","12,462,000","13,462,000","14,518,000","15,801,000","15,801,000","15,800,000","16,462,000","16,444,000","16,444,000","14,285,000","14,250,000","15,250,000","16,250,479","16,233,204","19,425,147","19,425,147","19,425,147","19,425,147","19,425,147","19,425,147"
88,OrdinarySharesNumber,"11,365,000","11,479,033","11,962,000","12,462,000","13,462,000","14,518,000","14,730,000","14,991,000","15,362,000","15,962,000","16,444,000","16,444,000","14,285,000","14,250,000","15,250,000","16,250,479","16,233,204","19,425,147","19,425,147","19,425,147","19,425,147","19,425,147","19,425,147"
89,TreasurySharesNumber,,,,,,0,"1,071,000","810,000","438,000","500,000",,,,,,,,,,,,,
0,TotalRevenue,"53,601,000","111,412,000","111,322,000","106,524,000","128,552,000","141,716,000","142,076,000","158,234,000","151,168,000","148,342,000","112,784,000","93,973,000","81,404,000","78,911,000","69,525,000","50,772,141","33,679,232","17,991,241","9,847,820","6,147,938","3,950,000","954,000","84,000"
1,"	OperatingRevenue","53,601,000","111,412,000","111,322,000","106,524,000","128,552,000","141,716,000","142,076,000","158,234,000","151,168,000","148,342,000","112,784,000","93,973,000","81,404,000","78,911,000","69,525,000","50,772,141","33,679,232","17,991,241","9,847,820","-6,482","3,950,000","954,000","84,000"
2,CostOfRevenue,"10,563,000","11,889,000","12,268,000","12,909,000","14,313,000","18,824,000","17,906,000","17,402,000","15,745,000","13,283,000","7,253,000","5,628,000","2,996,000","2,097,000","1,038,000","878,102","694,713","399,039","351,169","304,081",,,
3,GrossProfit,"43,038,000","99,523,000","99,054,000","93,615,000","114,239,000","122,892,000","124,170,000","140,832,000","135,423,000","135,059,000","105,531,000","88,345,000","78,408,000","76,814,000","68,487,000","49,894,039","32,984,519","17,592,202","9,496,651","5,843,857",,,
4,OperatingExpense,"54,191,000","90,059,000","90,816,000","89,070,000","103,171,000","115,746,000","103,120,000","138,554,000","109,934,000","120,037,000","82,019,000","74,637,000","75,297,000","56,190,000","38,734,000","35,023,984","21,951,519","13,853,369","8,020,403","4,628,835","3,200,000",,
5,"	SellingGeneralAndAdministration","51,110,000","83,174,000","81,823,000","79,846,000","93,726,000","103,218,000","110,703,000","116,554,000","106,934,000","120,037,000","82,019,000","74,637,000","75,297,000","56,190,000","38,734,000","35,023,984","21,951,196","13,853,369","8,020,403","4,628,835",,,
6,"		GeneralAndAdministrativeExpense","20,494,000","22,824,000","23,304,000","22,558,000","22,697,000","24,176,000","43,470,000","41,684,000","38,692,000","54,547,000","27,565,000","24,930,000",,,,,,,,"1,354,088",,,
7,"			OtherGandA","20,494,000","22,824,000","23,304,000","22,558,000","22,697,000","24,176,000","43,470,000","41,684,000","38,692,000","54,547,000","27,565,000","24,930,000",,,,,,,,"1,354,088",,,
8,"		SellingAndMarketingExpense","30,616,000","60,350,000","58,519,000","57,288,000","71,029,000","79,042,000","67,233,000","74,870,000","68,242,000","65,490,000","54,454,000","49,707,000",,,,,,,,"3,274,747",,,
9,"	ResearchAndDevelopment","3,081,000","6,885,000","8,993,000","9,224,000","9,445,000","12,528,000",,,,,,,,,,,,,,,,,
10,"	OtherOperatingExpenses",,,,,,,"-7,583,000","22,000,000","3,000,000",,,,,,,,323,,,,,,
11,OperatingIncome,"-11,153,000","9,464,000","8,238,000","4,545,000","11,068,000","7,146,000","21,050,000","2,278,000","25,489,000","15,022,000","23,512,000","13,708,000","3,111,000","20,624,000","29,753,000","14,870,055","11,033,000","3,738,833","1,476,248","1,215,022","750,000","954,000","84,000"
12,NetNonOperatingInterestIncomeExpense,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000",,,,,,,,,,,
13,"	InterestIncomeNonOperating",,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000",,,,,,,,,,,
14,"	TotalOtherFinanceCost",,,,,,,,,,,,"-61,000",,,,,,,,,,,
15,OtherIncomeExpense,"-2,465,000","-515,000","48,000","173,000","-187,000","-1,242,000","141,000","429,000","309,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",323,0,"-54,538","-332,721",,,
16,"	GainOnSaleOfSecurity",,,,,,,,,"4,000",,,,,,,,,,,,,,
17,"	SpecialIncomeCharges","-2,920,000",,,"173,000",0,0,"7,583,000","-22,000,000","-3,000,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
18,"		RestructuringAndMergernAcquisition",,,,,,,,,"3,000,000",,,,,,,,,,"54,538","332,721",,,
19,"		ImpairmentOfCapitalAssets","2,920,000",,,,,,,,,,,,,,,,,,,,,,
20,"		OtherSpecialCharges",,,,,"187,000","1,242,000","-7,583,000","22,000,000","3,000,000",,,,,,,,,,0,,,,
21,"	OtherNonOperatingIncomeExpenses","455,000","-515,000","48,000","173,000","-187,000","-1,242,000","141,000","429,000","305,000",,,,,,,,,,,,,,
22,PretaxIncome,"-13,618,000","8,949,000","8,286,000","4,718,000","10,881,000","5,904,000","21,191,000","2,707,000","25,798,000","15,324,000","23,481,000","13,691,000","3,909,000","22,111,000","31,005,000","15,816,135","11,159,822","3,752,025","1,425,681","885,003",,,
23,TaxProvision,"-2,438,000","4,794,000","3,625,000","3,126,000","4,250,000","-4,960,000","4,839,000","7,718,000","7,600,000","12,005,000","10,324,000","7,273,000","8,025,000","13,002,000","14,202,000","7,853,118","5,122,445","1,701,899","572,610","521,268",,,
24,NetIncomeCommonStockholders,"-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
25,"	NetIncome","-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
26,"		NetIncomeIncludingNoncontrollingInterests","-14,570,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
27,"			NetIncomeContinuousOperations","-11,180,000","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","23,512,000","6,418,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
28,"			NetIncomeDiscontinuousOperations","-3,390,000",0,0,"1,938,000",,,,,,0,0,"-1,233,000",,,,,,,,,,,
29,"		MinorityInterests","1,147,000",,,,,,,,,,,,,,,,,,,,,,
30,DilutedNIAvailtoComStockholders,"-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
31,BasicEPS,-1.18,0.35,0.38,0.27,0.47,0.74,1.11,-0.33,1.15,0.2,0.8,0.53,-0.29,0.61,1.08,0.49,0.36,0.11,0.04,0.02,0.02,0.01,0
32,DilutedEPS,-1.18,0.34,0.37,0.27,0.47,0.74,1.1,-0.33,1.14,0.2,0.8,0.52,-0.29,0.57,1.01,0.45,0.33,0.1,0.04,0.019,0.02,0.01,0
33,BasicAverageShares,"11,344,000","11,809,000","12,323,000","12,882,000","13,997,000","14,722,000","14,768,000","15,269,000","15,866,000","16,315,000","16,444,000","16,408,000","14,273,000","14,847,000","15,503,000","16,249,231","16,879,227","19,425,147","19,425,147","19,425,147","19,373,000","19,323,000","9,432,000"
34,DilutedAverageShares,"11,344,000","12,035,000","12,510,000","12,894,000","13,997,000","14,722,000","14,809,000","15,269,000","15,901,000","16,414,000","16,453,000","16,416,000","14,273,000","16,074,000","16,712,000","17,730,876","18,474,775","20,526,951","19,896,353","19,425,147","19,467,000","19,355,000","9,432,000"
35,TotalOperatingIncomeAsReported,"-14,073,000","9,464,000","8,238,000","4,545,000","11,068,000","7,146,000","21,050,000","2,278,000","25,489,000","15,022,000","23,512,000","13,708,000","3,111,000","20,624,000","29,753,000","14,870,055","11,033,000","3,738,833","1,421,710","882,301","750,000",,
36,TotalExpenses,"64,754,000","101,948,000","103,084,000","101,979,000","117,484,000","134,570,000","121,026,000","155,956,000","125,679,000","133,320,000","89,272,000","80,265,000","78,293,000","58,287,000","39,772,000","35,902,086","22,646,232","14,252,408","8,371,572","4,932,916","3,200,000",,
37,NetIncomeFromContinuingAndDiscontinuedOperation,"-13,423,000","4,155,000","4,661,000","3,530,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","5,185,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
38,NormalizedIncome,"-7,638,600","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,195,160","3,371,650","13,285,050","6,468,700","-4,441,000","8,993,300","16,801,200","7,971,832.20","6,037,377","2,050,126","885,793.80","563,367.60","362,000","105,000","29,000"
39,InterestIncome,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000","298,000","1,309,000","1,249,000","960,772","126,499","13,192","3,971","2,702",,,
40,NetInterestIncome,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000","298,000","1,309,000","1,249,000","960,772","126,499","13,192","3,971","2,702",,,
41,EBIT,"-11,153,000","9,464,000","8,238,000","4,545,000","11,068,000","7,146,000","21,050,000","2,278,000","25,489,000","15,022,000","23,512,000","13,708,000","3,111,000","20,624,000","29,753,000","14,870,055","11,033,000","3,738,833","1,476,248","1,215,022","750,000","954,000","84,000"
42,EBITDA,,,,,,,,,,,,,,,,,,,,,,,
43,ReconciledCostOfRevenue,"10,563,000","11,889,000","12,268,000","12,909,000","14,313,000","18,824,000","17,906,000","17,402,000","15,745,000","13,283,000","7,253,000","5,628,000","2,996,000","2,097,000","1,038,000","878,102","694,713","399,039","351,169","304,081",,,
44,ReconciledDepreciation,"2,314,000","1,318,000","1,828,000","2,075,000","2,530,000","2,788,000","2,824,000","2,980,000","2,539,000","2,725,000","2,389,000","1,992,000","667,000","193,000","131,000","166,957","161,329","163,284","194,373","138,628",,,
45,NetIncomeFromContinuingOperationNetMinorityInterest,"-10,033,000","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","6,418,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
46,TotalUnusualItemsExcludingGoodwill,"-2,920,000",,,"173,000",0,0,"7,583,000","-22,000,000","4,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
