,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
31,"				AvailableForSaleSecurities",,,,"27,000,000","16,000,000","37,000,000","31,000,000","188,338,000","99,248,000",,,
32,"		NonCurrentDeferredAssets","10,000,000","7,000,000","27,000,000","16,000,000","42,000,000",,,"893,000","502,000",,,
33,"			NonCurrentDeferredTaxesAssets","10,000,000","7,000,000","27,000,000","16,000,000","42,000,000",,,"893,000","502,000",,,
34,"		OtherNonCurrentAssets","104,000,000","95,000,000","98,000,000","73,000,000","67,000,000","71,000,000","38,000,000","18,144,000","13,274,000","11,888,000","4,640,000","496,000"
35,TotalLiabilitiesNetMinorityInterest,"1,083,000,000","823,000,000","696,000,000","909,000,000","736,000,000","716,000,000","834,000,000","608,534,000","572,226,000","542,349,000","183,257,000","184,912,000"
36,"	CurrentLiabilities","242,000,000","435,000,000","393,000,000","372,000,000","423,000,000","312,000,000","381,000,000","242,889,000","195,640,000","130,393,000","142,689,000","157,557,000"
37,"		PayablesAndAccruedExpenses","99,000,000","126,000,000","120,000,000","112,000,000","114,000,000","109,000,000","113,000,000","79,186,000","76,832,000","29,326,000","90,662,000","139,071,000"
38,"			Payables","19,000,000","25,000,000","22,000,000","13,000,000","24,000,000","19,000,000","39,000,000","15,312,000","28,696,000","29,326,000","90,662,000","139,071,000"
39,"				AccountsPayable","18,000,000","11,000,000","15,000,000","8,000,000","14,000,000","10,000,000","19,000,000","9,869,000","14,099,000","12,097,000","6,768,000","4,596,000"
40,"				TotalTaxPayable","1,000,000","14,000,000","7,000,000","5,000,000","10,000,000","9,000,000","20,000,000","5,443,000","14,597,000","17,229,000","65,034,000","49,978,000"
41,"					IncomeTaxPayable","1,000,000","14,000,000","7,000,000",,,,,,,,,
42,"				DuetoRelatedPartiesCurrent",,,,,,,,,,0,"18,860,000","84,497,000"
43,"				OtherPayable",,"159,000,000","164,000,000","156,000,000","128,000,000","105,000,000","93,000,000","29,612,000",,,,
44,"			CurrentAccruedExpenses","80,000,000","101,000,000","98,000,000","99,000,000","90,000,000","90,000,000","74,000,000","63,874,000","48,136,000",,,
45,"				InterestPayable","18,000,000",,,,,,,,,,,
46,"		PensionandOtherPostRetirementBenefitPlansCurrent",,,,,,,,,,"21,744,000","18,543,000","10,691,000"
47,"		CurrentDebtAndCapitalLeaseObligation","26,000,000","25,000,000",,"7,000,000","80,000,000","1,000,000","78,000,000","68,461,000","72,145,000","46,734,000","1,779,000",
48,"			CurrentDebt",,,,"7,000,000","80,000,000","1,000,000","78,000,000","68,461,000","72,145,000","46,734,000","1,779,000",
49,"				OtherCurrentBorrowings",,,,"7,000,000","80,000,000","1,000,000","78,000,000","68,461,000","72,145,000",,,
50,"			CurrentCapitalLeaseObligation","26,000,000","25,000,000",,,,,,,,,,
51,"		CurrentDeferredLiabilities","64,000,000","221,000,000","227,000,000","216,000,000","192,000,000","169,000,000","150,000,000","73,582,000","31,563,000","19,395,000","12,119,000","1,208,000"
52,"			CurrentDeferredRevenue","28,000,000","62,000,000","63,000,000","60,000,000","64,000,000","64,000,000","57,000,000","43,970,000","31,563,000","19,395,000","12,119,000","1,208,000"
53,"		OtherCurrentLiabilities","53,000,000","63,000,000","46,000,000","37,000,000","37,000,000","33,000,000","40,000,000","21,660,000","15,100,000","13,194,000","19,586,000","6,587,000"
54,"	TotalNonCurrentLiabilitiesNetMinorityInterest","841,000,000","388,000,000","303,000,000","537,000,000","313,000,000","404,000,000","453,000,000","365,645,000","376,586,000","411,956,000","40,568,000","27,355,000"
55,"		LongTermDebtAndCapitalLeaseObligation","608,000,000","142,000,000","83,000,000","314,000,000","175,000,000","284,000,000","327,000,000","307,877,000","340,000,000","380,000,000",,
56,"			LongTermDebt","491,000,000",,,"230,000,000","91,000,000","200,000,000","260,000,000","300,000,000","340,000,000","380,000,000",,
57,"			LongTermCapitalLeaseObligation","117,000,000","142,000,000","83,000,000","84,000,000","84,000,000","84,000,000","67,000,000","7,877,000",,,,
58,"		NonCurrentDeferredLiabilities","43,000,000","44,000,000","21,000,000","14,000,000","12,000,000","15,000,000","39,000,000","13,114,000","11,023,000","16,004,000","28,888,000","22,385,000"
59,"			NonCurrentDeferredTaxesLiabilities","10,000,000","8,000,000","21,000,000","14,000,000","12,000,000","15,000,000","39,000,000","13,114,000","11,023,000","16,004,000","28,888,000","22,385,000"
60,"			NonCurrentDeferredRevenue","33,000,000","36,000,000",,,,,,,,,,
61,"		TradeandOtherPayablesNonCurrent","3,000,000","31,000,000","31,000,000","61,000,000",,,,,,,,
62,"		PreferredSecuritiesOutsideStockEquity",,,,,,,,,0,,,
63,"		OtherNonCurrentLiabilities","187,000,000","171,000,000","168,000,000","148,000,000","126,000,000","105,000,000","87,000,000","44,654,000","25,563,000","15,952,000","11,680,000","4,970,000"
64,TotalEquityGrossMinorityInterest,"886,000,000","1,161,000,000","1,471,000,000","1,363,000,000","1,502,000,000","1,412,000,000","1,125,000,000","864,480,000","726,968,000","293,537,000","539,632,000","389,914,000"
65,"	StockholdersEquity","886,000,000","1,161,000,000","1,471,000,000","1,363,000,000","1,502,000,000","1,412,000,000","1,125,000,000","864,480,000","726,968,000","293,537,000","539,632,000","389,914,000"
66,"		CapitalStock",0,0,0,0,0,0,0,"144,000","143,000","134,000","541,561,000","393,363,000"
67,"			PreferredStock",0,0,0,0,0,0,0,0,0,0,,
68,"			CommonStock",0,0,0,0,0,0,0,"144,000","143,000","134,000","541,561,000","393,363,000"
69,"		AdditionalPaidInCapital","1,253,000,000","1,150,000,000","1,037,000,000","926,000,000","831,000,000","741,000,000","673,000,000","608,001,000","531,256,000","293,744,000",,
70,"		RetainedEarnings","389,000,000","681,000,000","1,043,000,000","926,000,000","945,000,000","826,000,000","628,000,000","401,881,000","196,438,000","2,369,000",,
71,"		TreasuryStock","722,000,000","607,000,000","547,000,000","447,000,000","197,000,000","92,000,000","145,000,000","145,221,000",,,,
72,"		GainsLossesNotAffectingRetainedEarnings","-34,000,000","-63,000,000","-62,000,000","-42,000,000","-77,000,000","-63,000,000","-31,000,000","-325,000","-869,000","-2,710,000","-1,929,000","-3,449,000"
73,TotalCapitalization,"1,377,000,000","1,161,000,000","1,471,000,000","1,593,000,000","1,593,000,000","1,612,000,000","1,385,000,000","1,164,480,000","1,066,968,000","673,537,000","539,632,000","389,914,000"
74,CommonStockEquity,"886,000,000","1,161,000,000","1,471,000,000","1,363,000,000","1,502,000,000","1,412,000,000","1,125,000,000","864,480,000","726,968,000","293,537,000","539,632,000","389,914,000"
75,CapitalLeaseObligations,"143,000,000","167,000,000","83,000,000","84,000,000","84,000,000","84,000,000","67,000,000","7,877,000",,,,
