,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
79,InvestedCapital,"1,467,935,000","2,924,163,000","3,399,675,000","3,595,111,000","4,481,936,000","3,391,420,000","1,408,723,218","-425,085,515","-281,167,619","-173,915,375"
80,TangibleBookValue,"984,597,000","2,213,581,000","2,772,233,000","2,986,838,000","3,742,030,000","2,469,303,000","1,408,723,218","-425,085,515","-281,167,619","-173,915,375"
81,TotalDebt,"135,887,000","325,742,000","49,312,000",,0,"70,000,000",,,,
82,ShareIssued,"389,331,544","389,331,544","370,007,644","388,918,015","379,470,757","286,970,892","188,435,922","145,659,585","145,659,585","145,659,585"
83,OrdinarySharesNumber,"370,488,856","370,024,243","370,007,644","388,918,015","379,470,757","286,970,892","188,435,922","145,659,585","145,659,585","145,659,585"
84,TreasurySharesNumber,"18,842,688","19,307,301",,,,,,,,
0,TotalRevenue,"450,259,000","2,280,987,000","2,240,149,000","2,192,100,000","10,548,273,000","7,645,260,000","3,534,939,179","1,949,687,414","1,112,880,580","765,542,735"
1,"	OperatingRevenue","302,359,000","1,886,822,000","1,830,630,000","1,589,353,000","10,179,977,000","7,553,041,000","3,525,951,026","1,941,726,641","1,107,453,208","768,946,415"
2,"	ExciseTaxes",,,0,0,"17,307,000","35,526,000","19,768,193","12,783,319","7,446,944","6,070,523"
3,CostOfRevenue,"237,065,000","1,200,012,000","1,065,022,000","1,024,206,000","9,921,304,000","7,274,675,000","3,308,800,795","1,829,665,386","1,073,731,629","741,715,590"
4,GrossProfit,"213,194,000","1,080,975,000","1,175,127,000","1,167,894,000","626,969,000","370,585,000","226,138,384","120,022,028","39,148,951","23,827,145"
5,OperatingExpense,"1,553,989,000","1,951,819,000","1,524,121,000","2,051,320,000","3,146,293,000","1,825,621,000","699,158,458","217,055,347","152,595,356","124,201,275"
6,"	SellingGeneralAndAdministration","1,481,324,000","1,672,677,000","1,265,498,000","1,531,943,000","2,567,214,000","1,539,597,000","601,178,737","179,749,545","119,999,334","104,466,220"
7,"		GeneralAndAdministrativeExpense","1,109,340,000","749,404,000","487,372,000","637,795,000","658,790,000","385,442,000","166,987,647","69,678,933","62,005,515","53,877,340"
8,"			OtherGandA","1,109,340,000","749,404,000","487,372,000","637,795,000","658,790,000","385,442,000","166,987,647","69,678,933","62,005,515","53,877,340"
9,"		SellingAndMarketingExpense","371,984,000","923,273,000","778,126,000","894,148,000","1,908,424,000","1,154,155,000","434,191,090","110,070,612","57,993,819","50,588,880"
10,"	ResearchAndDevelopment","100,514,000","303,561,000","315,222,000","541,126,000","601,402,000","298,199,000","104,881,535","38,994,362","33,369,749","21,386,118"
11,"	OtherOperatingExpenses","-27,849,000","-24,419,000","-56,599,000","-21,749,000","-22,323,000","-12,175,000","-6,901,814","-1,688,560","-773,727","-1,651,063"
12,OperatingIncome,"-1,340,795,000","-870,844,000","-348,994,000","-883,426,000","-2,519,324,000","-1,455,036,000","-473,020,074","-97,033,319","-113,446,405","-100,374,130"
