name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalAssets,"12,023,000,000","12,172,000,000","12,661,000,000","13,463,000,000","15,131,000,000","12,738,900,000","11,338,200,000","10,678,100,000","10,166,900,000","8,974,500,000","8,758,500,000","2,494,900,000","2,387,600,000","2,012,500,000","1,290,400,000","1,228,100,000","1,546,971,000","1,415,600,000","1,321,700,000"
	CurrentAssets,"1,367,000,000","974,000,000","1,274,000,000","1,465,000,000","2,655,000,000","1,127,100,000","2,614,500,000","2,630,100,000","2,807,600,000","1,798,600,000","1,341,400,000","1,283,100,000","1,433,200,000","1,279,100,000","633,100,000","576,100,000","788,797,000",,
		CashCashEquivalentsAndShortTermInvestments,"683,000,000","287,000,000","682,000,000","835,000,000","1,164,000,000","286,000,000","1,996,600,000","1,710,800,000","2,274,900,000","1,207,000,000","800,800,000","882,100,000","625,000,000","861,000,000","325,600,000","216,700,000","419,293,000","168,900,000","94,900,000"
			CashAndCashEquivalents,"683,000,000","287,000,000","682,000,000","835,000,000","1,164,000,000","286,000,000","1,996,600,000","1,710,800,000","2,274,900,000","1,207,000,000","797,700,000","697,100,000","625,000,000","366,500,000","25,400,000","37,400,000","50,003,000","77,200,000","56,500,000"
				CashFinancial,"108,000,000","59,000,000","34,000,000","120,000,000","89,000,000","70,700,000","71,300,000","148,900,000","106,000,000",,,,,,,,,,
				CashEquivalents,"575,000,000","228,000,000","648,000,000","715,000,000","1,075,000,000","215,300,000","1,925,300,000","1,561,900,000","2,168,900,000",,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,"0","3,100,000","185,000,000",,"494,500,000","300,200,000","179,300,000","369,290,000","91,700,000","38,400,000"
		Receivables,"265,000,000","242,000,000","235,000,000","307,000,000","236,000,000","267,200,000","191,500,000","230,900,000","217,400,000","269,400,000","238,900,000","167,400,000","175,100,000","148,700,000","113,900,000","53,900,000","43,274,000",,
			AccountsReceivable,"256,000,000","229,000,000","226,000,000","297,000,000","227,000,000","210,200,000","185,700,000","225,000,000","213,200,000","269,400,000","238,900,000","167,400,000","175,100,000","148,700,000","113,900,000","52,800,000","41,510,000",,
			OtherReceivables,"9,000,000","13,000,000","9,000,000","10,000,000","9,000,000","57,000,000","5,800,000","5,900,000","4,200,000",,,,,,,"1,100,000","1,764,000",,
		Inventory,"287,000,000","351,000,000","309,000,000","275,000,000","339,000,000","321,200,000","202,900,000","274,300,000","277,900,000","304,200,000","270,300,000","207,800,000","588,600,000","231,700,000","176,100,000","251,100,000","233,547,000",,
			RawMaterials,"41,000,000","40,000,000","37,000,000","42,000,000","60,000,000","35,100,000","23,400,000","23,300,000","65,700,000","304,200,000","270,300,000",,"62,400,000","41,200,000","41,000,000","55,000,000","45,256,000",,
			FinishedGoods,"246,000,000","311,000,000","272,000,000","233,000,000","279,000,000","286,100,000","179,500,000","251,000,000","212,200,000",,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,"526,200,000","190,500,000","135,100,000","196,100,000","188,291,000",,
		PrepaidAssets,"97,000,000","71,000,000","28,000,000","33,000,000","841,000,000","184,600,000","52,800,000","53,100,000","17,700,000",,"0","14,700,000","26,300,000",,,,,,
		RestrictedCash,,,,"0","5,000,000","22,800,000","86,100,000","154,000,000",,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,"84,000,000","60,000,000","9,500,000",,,,,,,,"33,501,000",,
			CurrentDeferredTaxesAssets,,,,,,,"84,000,000","60,000,000","9,500,000",,,,,,,,"33,501,000",,
		AssetsHeldForSaleCurrent,,,,,,,"0","74,300,000",,,,,,,,,,,
		HedgingAssetsCurrent,,,,,,,"600,000","72,700,000","10,100,000",,,,,,,,,,
		OtherCurrentAssets,"35,000,000","23,000,000","20,000,000","15,000,000","70,000,000","45,300,000",,"92,400,000","100,000","18,000,000","31,400,000","11,100,000","18,200,000","37,700,000","17,500,000","54,400,000","59,182,000",,
	TotalNonCurrentAssets,"10,656,000,000","11,198,000,000","11,387,000,000","11,998,000,000","12,476,000,000","11,611,800,000","8,723,700,000","8,048,000,000","7,359,300,000","7,175,900,000","7,417,100,000","1,211,800,000","954,400,000","733,400,000","657,300,000","652,000,000","758,174,000",,
		NetPPE,"7,891,000,000","8,450,000,000","8,623,000,000","9,175,000,000","9,652,000,000","8,539,000,000","5,525,800,000","4,101,700,000","3,900,500,000","3,736,000,000","3,925,600,000","793,800,000","661,900,000","623,600,000","597,000,000","630,100,000","645,595,000",,
			GrossPPE,"14,036,000,000","13,815,000,000","13,307,000,000","13,246,000,000","12,891,000,000","11,313,200,000","8,036,800,000","6,343,200,000","6,657,600,000","6,183,500,000","6,078,100,000","2,721,100,000","2,507,900,000","2,465,200,000","2,380,100,000","2,377,200,000","2,339,755,000",,
				Properties,"0","0","0","0","0","0","0","0","0","200,700,000","200,700,000","196,700,000","0","0","0","0","0",,
				LandAndImprovements,"68,000,000","71,000,000","69,000,000","71,000,000","69,000,000","68,100,000","48,400,000","37,900,000","60,200,000","60,300,000","60,500,000","36,500,000","224,800,000","216,900,000","217,000,000","216,600,000","216,160,000",,
				BuildingsAndImprovements,"895,000,000","890,000,000","886,000,000","882,000,000","878,000,000","270,900,000","160,700,000","159,400,000","537,100,000",,,,,,"1,926,800,000","2,146,700,000","2,111,910,000",,
				MachineryFurnitureEquipment,"12,539,000,000","12,338,000,000","12,127,000,000","12,070,000,000","11,664,000,000","7,347,600,000","5,268,700,000","5,046,800,000","5,388,600,000","5,720,600,000","5,518,500,000","2,370,000,000","1,987,400,000","2,014,500,000",,,,,
				OtherProperties,"259,000,000","280,000,000","8,623,000,000","9,175,000,000","9,652,000,000","8,539,000,000",,"4,101,700,000","202,600,000",,,,"220,800,000","205,200,000","218,100,000",,,,
				ConstructionInProgress,"275,000,000","236,000,000","225,000,000","223,000,000","280,000,000","3,626,600,000","2,559,000,000","1,099,100,000","469,100,000","201,900,000","298,400,000","117,900,000","74,900,000","28,600,000","18,200,000","13,900,000","11,685,000",,
			AccumulatedDepreciation,"-6,145,000,000","-5,365,000,000","-4,684,000,000","-4,071,000,000","-3,239,000,000","-2,774,200,000","-2,511,000,000","-2,241,500,000","-2,757,100,000","-2,447,500,000","-2,152,500,000","-1,927,300,000","-1,846,000,000","-1,841,600,000","-1,783,100,000","-1,747,100,000","-1,694,160,000",,
		GoodwillAndOtherIntangibleAssets,"2,478,000,000","2,475,000,000","2,468,000,000","2,500,000,000","2,473,000,000","2,545,800,000","2,134,600,000","2,141,600,000","2,114,100,000","2,064,500,000","2,085,700,000","900,000","900,000","900,000","900,000","900,000","1,327,000",,
			Goodwill,"2,374,000,000","2,365,000,000","2,353,000,000","2,371,000,000","2,345,000,000","2,390,100,000","2,092,800,000","2,095,800,000","2,064,500,000","2,064,500,000","2,085,700,000","900,000","900,000","900,000","900,000",,,,
			OtherIntangibleAssets,"104,000,000","110,000,000","115,000,000","129,000,000","128,000,000","155,700,000","41,800,000","45,800,000","49,600,000",,,,,,,"900,000","1,327,000",,
		InvestmentsAndAdvances,"80,000,000","88,000,000","93,000,000","108,000,000","139,000,000","297,800,000","861,500,000","939,100,000","961,600,000","999,500,000","1,079,900,000","376,200,000",,,,,,,
			LongTermEquityInvestment,"80,000,000","88,000,000","93,000,000","108,000,000","139,000,000","297,800,000","861,500,000","926,000,000","935,600,000",,,,,,,,,,
				InvestmentsinAssociatesatCost,"80,000,000","88,000,000","93,000,000","108,000,000","139,000,000","297,800,000","861,500,000","926,000,000","935,600,000",,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,"13,100,000","26,000,000","70,900,000",,,,,,,,,
				TradingSecurities,,,,,,,,"13,100,000","26,000,000",,,,,,,,,,
			OtherInvestments,,,,,,,,,,"928,600,000",,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,"37,900,000","29,800,000",,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,"47,800,000","44,700,000",,,,,,"1,700,000",,"74,909,000",,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,"1,700,000",,"74,909,000",,
		DefinedPensionBenefit,,,,,,,,"22,400,000","21,700,000",,,,,,,,,,
