name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2007,12/31/2006,12/31/2005,12/31/2004
			OtherReceivables,"160,000,000","158,000,000","164,000,000","166,000,000","116,000,000","150,000,000","111,250,000","90,061,000","144,932,000","120,893,000","81,283,000","72,006,000","547,352,000","208,299,000","191,504,000","170,924,000"
		Inventory,"1,250,000,000","1,312,000,000","1,290,000,000","1,226,000,000","1,267,000,000","1,364,000,000","1,335,098,000","1,408,297,000","1,480,044,000","1,410,930,000","1,114,134,000","1,233,250,000","974,966,000","799,007,000","652,521,000","509,811,000"
			RawMaterials,,,,,,,,,,,,,"284,562,000","204,715,000","181,199,000","166,667,000"
			WorkInProcess,,,,,,,,,,,,,"170,857,000","158,904,000","147,838,000","109,870,000"
			FinishedGoods,,,,,,,,,,,,,"549,318,000","475,851,000","361,647,000","277,672,000"
			OtherInventories,,,,,,,,,,,,,,"1,050,000","291,000","773,000"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,"-29,771,000","-41,513,000","-38,454,000","-45,171,000"
		PrepaidAssets,"50,000,000","51,000,000","52,000,000","43,000,000","40,000,000","48,000,000","28,939,000","34,021,000","46,347,000","31,866,000","36,034,000","25,729,000","35,038,000","43,605,000","31,978,000","25,898,000"
		CurrentDeferredAssets,,,,,,,,,,,,,"60,257,000","44,046,000","24,937,000","23,437,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,"60,257,000","44,046,000","24,937,000","23,437,000"
		AssetsHeldForSaleCurrent,,,"0","169,000,000","0","39,000,000","224,595,000",,,,,,,,,
		HedgingAssetsCurrent,,,,,,"9,000,000","14,595,000","62,235,000","40,068,000","28,772,000","27,690,000","20,803,000",,,,
	TotalNonCurrentAssets,"6,823,000,000","6,489,000,000","5,988,000,000","5,989,000,000","5,981,000,000","6,092,000,000","5,207,549,000","4,931,845,000","4,436,718,000","3,840,174,000","3,258,025,000","3,136,094,000","2,381,262,000","1,980,151,000","1,936,590,000","1,859,873,000"
		NetPPE,"5,564,000,000","5,349,000,000","4,677,000,000","4,535,000,000","4,335,000,000","4,348,000,000","3,945,876,000","3,704,729,000","3,066,962,000","2,575,988,000","2,190,594,000","2,093,133,000","1,841,396,000","1,681,961,000","1,661,936,000","1,620,240,000"
			GrossPPE,"12,065,000,000","11,238,000,000","10,276,000,000","9,849,000,000","9,193,000,000","8,943,000,000","8,483,029,000","8,119,742,000","6,984,671,000","6,273,556,000","5,736,390,000","5,587,909,000","4,996,244,000","4,679,331,000","4,519,957,000","4,398,396,000"
				Properties,"48,000,000","44,000,000","39,000,000","39,000,000","35,000,000","143,000,000","25,359,000","23,778,000","21,121,000","0","0","0","0","0","0","0"
				LandAndImprovements,"880,000,000","804,000,000","861,000,000","844,000,000","763,000,000","760,000,000","715,133,000","741,102,000","678,740,000","635,044,000","560,890,000","554,444,000","579,238,000","514,833,000","491,344,000","491,848,000"
				MachineryFurnitureEquipment,"7,419,000,000","7,135,000,000","6,886,000,000","6,180,000,000","5,801,000,000","5,430,000,000","5,319,689,000","5,265,652,000","4,952,679,000","4,651,382,000","4,360,540,000","4,226,522,000","4,285,143,000","3,675,893,000","3,963,314,000","3,835,367,000"
				OtherProperties,"2,940,000,000","2,458,000,000","1,975,000,000","1,888,000,000","1,715,000,000","1,634,000,000","1,528,113,000","1,429,096,000","879,404,000","737,845,000","645,976,000","591,301,000","11,249,000","428,190,000","9,614,000","13,756,000"
				ConstructionInProgress,"778,000,000","797,000,000","515,000,000","898,000,000","879,000,000","976,000,000","894,735,000","660,114,000","452,727,000","249,285,000","168,984,000","215,642,000","120,614,000","60,415,000","55,685,000","57,425,000"
			AccumulatedDepreciation,"-6,501,000,000","-5,889,000,000","-5,599,000,000","-5,314,000,000","-4,858,000,000","-4,595,000,000","-4,537,153,000","-4,415,013,000","-3,917,709,000","-3,697,568,000","-3,545,796,000","-3,494,776,000","-3,154,848,000","-2,997,370,000","-2,858,021,000","-2,778,156,000"
		GoodwillAndOtherIntangibleAssets,"656,000,000","634,000,000","759,000,000","708,000,000","798,000,000","1,049,000,000","783,917,000","772,685,000","724,391,000","746,305,000","543,779,000","566,683,000","417,496,000","181,828,000","185,357,000","129,047,000"
			Goodwill,"320,000,000","302,000,000","309,000,000","326,000,000","377,000,000","349,000,000","302,543,000","267,250,000","260,089,000","252,426,000","185,401,000","185,448,000","152,772,000","48,544,000","42,183,000","38,031,000"
			OtherIntangibleAssets,"336,000,000","332,000,000","450,000,000","382,000,000","421,000,000","700,000,000","481,374,000","505,435,000","464,302,000","493,879,000","358,378,000","381,235,000","264,724,000","133,284,000","143,174,000","91,016,000"
		InvestmentsAndAdvances,"110,000,000","140,000,000","175,000,000","241,000,000","406,000,000","159,000,000","184,549,000","174,511,000","18,392,000","29,404,000","28,124,000","28,762,000",,"31,149,000","24,775,000","14,150,000"
			LongTermEquityInvestment,"27,000,000","29,000,000","30,000,000","29,000,000","153,000,000","159,000,000","184,549,000","174,511,000","18,392,000","29,404,000","28,124,000","28,762,000",,"31,149,000","24,775,000","14,150,000"
				InvestmentsinAssociatesatCost,,,,,,,,,"18,392,000","29,404,000","28,124,000","28,762,000",,,,
			InvestmentinFinancialAssets,"83,000,000","111,000,000","145,000,000","212,000,000","253,000,000",,,,,,,,,,,
				AvailableForSaleSecurities,"83,000,000","111,000,000","145,000,000","212,000,000","253,000,000",,,,,,,,,,,
		FinancialAssets,"115,000,000","57,000,000","15,000,000",,,,"0","7,619,000","27,514,000","18,229,000","36,308,000","16,739,000",,,,
		NonCurrentAccountsReceivable,,,,,,"124,000,000","9,371,000","12,428,000","13,668,000","16,198,000","18,850,000","32,534,000","73,555,000","44,809,000","22,622,000","33,707,000"
		NonCurrentDeferredAssets,"127,000,000","109,000,000","122,000,000","132,000,000","150,000,000","199,000,000","158,443,000","111,157,000","112,455,000","85,356,000","120,305,000","100,271,000","19,044,000","6,539,000","5,541,000","29,773,000"
			NonCurrentDeferredTaxesAssets,"127,000,000","109,000,000","122,000,000","132,000,000","150,000,000","199,000,000","158,443,000","111,157,000","112,455,000","85,356,000","120,305,000","100,271,000","19,044,000","6,539,000","5,541,000","29,773,000"
		NonCurrentPrepaidAssets,,,,,,"2,000,000","2,295,000","3,340,000","349,150,000",,,,,,,
		DefinedPensionBenefit,"91,000,000","78,000,000","73,000,000",,"78,000,000","89,000,000","66,063,000","83,124,000","69,193,000","65,365,000","83,325,000","66,057,000",,,,
		OtherNonCurrentAssets,"160,000,000","122,000,000","167,000,000","373,000,000","214,000,000","122,000,000","57,035,000","62,252,000","54,993,000","303,329,000","236,740,000","231,915,000","29,771,000","33,865,000","36,359,000","32,956,000"
TotalLiabilitiesNetMinorityInterest,"5,576,000,000","5,112,000,000","4,861,000,000","5,784,000,000","5,893,000,000","5,889,000,000","5,347,362,000","4,294,811,000","4,346,778,000","4,178,204,000","3,746,914,000","3,112,740,000","2,772,153,000","1,872,289,000","1,823,451,000","1,837,864,000"
	CurrentLiabilities,"2,177,000,000","1,761,000,000","2,009,000,000","2,328,000,000","2,023,000,000","2,046,000,000","2,002,852,000","1,960,041,000","1,926,135,000","1,753,523,000","1,465,811,000","1,202,350,000","1,538,440,000","954,266,000","897,130,000","927,288,000"
		PayablesAndAccruedExpenses,"978,000,000","854,000,000","912,000,000","921,000,000","833,000,000","877,000,000","688,961,000","776,173,000","798,596,000","1,013,700,000","1,088,279,000","820,793,000","720,525,000","524,914,000","504,059,000","443,802,000"
			Payables,"902,000,000","790,000,000","827,000,000","838,000,000","761,000,000","778,000,000","621,370,000","702,819,000","686,154,000","893,400,000","1,025,908,000","752,548,000","659,796,000","479,062,000","469,218,000","406,466,000"
				AccountsPayable,"740,000,000","712,000,000","715,000,000","790,000,000","644,000,000","716,000,000","584,909,000","669,102,000","653,757,000","665,028,000","521,258,000","469,798,000","428,386,000","315,945,000","288,772,000","267,492,000"
				TotalTaxPayable,"87,000,000","78,000,000","112,000,000","48,000,000","57,000,000","62,000,000","36,461,000","33,717,000","32,397,000","44,784,000","41,427,000","69,723,000","101,596,000","72,552,000","65,185,000","32,956,000"
					IncomeTaxPayable,,,,,,,,,"32,397,000","44,784,000","41,427,000","69,723,000","101,596,000","72,552,000","65,185,000","32,956,000"
				DividendsPayable,,,,"0","60,000,000",,,,,"0","169,703,000","0",,,,
				OtherPayable,"75,000,000",,,,,,,,,"183,588,000","293,520,000","213,027,000","129,814,000","90,565,000","115,261,000","106,018,000"
			CurrentAccruedExpenses,"76,000,000","64,000,000","85,000,000","83,000,000","72,000,000","99,000,000","67,591,000","73,354,000","112,442,000","120,300,000","62,371,000","68,245,000","60,729,000","45,852,000","34,841,000","37,336,000"
		CurrentProvisions,"54,000,000","42,000,000","37,000,000","78,000,000","83,000,000","42,000,000","35,118,000","38,485,000","41,177,000","47,178,000","55,037,000","54,848,000",,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"322,000,000","294,000,000","284,000,000","240,000,000","210,000,000","249,000,000","232,631,000","295,022,000","307,083,000","284,826,000","259,131,000","221,002,000","195,211,000","162,379,000","153,787,000","143,001,000"
		CurrentDebtAndCapitalLeaseObligation,"679,000,000","420,000,000","610,000,000","822,000,000","588,000,000","673,000,000","602,749,000","718,284,000","603,805,000","367,148,000","53,017,000","103,951,000","622,704,000","266,973,000","239,284,000","340,485,000"
			CurrentDebt,"615,000,000","371,000,000","610,000,000","822,000,000","588,000,000","673,000,000","602,749,000","718,284,000","603,805,000","367,148,000","53,017,000","103,951,000","622,704,000","266,973,000","239,284,000","340,485,000"
				OtherCurrentBorrowings,"615,000,000","371,000,000","610,000,000","822,000,000","588,000,000","673,000,000","602,749,000","718,284,000","603,805,000","367,148,000","53,017,000","103,951,000",,,"239,284,000","340,485,000"
			CurrentCapitalLeaseObligation,"64,000,000","49,000,000",,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"17,000,000",,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"17,000,000",,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"127,000,000","151,000,000","166,000,000","267,000,000","309,000,000","205,000,000","443,393,000","132,077,000","175,474,000","40,671,000","10,347,000","1,756,000",,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,399,000,000","3,351,000,000","2,852,000,000","3,456,000,000","3,870,000,000","3,843,000,000","3,344,510,000","2,334,770,000","2,420,643,000","2,424,681,000","2,281,103,000","1,910,390,000","1,233,713,000","918,023,000","926,321,000","910,576,000"
		LongTermProvisions,"267,000,000","202,000,000","229,000,000","193,000,000","185,000,000","127,000,000","102,431,000","94,570,000","78,418,000","79,581,000","67,503,000","74,186,000","36,886,000","24,989,000","21,375,000","28,380,000"
		LongTermDebtAndCapitalLeaseObligation,"2,053,000,000","2,181,000,000","1,815,000,000","2,388,000,000","2,796,000,000","2,805,000,000","2,303,716,000","1,310,638,000","1,424,141,000","1,557,677,000","1,509,922,000","1,189,871,000","751,542,000","483,391,000","501,147,000","449,595,000"
			LongTermDebt,"1,792,000,000","1,930,000,000","1,815,000,000","2,388,000,000","2,796,000,000","2,805,000,000","2,303,716,000","1,310,638,000","1,424,141,000","1,557,677,000","1,509,922,000","1,189,871,000","751,542,000","483,391,000","501,147,000","449,595,000"
			LongTermCapitalLeaseObligation,"261,000,000","251,000,000",,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"326,000,000","341,000,000","297,000,000","228,000,000","303,000,000","351,000,000","259,877,000","220,877,000","222,553,000","180,826,000","99,105,000","101,785,000","160,132,000","168,391,000","169,351,000","192,380,000"
			NonCurrentDeferredTaxesLiabilities,"326,000,000","341,000,000","297,000,000","228,000,000","303,000,000","351,000,000","259,877,000","220,877,000","222,553,000","180,826,000","99,105,000","101,785,000","160,132,000","168,391,000","169,351,000","192,380,000"
		EmployeeBenefits,"655,000,000","575,000,000","501,000,000","640,000,000","576,000,000","547,000,000","659,165,000","702,103,000","671,719,000","579,560,000","580,503,000","530,320,000","285,153,000","241,252,000","234,448,000","240,221,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,,"579,560,000","580,503,000","530,320,000","285,153,000","241,252,000","234,448,000","240,221,000"
		DerivativeProductLiabilities,,,,,,"13,000,000","19,321,000","6,582,000","23,812,000","27,037,000","24,070,000","14,228,000",,,,
		OtherNonCurrentLiabilities,"98,000,000","52,000,000","10,000,000","7,000,000","10,000,000","140,000,000",,,,,,,,,,
TotalEquityGrossMinorityInterest,"4,088,000,000","4,061,000,000","3,915,000,000","2,930,000,000","2,659,000,000","3,188,000,000","3,000,226,000","3,678,674,000","3,400,004,000","3,104,894,000","2,641,230,000","2,794,849,000","1,861,140,000","1,743,402,000","1,500,491,000","1,224,408,000"
	StockholdersEquity,"3,930,000,000","3,925,000,000","3,781,000,000","2,859,000,000","2,574,000,000","3,028,000,000","2,973,714,000","3,653,920,000","3,375,456,000","3,076,802,000","2,620,107,000","2,773,760,000","1,794,993,000","1,733,926,000","1,492,744,000","1,177,022,000"
		CapitalStock,"546,000,000","546,000,000","546,000,000","545,000,000","544,000,000","544,000,000","543,107,000","542,853,000","542,769,000","542,377,000","541,858,000","541,028,000","540,779,000","540,779,000","536,081,000","529,031,000"
			CommonStock,"546,000,000","546,000,000","546,000,000","545,000,000","544,000,000","544,000,000","543,107,000","542,853,000","542,769,000","542,377,000","541,858,000","541,028,000","540,779,000","540,779,000","536,081,000","529,031,000"
		AdditionalPaidInCapital,"204,000,000","198,000,000","193,000,000","186,000,000","174,000,000","149,000,000","133,633,000","133,633,000","101,501,000","94,798,000","90,675,000","84,059,000","81,396,000","81,396,000","66,326,000","34,719,000"
		RetainedEarnings,"3,752,000,000","3,880,000,000","3,743,000,000","2,691,000,000","2,518,000,000","2,902,000,000","2,692,364,000","3,152,832,000","2,945,661,000","2,698,856,000","2,210,143,000","2,374,883,000","963,954,000","809,682,000","809,820,000","538,330,000"
		TreasuryStock,"260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,000,000","260,113,000","260,113,000","260,113,000","260,113,000","260,113,000","260,113,000",,,,
		GainsLossesNotAffectingRetainedEarnings,"-312,000,000","-439,000,000","-441,000,000","-303,000,000","-402,000,000","-307,000,000","-135,277,000","84,715,000","45,638,000","884,000","37,544,000","33,903,000",,,,
			ForeignCurrencyTranslationAdjustments,"-334,000,000","-442,000,000","-424,000,000","-333,000,000","-481,000,000",,,,,,,,,,,
			OtherEquityAdjustments,"22,000,000","3,000,000","-17,000,000","30,000,000","79,000,000","-307,000,000","-135,277,000","84,715,000","45,638,000",,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,"208,864,000","302,069,000","80,517,000","74,942,000"
	MinorityInterest,"158,000,000","136,000,000","134,000,000","71,000,000","85,000,000","160,000,000","26,512,000","24,754,000","24,548,000","28,092,000","21,123,000","21,089,000","66,147,000","9,476,000","7,747,000","47,386,000"
TotalCapitalization,"5,722,000,000","5,855,000,000","5,596,000,000","5,247,000,000","5,370,000,000","5,833,000,000","5,277,430,000","4,964,558,000","4,799,597,000","4,634,479,000","4,130,029,000","3,963,631,000","2,546,535,000","2,217,317,000","1,993,891,000","1,626,617,000"
CommonStockEquity,"3,930,000,000","3,925,000,000","3,781,000,000","2,859,000,000","2,574,000,000","3,028,000,000","2,973,714,000","3,653,920,000","3,375,456,000","3,076,802,000","2,620,107,000","2,773,760,000","1,794,993,000","1,733,926,000","1,492,744,000","1,177,022,000"
CapitalLeaseObligations,"325,000,000","300,000,000",,,,,,,,,,,,,,
NetTangibleAssets,"3,274,000,000","3,291,000,000","3,022,000,000","2,151,000,000","1,776,000,000","1,979,000,000","2,189,797,000","2,881,235,000","2,651,065,000","2,330,497,000","2,076,328,000","2,207,077,000","1,377,497,000","1,552,098,000","1,307,387,000","1,047,975,000"
WorkingCapital,"664,000,000","923,000,000","779,000,000","397,000,000","548,000,000","939,000,000","1,137,187,000","1,081,599,000","1,383,929,000","1,689,401,000","1,664,308,000","1,569,145,000","713,591,000","681,274,000","490,222,000","275,111,000"
InvestedCapital,"6,337,000,000","6,226,000,000","6,206,000,000","6,069,000,000","5,958,000,000","6,506,000,000","5,880,179,000","5,682,842,000","5,403,402,000","5,001,627,000","4,183,046,000","4,067,582,000","3,169,239,000","2,484,290,000","2,233,175,000","1,967,102,000"
TangibleBookValue,"3,274,000,000","3,291,000,000","3,022,000,000","2,151,000,000","1,776,000,000","1,979,000,000","2,189,797,000","2,881,235,000","2,651,065,000","2,330,497,000","2,076,328,000","2,207,077,000","1,377,497,000","1,552,098,000","1,307,387,000","1,047,975,000"
TotalDebt,"2,732,000,000","2,601,000,000","2,425,000,000","3,210,000,000","3,384,000,000","3,478,000,000","2,906,465,000","2,028,922,000","2,027,946,000","1,924,825,000","1,562,939,000","1,293,822,000","1,374,246,000","750,364,000","740,431,000","790,080,000"
NetDebt,"2,193,000,000","2,206,000,000","2,304,000,000","3,127,000,000","3,297,000,000","3,317,000,000","2,775,634,000","1,840,582,000","1,739,437,000","1,594,704,000","1,162,025,000","1,035,852,000","1,316,042,000","700,279,000","683,195,000","752,878,000"
ShareIssued,"1,305,140,778","1,304,940,778","1,304,800,942","1,302,970,258","1,300,979,538","1,299,704,303","1,295,943,056","1,295,015,589","1,294,703,031","1,293,098,052","1,291,155,548","1,291,155,548","1,287,290,068","1,265,639,199","1,265,639,199",
OrdinarySharesNumber,"1,280,550,942","1,280,350,942","1,280,300,942","1,278,380,258","1,276,389,497","1,275,114,262","1,273,569,556","1,272,647,247","1,272,334,689","1,293,098,052","1,291,155,548","1,291,155,548","1,287,290,068","1,265,639,199","1,265,639,199",
TreasurySharesNumber,"24,589,836","24,589,836","24,500,000","24,590,000","24,590,041","24,590,041","22,373,500","22,368,342","22,368,342",,,,,,,
