name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		TreasuryStock,"10,356,000","19,163,000","19,163,000","22,791,000","37,445,000","37,445,000","37,445,000","35,659,000","29,377,000","29,377,000","29,377,000","29,377,000","29,377,000","29,377,000",,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-22,405,000","-23,776,000","-22,136,000","-18,821,000","-11,177,000","-7,053,000","-4,446,000","-4,390,000","-6,280,000","-6,397,000","-9,336,000","-10,403,000","-10,769,000","-9,626,000","-4,035,520.3","-387,528",,,,
	MinorityInterest,"-8,272,000","7,209,000","1,363,000","490,000","38,329,000","49,584,000","53,590,000","54,203,000","52,385,000","26,774,000","57,089,000","51,389,000","39,224,000","48,775,000","13,038,442.3","3,237,473.5",,,"3,271,000","510,000"
TotalCapitalization,"60,470,000","-22,684,000","-24,711,000","169,078,000","200,288,000","282,166,000","287,020,000","330,861,000","296,047,000","259,037,000","271,885,000","226,333,000","330,258,000","472,466,000","460,065,108.8","293,173,005.5","136,554,201.803","202,524.94","46,086,000","19,712,000"
CommonStockEquity,"-77,190,000","-22,684,000","-24,711,000","112,309,000","180,288,000","241,194,000","255,997,000","266,042,000","261,047,000","259,037,000","271,885,000","226,333,000","264,024,000","296,917,000","458,185,551.4","291,291,880","136,554,201.803","202,524.94","46,086,000","19,712,000"
CapitalLeaseObligations,"3,230,000",,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-91,623,000","-41,066,000","-49,637,000","82,719,000","112,645,000","166,109,000","177,334,000","197,747,000","191,171,000","184,738,000","198,969,000","152,524,000","193,999,000","215,641,000","400,535,261.4","269,889,031.5","136,554,201.803","202,524.94","46,086,000","19,712,000"
WorkingCapital,"-112,542,000","-178,580,000","-217,293,000","-45,045,000","-136,399,000","-90,381,000","-79,660,000","-67,436,000","-46,153,000","-21,753,000","67,650,000","-33,533,000","77,966,000","294,976,000","208,654,563.3","149,666,543","170,523,176.42","-4,428.81",,
InvestedCapital,"60,470,000","55,927,000","53,524,000","227,917,000","417,345,000","526,166,000","549,735,000","556,271,000","335,047,000","279,037,000","357,785,000","424,519,000","494,198,000","740,866,000","712,849,784.5","356,202,820","136,554,201.803","699,213.94","46,086,000","19,712,000"
TangibleBookValue,"-91,623,000","-41,066,000","-49,637,000","82,719,000","112,645,000","166,109,000","177,334,000","197,747,000","191,171,000","184,738,000","198,969,000","152,524,000","193,999,000","215,641,000","400,535,261.4","269,889,031.5","136,554,201.803","202,524.94","46,086,000","19,712,000"
TotalDebt,"140,890,000","78,611,000","78,235,000","115,608,000","237,057,000","284,972,000","293,738,000","290,229,000","74,000,000","20,000,000","85,900,000","198,186,000","230,174,000","443,949,000","254,664,233.1","64,910,940",,"496,689",,
NetDebt,"115,178,000","75,413,000","76,245,000","112,363,000","182,548,000","218,947,000","247,470,000","158,251,000",,,,"76,431,000","127,911,000","281,635,000","113,831,682.2",,,"99.338",,
ShareIssued,"5,531,542","4,866,633","3,261,153","2,412,074","2,415,116","2,409,116","2,401,616","2,401,615","2,388,166","2,388,166","2,379,099","2,351,254","2,351,254","2,297,405","2,347,291","1,820,319","490,000","490,000","490,000","490,000"
OrdinarySharesNumber,"5,466,633","4,801,724","3,196,244","2,334,312","2,287,354","2,281,354","2,273,854","2,290,592","2,338,281","2,338,281","2,329,214","2,301,369","2,301,369","2,297,405","2,347,291","1,820,319","490,000","490,000","490,000","490,000"
TreasurySharesNumber,"64,909","64,909","64,909","77,762","127,762","127,762","127,762","111,023","49,885","49,885","49,885","49,885","49,885",,,,,,,
