name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
			CurrentAccruedExpenses,"292,700,000","184,100,000","232,400,000","134,300,000","138,400,000","133,000,000","143,100,000","169,600,000","191,400,000","132,800,000","249,600,000","279,200,000","320,500,000","297,700,000","289,800,000","323,400,000","281,200,000","212,600,000","219,600,000","222,900,000",,,,,,,,,,,
				InterestPayable,"15,400,000","16,700,000","16,700,000","16,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,"37,900,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"113,900,000","128,100,000","132,600,000","143,100,000","185,000,000","134,800,000","91,900,000","92,400,000","1,500,000","3,200,000","195,000,000","160,400,000","150,000,000","86,400,000","6,000,000","11,100,000","22,100,000","55,400,000","98,200,000","71,300,000","49,400,000","56,400,000","13,300,000","1,500,000","2,200,000","500,000","27,200,000","5,400,000","2,200,000","30,300,000","36,200,000"
			CurrentDebt,"66,400,000","128,100,000","132,600,000","143,100,000","185,000,000","134,800,000","91,900,000","92,400,000","1,500,000","3,200,000","195,000,000","160,400,000","150,000,000","86,400,000","6,000,000","11,100,000","22,100,000","55,400,000","98,200,000","71,300,000","49,400,000","56,400,000","13,300,000","1,500,000","2,200,000","500,000","27,200,000","5,400,000","2,200,000","30,300,000","36,200,000"
				OtherCurrentBorrowings,"66,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"47,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"88,200,000","71,700,000","85,900,000","114,000,000","103,800,000","147,400,000","116,400,000","110,100,000","88,400,000","144,700,000","126,200,000","127,200,000",,,,,,,,,"207,400,000","177,000,000","140,800,000","83,700,000","62,300,000","55,700,000","39,600,000","31,200,000","29,400,000","28,100,000","27,800,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,727,200,000","1,685,000,000","2,082,200,000","1,540,800,000","1,481,400,000","1,281,000,000","946,400,000","716,900,000","1,038,900,000","1,023,800,000","675,600,000","878,800,000","1,041,500,000","1,211,300,000","639,700,000","506,500,000","739,600,000","853,900,000","855,700,000","891,700,000","873,700,000","959,400,000","399,400,000","259,000,000","256,600,000","304,400,000","250,700,000","113,700,000","31,800,000","172,400,000","182,400,000"
		LongTermDebtAndCapitalLeaseObligation,"1,568,400,000","1,523,500,000","1,883,800,000","1,258,000,000","1,131,100,000","1,028,500,000","692,400,000","478,100,000","781,100,000","791,800,000","436,700,000","649,700,000","849,500,000","1,031,400,000","475,200,000","382,400,000","608,500,000","702,200,000","731,200,000","816,500,000","813,400,000","893,600,000","359,200,000","219,800,000","223,100,000","272,000,000","220,100,000","87,100,000","31,700,000","172,400,000","182,400,000"
