,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
25,PretaxIncome,"-276,000,000","680,000,000","396,000,000","590,000,000","940,000,000","916,000,000","845,000,000","683,000,000","628,000,000","650,000,000","563,000,000","493,000,000","-887,000,000","655,000,000","542,000,000","626,000,000","587,000,000","500,000,000","510,000,000","343,000,000"
26,TaxProvision,"-23,000,000","191,000,000","130,000,000","-229,000,000","328,000,000","304,000,000","316,000,000","250,000,000","229,000,000","233,000,000","184,000,000","200,000,000","187,000,000","252,000,000","190,000,000","195,000,000","234,000,000","186,000,000","189,000,000",
27,NetIncomeCommonStockholders,"-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
28,"	NetIncome","-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
29,"		NetIncomeIncludingNoncontrollingInterests","-255,000,000","507,000,000","672,000,000","872,000,000","612,000,000","612,000,000","529,000,000","433,000,000","399,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","321,000,000","302,000,000"
30,"			NetIncomeContinuousOperations","-253,000,000","489,000,000","266,000,000","819,000,000","612,000,000","612,000,000","529,000,000","433,000,000","399,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
31,"			NetIncomeDiscontinuousOperations","-2,000,000","18,000,000","406,000,000","53,000,000",,,,,,,,,,,,,,,,
32,"			NetIncomeExtraordinary",,,,,,,,,,,,,0,,"-65,000,000",,0,0,0,
33,"		MinorityInterests",,0,0,"-1,000,000","-1,000,000",0,0,"-1,000,000","1,000,000",,,,,,,,,,"-13,000,000",0
34,DilutedNIAvailtoComStockholders,"-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
35,BasicEPS,-2.97,5.5,6.8,8.46,5.56,5.18,4.22,3.25,2.8,2.57,2.13,1.64,-6.05,2.22,1.45,1.64,1.74,1.49,1.54,1.495
36,DilutedEPS,-2.97,5.48,6.77,8.4,5.53,5.14,4.18,3.21,2.75,2.51,2.05,1.61,-6.05,2.2,1.44,1.61,1.74,1.49,1.54,1.495
37,BasicAverageShares,"86,100,000","92,100,000","98,900,000","103,000,000","110,000,000","118,000,000","125,000,000","133,000,000","143,000,000","162,000,000","178,000,000","179,000,000","178,000,000","181,531,532","197,931,034","208,000,000","200,574,713","200,671,141","200,000,000","201,960,784"
38,DilutedAverageShares,"86,100,000","92,400,000","99,200,000","104,000,000","111,000,000","119,000,000","127,000,000","135,000,000","145,000,000","166,000,000","185,000,000","182,000,000","178,000,000","183,181,818","199,305,556","212,000,000","200,574,713","200,671,141","200,000,000","201,960,784"
39,TotalOperatingIncomeAsReported,"-105,000,000","812,000,000","523,000,000","712,000,000","1,057,000,000","1,015,000,000","941,000,000","910,000,000","852,000,000","767,000,000","718,000,000","594,000,000","-830,000,000","710,000,000","577,000,000","620,000,000","600,000,000","495,000,000","488,000,000","320,000,000"
40,TotalExpenses,"2,086,000,000","3,218,000,000","3,173,000,000","4,052,000,000","4,527,000,000","4,508,000,000","4,294,000,000","4,081,000,000","3,667,000,000","3,424,000,000","3,120,000,000","3,094,000,000","3,606,000,000","3,634,000,000","3,265,000,000","2,715,000,000",,,,
41,NetIncomeFromContinuingAndDiscontinuedOperation,"-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
42,NormalizedIncome,"-88,857,000","498,347,000","423,920,000","1,005,200,000","627,926,000","620,684,000","557,796,000","513,786,000","478,105,000","450,360,000","383,039,076.38","329,400,000","-102,900,000","408,537,404.58","416,295,202.95","337,364,217.25","349,000,000","299,000,000","308,000,000","302,000,000"
43,InterestIncome,"7,000,000","7,000,000","5,000,000","7,000,000","8,000,000","9,000,000","10,000,000","9,000,000","8,000,000","24,000,000","5,000,000","7,000,000","12,000,000",,"32,000,000","6,000,000",,,,
44,InterestExpense,"192,000,000","162,000,000","170,000,000","156,000,000","136,000,000","125,000,000","113,000,000","131,000,000","132,000,000","152,000,000","167,000,000","114,000,000","80,000,000",,"67,000,000",,,"6,000,000",,
45,NetInterestIncome,"-185,000,000","-155,000,000","-165,000,000","-149,000,000","-128,000,000","-116,000,000","-103,000,000","-122,000,000","-124,000,000","-128,000,000","-162,000,000","-107,000,000","-68,000,000",,"-35,000,000","6,000,000",,,,
46,EBIT,"-84,000,000","842,000,000","566,000,000","746,000,000","1,076,000,000","1,041,000,000","958,000,000","814,000,000","760,000,000","802,000,000","730,000,000","607,000,000","-807,000,000","726,000,000","577,000,000","620,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
47,EBITDA,,,,,,,,,,,,,,,,,,,,
48,ReconciledCostOfRevenue,"1,233,000,000","1,940,000,000","1,913,000,000","2,418,000,000","2,732,000,000","2,700,000,000","2,504,000,000","2,394,000,000","2,093,000,000","2,025,000,000","1,876,000,000","1,823,000,000","2,031,000,000","2,118,000,000","1,791,000,000","1,540,000,000",,,,
49,ReconciledDepreciation,"126,000,000","121,000,000","138,000,000","213,000,000","252,000,000","234,000,000","233,000,000","216,000,000","185,000,000","178,000,000","173,000,000","178,000,000","184,000,000","166,000,000","148,000,000","131,000,000",,,,
50,NetIncomeFromContinuingOperationNetMinorityInterest,"-253,000,000","489,000,000","266,000,000","818,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
51,TotalUnusualItemsExcludingGoodwill,"-179,000,000","-13,000,000","-235,000,000","-312,000,000","-26,000,000","-13,000,000","-46,000,000","-129,000,000","-123,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000",0,0,,
52,TotalUnusualItems,"-179,000,000","-13,000,000","-235,000,000","-312,000,000","-26,000,000","-13,000,000","-46,000,000","-129,000,000","-123,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000",0,0,,
53,NormalizedEBITDA,"221,000,000","976,000,000","939,000,000","1,271,000,000","1,354,000,000","1,288,000,000","1,237,000,000","1,159,000,000","1,068,000,000","1,032,000,000","909,000,000","841,000,000","871,000,000","901,000,000","824,000,000","615,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
54,TaxRateForCalcs,0.083,0.281,0.328,0.4,0.349,0.332,0.374,0.366,0.365,0.358,0.327,0.35,0.35,0.385,0.351,0.312,0.399,0.372,0.371,0.4
55,TaxEffectOfUnusualItems,"-14,857,000","-3,653,000","-77,080,000","-124,800,000","-9,074,000","-4,316,000","-17,204,000","-47,214,000","-44,895,000","-18,640,000","-1,960,923.62","-19,600,000","-522,900,000","-3,462,595.42","-34,704,797.05","42,364,217.25",0,0,0,0
,,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.033495,0.068026,0.093881,0.083726,0.062226,0.062989,0.054654,0.044349,0.04227,0.046215,0.040251,0.03133,-0.112191,0.038531,0.030147,0.047016,0.041831,0.042466,0.055909,0.083773
2,ROA2,-0.033851055,0.069399767,0.076533227,0.086143804,0.06255439,0.063109049,0.054479918,0.044990627,0.043275993,0.045230219,0.040387894,0.030964333,-0.107228435,0.040342359,0.030716541,0.049229012,0.045371815,0.047649402,0.067588326,#REF!
3,ROE,0.26343,-0.967557,-1.181019,0.98641,0.850975,0.642183,0.420843,0.265846,0.207147,0.186828,0.129928,0.109003,-0.458582,0.114619,0.080641,0.085635,0.074589,0.069811,0.079793,0.117555
4,ROC,-0.045479,0.096922,0.143928,0.126415,0.098074,0.099335,0.083835,0.066811,0.061605,0.066752,0.056898,0.062301,-0.248266,0.056577,0.044434,0.060919,0.074589,0.069811,0.079793,0.117555
5,OperatingMargin,0.034259,0.204056,0.192826,0.201734,0.191463,0.185694,0.186896,0.185267,0.191222,0.19511,0.189821,0.174933,0.157673,0.166514,0.150182,0.185907,1,1,1,1
6,NetMargin,-0.118056,0.125402,0.170949,0.171592,0.109127,0.110549,0.10017,0.086245,0.088222,0.098025,0.098416,0.078133,-0.250876,0.092431,0.074701,0.129235,0.115793,0.112745,0.137439,0.194087
7,CurrentRatio,7.173101,4.113179,3.08899,1.167389,0.891732,0.955033,1.004303,1.083799,0.966339,1.106846,1.112381,0.923077,0.882434,0.943119,1.037936,1.983012,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8,QuickRatio,5.495641,3.220402,2.390759,1.033478,0.736713,0.804292,0.84185,0.890503,0.770067,0.882278,0.891429,0.735279,0.691563,0.674312,0.774911,1.63861,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
9,D/Eratio,-6.792355,-10.982824,-9.205624,6.802945,7.67688,5.464848,4.019889,2.979077,2.362506,1.798835,1.28351,0.749628,0.847139,1.025882,0.814836,0.405722,0,0,0,0
10,EPS,-1.149913,2.29554,3.052869,3.980862,2.800208,2.813345,2.439334,2.003911,1.86209,1.964329,1.805251,1.423081,-5.249155,2.274044,1.507216,2.142147,1.734592,1.486083,1.530815,1.500994
