,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
24,"		NetPPE","758,000,000","816,000,000","712,000,000","1,081,000,000","1,340,000,000","1,399,000,000","1,500,000,000","1,555,000,000","1,292,000,000","1,117,000,000","1,041,000,000","953,000,000","1,038,000,000","1,009,000,000","916,000,000","718,000,000",,,,
25,"			GrossPPE","1,640,000,000","1,660,000,000","1,565,000,000","2,196,000,000","2,615,000,000","2,695,000,000","2,714,000,000","2,691,000,000","2,324,000,000","2,039,000,000","1,878,000,000","1,686,000,000","1,648,000,000","1,604,000,000","1,419,000,000","1,098,000,000",,,,
26,"				Properties",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
27,"				LandAndImprovements","30,000,000","28,000,000","30,000,000","51,000,000","167,000,000","171,000,000","203,000,000","236,000,000","189,000,000","162,000,000","159,000,000","164,000,000","164,000,000","172,000,000","153,000,000","138,000,000",,,,
28,"				BuildingsAndImprovements","591,000,000","572,000,000","588,000,000","714,000,000","862,000,000","867,000,000","923,000,000","905,000,000","793,000,000","698,000,000","572,000,000","503,000,000","475,000,000","439,000,000","367,000,000","406,000,000",,,,
29,"				MachineryFurnitureEquipment","901,000,000","870,000,000","854,000,000","1,206,000,000","1,247,000,000","1,291,000,000","1,204,000,000","1,130,000,000","1,066,000,000","941,000,000","865,000,000","792,000,000","699,000,000","472,000,000","400,000,000","329,000,000",,,,
30,"				OtherProperties","106,000,000","150,000,000",,,,,,0,,,,,,"398,000,000","346,000,000","158,000,000",,,,
31,"				ConstructionInProgress","12,000,000","40,000,000","81,000,000","137,000,000","131,000,000","164,000,000","173,000,000","198,000,000","143,000,000","117,000,000","158,000,000","94,000,000","180,000,000","123,000,000","153,000,000","67,000,000",,,,
32,"				Leases",,"14,000,000","12,000,000","88,000,000","208,000,000","202,000,000","211,000,000","222,000,000","133,000,000","121,000,000","124,000,000","133,000,000","130,000,000",,,,,,,
33,"			AccumulatedDepreciation","-882,000,000","-844,000,000","-853,000,000","-1,115,000,000","-1,275,000,000","-1,296,000,000","-1,214,000,000","-1,136,000,000","-1,032,000,000","-922,000,000","-837,000,000","-733,000,000","-610,000,000","-595,000,000","-503,000,000","-380,000,000",,,,
