,name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009
30,"		GoodwillAndOtherIntangibleAssets","721,990,000","1,068,876,000","1,147,517,000","1,170,727,000","34,886,000","36,000,000","39,240,542","34,987,017","8,349,403","2,796,840","2,024,059","1,954,281"
31,"			Goodwill","607,248,000","936,698,000","994,729,000","996,810,000","13,338,000","13,293,000","13,509,689","13,468,995","2,582,517",,,
32,"			OtherIntangibleAssets","114,742,000","132,178,000","152,788,000","173,917,000","21,548,000","22,707,000","25,730,853","21,518,022","5,766,886","2,796,840","2,024,059","1,954,281"
33,"		InvestmentsAndAdvances","9,253,000","11,045,000","22,651,000","44,165,000","44,160,000","8,498,000","80,752,211","7,164,321","5,254,755",,"1,295,489","7,752,978"
34,"			LongTermEquityInvestment","5,363,000","5,244,000","16,316,000","18,212,000","16,713,000","1,696,000","1,122,594","1,294,082","838,212",,,
35,"				InvestmentsinAssociatesatCost","5,363,000","5,244,000","16,316,000","18,212,000","16,713,000","1,696,000","1,122,594","1,294,082",,,,
36,"			InvestmentinFinancialAssets","207,000","139,000","165,000","20,162,000","20,757,000","864,000","75,656,254","911,245",,,"1,295,489","7,752,978"
37,"				AvailableForSaleSecurities","207,000","139,000","165,000","20,162,000","20,757,000","864,000","75,656,254","911,245",,,"1,295,489","7,752,978"
38,"			OtherInvestments","3,683,000","5,662,000","6,170,000","5,791,000","6,690,000","5,938,000","3,973,363","4,958,994","4,416,543",,"1,295,489","7,752,978"
39,"		FinancialAssets",,,,,,,0,"14,678","202,054",,,
40,"		NonCurrentAccountsReceivable","36,818,000","33,948,000","26,405,000","36,582,000","14,108,000","12,667,000","7,497,829","820,951","807,159","600,067","413,488","347,451"
41,"		DuefromRelatedPartiesNonCurrent",,,0,"15,100,000",,,,,,,,
42,"		NonCurrentDeferredAssets",,,,,,,,0,"8,892,842","2,924,308",,
43,"			NonCurrentDeferredTaxesAssets",,,,,,,,0,"8,892,842","2,924,308",,
44,"		NonCurrentPrepaidAssets","131,000","2,273,000","3,222,000","3,148,000","656,000","473,000","476,326","527,391","449,559",,"124,126","153,531"
45,"		DefinedPensionBenefit",,,0,"229,000",,,,,,,,
46,"		OtherNonCurrentAssets","131,000",,"11,385,000","11,410,000","14,893,000",,"476,326",,"648,506","925,894","1,295,489","7,906,509"
47,TotalLiabilitiesNetMinorityInterest,"220,919,000","212,918,000","206,524,000","139,322,000","323,380,000","122,551,000","107,537,491","92,626,191","51,399,623","36,663,757","75,584,497","65,131,619"
48,"	CurrentLiabilities","179,871,000","204,570,000","199,972,000","134,402,000","124,076,000","116,484,000","96,072,852","84,143,810","49,053,550","35,344,464","72,666,594","61,907,068"
49,"		PayablesAndAccruedExpenses","77,813,000","116,902,000","123,422,000","86,494,000","62,514,000","59,224,000","52,456,814","58,743,842","35,769,115","20,051,811","20,408,757","10,693,685"
50,"			Payables","28,084,000","75,136,000","80,410,000","38,903,000","33,164,000","42,246,000","36,129,190","47,083,699","25,437,805","13,159,344","13,987,959","7,523,018"
51,"				AccountsPayable","21,018,000","69,204,000","74,814,000","38,903,000","33,164,000","42,246,000","36,129,190","47,083,699","25,437,805","13,159,344","13,987,959","7,523,018"
52,"				OtherPayable","7,066,000","5,932,000","5,596,000",,,,,,,,,
53,"			CurrentAccruedExpenses","49,729,000","41,766,000","43,012,000","47,591,000","29,350,000","16,978,000","16,327,624","11,660,143","10,331,310","6,892,467","6,420,798","3,170,667"
54,"		CurrentProvisions","30,800,000",,,,,,,,,,,
55,"		CurrentDebtAndCapitalLeaseObligation","3,971,000","233,000","228,000","226,000","9,178,000","137,000","115,005","1,001,980","82,083","3,916,611","44,830,861","47,587,241"
56,"			CurrentDebt","333,000","233,000","228,000","226,000","9,171,000","121,000","96,422","974,831","82,083","3,916,611","44,780,944","47,550,309"
57,"				LineOfCredit",,,,0,"7,161,000",,0,"866,521",,,"3,996,066","7,914,024"
58,"				OtherCurrentBorrowings","333,000","233,000","228,000","226,000","2,010,000","121,000","96,422","108,310","82,083","3,916,611","40,784,878","39,636,285"
59,"			CurrentCapitalLeaseObligation","3,638,000",,,0,"7,000","16,000","18,583","27,149",,,"49,917","36,932"
60,"		CurrentDeferredLiabilities","33,600,000","70,580,000","64,880,000","43,641,000","49,916,000","53,756,000","36,329,121","21,916,284","11,007,805","9,669,424","6,872,806","3,320,853"
61,"			CurrentDeferredRevenue","33,600,000","70,497,000","64,866,000","43,628,000","49,867,000","48,580,000","35,092,951","21,886,300","10,951,651","9,669,424","6,872,806","3,320,853"
62,"		OtherCurrentLiabilities","33,687,000","16,855,000","11,442,000","4,041,000","2,468,000","3,367,000","7,171,912","2,481,704","2,194,547","1,706,618","554,170","305,289"
63,"	TotalNonCurrentLiabilitiesNetMinorityInterest","41,048,000","8,348,000","6,552,000","4,920,000","199,304,000","6,067,000","11,464,639","8,482,381","2,346,073","1,319,293","2,917,903","3,224,551"
64,"		LongTermDebtAndCapitalLeaseObligation","21,613,000","474,000","424,000","523,000","195,283,000","362,000","203,108","284,433","177,280","148,923","132,103","39,323"
65,"			LongTermDebt","698,000","474,000","424,000","523,000","195,283,000","354,000","178,739","228,668","177,280","148,923","89,288",522
66,"			LongTermCapitalLeaseObligation","20,915,000",,,,0,"8,000","24,369","55,765",,,"42,815","38,801"
67,"		NonCurrentDeferredLiabilities","3,620,000","3,085,000","1,823,000","1,451,000","2,380,000","4,008,000","8,659,985","1,057,574","600,607",,"2,299,974","2,602,257"
68,"			NonCurrentDeferredTaxesLiabilities","1,777,000","601,000","115,000","159,000","203,000","226,000","277,096","383,444",,,,
69,"			NonCurrentDeferredRevenue","1,548,000","372,000","91,000","265,000","1,407,000","3,147,000","2,353,593",,,0,"1,852,679","2,320,399"
70,"		TradeandOtherPayablesNonCurrent",,0,"584,000",,,,,,,,,
71,"		EmployeeBenefits","6,335,000","4,789,000","3,721,000","2,946,000","1,641,000","1,345,000","963,176","1,010,293","681,135","667,050","437,444","281,377"
72,"			NonCurrentPensionAndOtherPostretirementBenefitPlans",,,,,,,,,"681,135","667,050","437,444","281,377"
73,"		DerivativeProductLiabilities",,,,,,,,,,0,"48,382","301,594"
74,"		OtherNonCurrentLiabilities","9,480,000",,,,,"352,000","1,638,370","6,130,081","887,051","503,320",,"281,858"
75,TotalEquityGrossMinorityInterest,"862,292,000","1,357,368,000","1,558,932,000","1,405,462,000","77,609,000","157,854,000","162,299,525","101,993,951","118,791,789","76,275,880","-24,951,045","-27,233,459"
76,"	StockholdersEquity","858,237,000","1,357,175,000","1,558,634,000","1,404,801,000","77,609,000","157,258,000","161,585,020","101,299,901","118,716,169","76,275,880","-24,955,435","-27,237,520"
77,"		CapitalStock","52,000","52,000","52,000","46,000","21,000","21,000","20,836","18,797","18,576","17,546","8,767","8,714"
78,"			CommonStock","52,000","52,000","52,000","46,000","21,000","21,000","20,836","18,797","18,576","17,546","8,767","8,714"
79,"		AdditionalPaidInCapital","1,985,555,000","1,977,318,000","1,960,691,000","1,607,373,000","248,732,000","242,662,000","238,423,499","153,742,563","150,144,112","111,541,661","11,356,522","10,816,307"
80,"		RetainedEarnings","-1,147,597,000","-682,054,000","-515,850,000","-298,581,000","-188,217,000","-100,181,000","-81,806,068","-60,964,228","-31,827,379","-38,024,060","-42,510,416","-36,295,338"
81,"		GainsLossesNotAffectingRetainedEarnings","-115,511,000","-40,568,000","34,937,000","34,553,000","-20,830,000","-13,856,000","-15,145,426","-11,399,034","-8,578,442","2,740,733","-872,218","-2,523,402"
82,"			UnrealizedGainLoss",,"634,000","3,232,000","952,000","-5,817,000","571,000","-1,481,871","-494,988","-8,578,442","-1,174,111","-872,218","-2,523,402"
83,"			ForeignCurrencyTranslationAdjustments","-114,166,000","-41,202,000","31,705,000","33,601,000","-15,013,000","-14,427,000","-13,663,555","-10,904,046",,,"-872,218","-2,523,402"
84,"			OtherEquityAdjustments","-1,345,000","634,000","3,232,000","952,000","-5,817,000","571,000","-1,481,871","-494,988",,,,
85,"		OtherEquityInterest","135,738,000","102,427,000","78,804,000","61,410,000","37,903,000","28,612,000","20,092,179","19,901,803","8,959,302","3,914,844","7,061,910","756,199"
86,"	MinorityInterest","4,055,000","193,000","298,000","661,000",0,"596,000","714,505","694,050","75,620",0,"4,390","4,061"
87,TotalCapitalization,"858,935,000","1,357,649,000","1,559,058,000","1,405,324,000","272,892,000","157,612,000","161,763,759","101,528,569","118,893,449","76,424,803","-24,866,147","-27,236,998"
88,CommonStockEquity,"858,237,000","1,357,175,000","1,558,634,000","1,404,801,000","77,609,000","157,258,000","161,585,020","101,299,901","118,716,169","76,275,880","-24,955,435","-27,237,520"
89,CapitalLeaseObligations,"24,553,000",,,0,"7,000","24,000","42,952","82,914",,,"92,732","75,733"
90,NetTangibleAssets,"136,247,000","288,299,000","411,117,000","234,074,000","42,723,000","121,258,000","122,344,478","66,312,884","110,366,766","73,479,040","-26,979,494","-29,191,801"
91,WorkingCapital,"99,151,000","236,075,000","340,614,000","128,787,000","157,925,000","97,383,000","37,264,616","57,758,148","89,469,211","66,585,466","-29,638,484","-37,678,606"
92,InvestedCapital,"859,268,000","1,357,882,000","1,559,286,000","1,405,550,000","282,063,000","157,733,000","161,860,181","102,503,400","118,975,532","80,341,414","19,914,797","20,313,311"
93,TangibleBookValue,"136,247,000","288,299,000","411,117,000","234,074,000","42,723,000","121,258,000","122,344,478","66,312,884","110,366,766","73,479,040","-26,979,494","-29,191,801"
94,TotalDebt,"25,584,000","707,000","652,000","749,000","204,461,000","499,000","318,113","1,286,413","259,363","4,065,534","44,962,964","47,626,564"
95,NetDebt,,,,,"151,020,000",,,,,,"35,528,706","42,079,192"
96,ShareIssued,"103,254,814","102,942,050","101,981,632","91,677,733","42,222,237","41,986,966","41,678,341","37,602,158","37,159,605","35,099,639","34,134,002","34,134,002"
97,OrdinarySharesNumber,"103,254,814","102,942,050","101,981,632","91,677,733","42,222,237","41,986,966","41,678,341","37,602,158","37,159,605","35,099,639","34,134,002","34,134,002"
0,TotalRevenue,"511,529,000","486,011,000","675,256,000","447,616,000","336,054,000","299,662,000","255,374,611","228,821,945","196,599,258","124,721,387","83,560,206","68,551,701"
1,"	OperatingRevenue","475,184,000","457,983,000","607,354,000","432,768,000","329,885,000","294,837,000","251,023,910","225,018,169","196,599,258","124,721,387","82,407,384","67,847,860"
2,CostOfRevenue,"154,320,000","173,412,000","175,877,000","173,919,000","167,034,000","160,713,000","148,979,551","140,656,774","108,414,344","63,650,910","43,277,708","43,560,968"
3,GrossProfit,"357,209,000","312,599,000","499,379,000","273,697,000","169,020,000","138,949,000","106,395,060","88,165,171","88,184,914","61,070,477","40,282,498","24,990,733"
4,OperatingExpense,"515,140,000","465,592,000","715,518,000","393,871,000","233,300,000","153,388,000","122,965,665","106,156,849","84,108,108","56,925,079","46,266,786","35,370,831"
5,"	SellingGeneralAndAdministration","316,905,000","329,128,000","589,963,000","321,308,000","171,309,000","99,310,000","76,157,893","66,044,227","81,317,954","54,212,154","30,983,525","23,016,542"
6,"		GeneralAndAdministrativeExpense","150,302,000","137,048,000","138,145,000","96,884,000","62,343,000","56,586,000","48,273,037","46,354,212","64,333,098","41,723,248","21,308,797","14,283,922"
7,"			SalariesAndWages","129,836,000","113,567,000","114,157,000","73,736,000","49,018,000","44,318,000","37,220,798","34,520,455","26,520,745","14,399,040","16,562,034","9,679,770"
8,"			RentAndLandingFees",0,"6,581,000","7,701,000","3,831,000","2,949,000","2,816,000","2,857,370","2,624,313","2,079,183","1,394,969","1,244,798","1,314,937"
9,"			OtherGandA","20,466,000","16,900,000","16,287,000","19,317,000","10,376,000","9,452,000","8,194,869","9,209,444","35,733,170","25,929,239","3,501,965","3,289,215"
10,"		SellingAndMarketingExpense","166,603,000","192,080,000","451,818,000","224,424,000","108,966,000","42,724,000","27,884,856","19,690,015","16,984,856","12,488,906","9,674,728","8,732,620"
11,"	DepreciationAmortizationDepletionIncomeStatement","33,682,000","26,817,000","29,838,000","14,535,000","8,756,000","7,955,000","5,692,145","3,752,743","2,790,154","1,910,637","1,569,747","1,558,687"
12,"		DepreciationAndAmortizationInIncomeStatement","33,682,000","26,817,000","29,838,000","14,535,000","8,756,000","7,955,000","5,692,145","3,752,743","2,790,154","1,910,637","1,569,747","1,558,687"
13,"			DepreciationIncomeStatement","9,347,000","3,895,000","4,357,000","5,149,000","2,724,000","2,434,000","1,835,647",,"1,651,252","1,114,958","908,844","925,612"
14,"			Amortization","24,335,000","22,922,000","25,481,000","9,386,000","6,032,000","5,521,000","3,856,498",,"1,138,902","795,679","660,903","633,075"
15,"				AmortizationOfIntangiblesIncomeStatement","24,335,000","22,922,000","25,481,000","9,386,000","6,032,000","5,521,000","3,856,498",,"1,138,902","795,679","660,903","633,075"
16,"	OtherOperatingExpenses","164,553,000","109,647,000","95,717,000","58,028,000","53,235,000","46,123,000","41,115,627","36,359,879","54,868,655","802,288","13,713,514","10,795,602"
17,OperatingIncome,"-157,931,000","-152,993,000","-216,139,000","-120,174,000","-64,280,000","-14,439,000","-16,570,605","-17,991,678","4,076,806","4,145,398","-5,984,288","-10,380,098"
18,NetNonOperatingInterestIncomeExpense,"-1,383,000","5,729,000","4,278,000","-12,006,000","-3,743,000","2,336,000","638,930","1,703,712","1,068,453","-1,923,935","274,069","-246,746"
19,"	InterestIncomeNonOperating","3,332,000","6,459,000","5,189,000","2,841,000","1,586,000","3,168,000","2,441,764","3,783,735","1,987,904","1,601,750","1,620,965","1,309,141"
20,"	InterestExpenseNonOperating","2,888,000","299,000","422,000","8,574,000","3,838,000","242,000","148,836","136,622","919,451","3,525,685","1,346,896","1,555,887"
21,"	TotalOtherFinanceCost","1,827,000","431,000","489,000","6,273,000","1,491,000","590,000","1,653,998","1,943,401",,,,
22,OtherIncomeExpense,"-288,232,000","-21,359,000","-8,288,000","22,070,000","-20,364,000","-6,120,000","-4,895,369","-2,702,091","-4,175,049","-83,493","-488,340","3,253,337"
23,"	GainOnSaleOfSecurity","-13,004,000","-9,783,000","-2,386,000","40,758,000","-13,518,000","-5,216,000","-2,899,573","-2,290,909","-2,323,658",,"-424,896","4,533,270"
24,"	EarningsFromEquityInterest","-65,000","-887,000","-1,998,000","-1,702,000","-1,860,000","-139,000","-171,487","-186,130",,,,
25,"	SpecialIncomeCharges","-273,742,000","-10,689,000","-3,904,000","-16,984,000","-4,490,000","-311,000","-741,347","-70,326","-1,851,391","-83,493","-63,444","-1,279,933"
26,"		ImpairmentOfCapitalAssets","272,160,000",0,"3,230,000","15,167,000","2,167,000",0,"-1,168,495",,"833,994",,,
27,"		WriteOff","1,563,000","10,742,000","604,000","1,771,000","1,943,000","210,000","1,990,362",0,,,"37,943","1,042,401"
28,"		OtherSpecialCharges",,,,,,,,,"1,017,397","2,930",,
29,"		GainOnSaleOfPPE","-19,000","53,000","-70,000","-46,000","-380,000","-101,000","80,520","-70,326",,"-80,563","-25,501","-237,532"
30,"	OtherNonOperatingIncomeExpenses","-1,421,000",,,"-2,000","-496,000","-454,000","-1,082,962","-154,726",,,,
31,PretaxIncome,"-447,546,000","-168,623,000","-220,149,000","-110,110,000","-88,387,000","-18,223,000","-20,827,044","-18,990,057","970,210","2,137,970","-6,198,559","-7,373,507"
32,TaxProvision,"-29,000","-740,000","91,000","193,000","155,000","135,000","78,520","8,599,023","-6,078,146","-2,691,721","8,428","-25,291"
33,NetIncomeCommonStockholders,"-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-5,333,774","-11,321,821"
34,"	NetIncome","-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-6,206,239","-7,346,033"
35,"		NetIncomeIncludingNoncontrollingInterests","-447,517,000","-167,883,000","-220,240,000","-110,303,000","-88,542,000","-18,358,000","-20,905,564","-27,589,080","7,048,356","4,829,691","-6,206,987","-7,348,216"
36,"			NetIncomeContinuousOperations","-447,517,000","-167,883,000","-220,240,000","-110,303,000","-88,542,000","-18,358,000","-20,905,564","-27,589,080","7,048,356","4,829,691","-6,206,987","-7,348,216"
37,"		MinorityInterests","-264,000","124,000","1,828,000","135,000","24,000","106,000","-28,766","-3,441","135,579","-2,220",748,"2,183"
38,"	OtherunderPreferredStockDividend",,,,,,,,,,,"-872,465","3,975,788"
39,AverageDilutionEarnings,,,,,,,,0,,,,
40,DilutedNIAvailtoComStockholders,"-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-5,333,774","-11,321,821"
41,BasicEPS,-4.26,-1.61,-2.18,-2.09,-2.12,-0.44,-0.55,-0.74,0.2,0.17,-0.18,-0.38
42,DilutedEPS,-4.26,-1.61,-2.18,-2.09,-2.12,-0.44,-0.55,-0.74,0.19,0.15,-0.18,-0.38
43,BasicAverageShares,"105,190,507","103,989,421","100,394,080","52,607,986","41,714,518","41,808,897","37,832,246","37,315,434","36,682,240","28,320,901","29,845,580","29,761,580"
44,DilutedAverageShares,"105,190,507","103,989,421","100,394,080","52,607,986","41,714,518","41,808,897","37,832,246","37,315,434","38,234,070","34,950,246","29,845,580","29,761,580"
45,TotalOperatingIncomeAsReported,"-429,410,000","-152,940,000","-219,439,000","-135,387,000","-66,827,000","-14,540,000","-15,321,590","-18,062,004","4,005,360","4,061,905","-6,009,789","-10,617,630"
46,RentExpenseSupplemental,0,"6,581,000","7,701,000","3,831,000","2,949,000","2,816,000","2,857,370","2,624,313","2,079,183","1,394,969","1,244,798","1,314,937"
47,TotalExpenses,"669,460,000","639,004,000","891,395,000","567,790,000","400,334,000","314,101,000","271,945,216","246,813,623","192,522,452","120,575,989","89,544,494","78,931,799"
48,NetIncomeFromContinuingAndDiscontinuedOperation,"-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-6,206,239","-7,346,033"
49,NormalizedIncome,"-161,053,580.51","-147,376,841.13","-214,323,500","-126,809,800","-76,742,568.80","-14,637,894.70","-18,385,686","-25,939,656.50","10,106,469.30","4,885,916.10","-5,864,401","-10,588,211.11"
50,InterestIncome,"3,332,000","6,459,000","5,189,000","2,841,000","1,586,000","3,168,000","2,441,764","3,783,735","1,987,904","1,601,750","1,620,965","1,309,141"
51,InterestExpense,"2,888,000","299,000","422,000","8,574,000","3,838,000","242,000","148,836","136,622","919,451","3,525,685","1,346,896","1,555,887"
52,NetInterestIncome,"-1,383,000","5,729,000","4,278,000","-12,006,000","-3,743,000","2,336,000","638,930","1,703,712","1,068,453","-1,923,935","274,069","-246,746"
53,EBIT,"-444,658,000","-168,324,000","-219,727,000","-101,536,000","-84,549,000","-17,981,000","-20,678,208","-18,853,435","1,889,661","5,663,655","-4,851,663","-5,817,620"
54,EBITDA,,,,,,,,,,,,
55,ReconciledCostOfRevenue,"154,320,000","173,412,000","175,877,000","173,919,000","167,034,000","160,713,000","148,979,551","140,656,774","108,414,344","63,650,910","43,277,708","43,560,968"
56,ReconciledDepreciation,"33,682,000","26,817,000","29,838,000","14,535,000","8,756,000","7,955,000","5,692,145","3,752,743","2,790,154","1,910,637","1,569,747","1,558,687"
57,NetIncomeFromContinuingOperationNetMinorityInterest,"-447,781,000","-167,759,000","-218,412,000","-110,168,000","-88,518,000","-18,252,000","-20,934,330","-27,592,521","7,183,935","4,827,471","-6,206,239","-7,346,033"
58,TotalUnusualItemsExcludingGoodwill,"-286,746,000","-20,472,000","-6,290,000","23,774,000","-18,008,000","-5,527,000","-3,640,920","-2,361,235","-4,175,049","-83,493","-488,340","3,253,337"
59,TotalUnusualItems,"-286,746,000","-20,472,000","-6,290,000","23,774,000","-18,008,000","-5,527,000","-3,640,920","-2,361,235","-4,175,049","-83,493","-488,340","3,253,337"
60,NormalizedEBITDA,"-124,230,000","-121,035,000","-183,599,000","-110,775,000","-57,785,000","-4,499,000","-11,345,143","-12,739,457","8,854,864","7,657,785","-2,793,576","-7,512,270"
61,TaxRateForCalcs,0,0.004,0.35,0.3,0.346,0.346,0.3,0.3,0.3,0.3,0.3,0.003
62,TaxEffectOfUnusualItems,"-18,580.51","-89,841.13","-2,201,500","7,132,200","-6,232,568.80","-1,912,894.70","-1,092,276","-708,370.50","-1,252,514.70","-25,047.90","-146,502","11,158.89"
,,,,,,,,,,,,,
1,ROA1,-0.413383,-0.106833,-0.123714,-0.071316,-0.220749,-0.065092,-0.077581,-0.141776,0.042211,0.042744,-0.122572,-0.193836
2,ROA2,-0.337502549,-0.100582719,-0.131961429,-0.113238286,-0.259814439,-0.066341717,-0.090145365,-0.151269995,0.05074636,0.059025247,-0.140203908,#REF!
3,ROE,-0.519292,-0.123591,-0.140104,-0.078386,-1.140564,-0.115626,-0.128986,-0.270531,0.060475,0.06329,0.248737,0.269743
4,ROC,-0.504328,-0.123527,-0.140045,-0.078344,-0.313816,-0.115261,-0.128733,-0.267161,0.060343,0.060087,-0.310127,-0.360221
5,OperatingMargin,-0.308743,-0.314793,-0.320085,-0.268476,-0.191279,-0.048184,-0.064887,-0.078627,0.020737,0.033237,-0.071616,-0.15142
6,NetMargin,-0.875378,-0.345175,-0.323451,-0.246122,-0.263404,-0.060909,-0.081975,-0.120585,0.036541,0.038706,-0.074273,-0.10716
7,CurrentRatio,1.551234,2.154006,2.703308,1.958222,2.272809,1.83602,1.387879,1.686422,2.823909,2.883901,0.592131,0.391368
8,QuickRatio,1.551034,2.151044,2.700328,1.956355,2.268561,1.818876,1.382511,1.668326,2.775644,2.883901,0.592131,0.379138
9,D/Eratio,0.02967,0.000521,0.000418,0.000533,2.634501,0.003161,0.00196,0.012613,0.002183,0.0533,-1.802047,-1.748825
10,EPS,-4.33666,-1.629645,-2.14168,-1.201688,-2.096478,-0.434706,-0.502283,-0.733802,0.193326,0.137536,-0.18182,-0.215212
