"","mean","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"const",77.9021756903189,0.56965434728409,-0.0431341832787974,-0.268560118917999,0.297524160065365,-0.188188817826865,0.157525845035942,-0.369971356446496,0.488248662174163,0.267425645393367,-0.00465375423168122,-0.00704810442625219,0.0768466708697573
"sin1",-6.15759941317344,0.20186272122829,-0.228513981279632,-0.269600812677559,-0.277548962434744,0.464475656728857,0.534968625477213,0.25066346784796,-0.183309624906652,0.319788982841197,0.136428198414365,-0.0484565846153627,-0.189011722640664
"cos1",-14.7100592275741,0.679506357252414,-0.111303461039978,0.128519477707561,0.246117132434252,-0.0435597913760995,-0.205987187032197,0.25426362417083,-0.533724877177447,-0.215538341440941,-0.0518763605059482,0.0110006504483125,0.0753816391750641
"sin2",0.109668382037005,0.08777436448435,-0.471395958968912,0.230306551459719,-0.0403396710182612,0.365767338791263,-0.16468686867069,0.312989819777234,0.575761385351118,-0.30176366205135,0.0203299414866116,0.0250196008092275,0.181497130663964
"cos2",-1.65228523849785,0.157376524175177,0.203300654305963,0.513296227893681,-0.102435863247973,-0.218611771578651,-0.134804476144164,0.363574385127846,0.213473605429724,0.486276293902308,0.0984339768739623,0.0114480421459497,-0.412225354777802
"sin3",0.452855265224838,-0.157536971075944,-0.530645480401273,0.384509197861217,0.162064027505914,0.0693309883976249,-0.0993159863209241,-0.406528254612113,-0.252252811227684,0.415106758789477,0.268736293825093,0.00319036065408756,0.177130617761641
"cos3",-0.201859862271088,0.144601165300281,0.351563498261524,0.482133952698139,-0.213762914514791,0.182866770108969,0.365493992316901,-0.133176723660981,-0.00655809515956854,0.0535796109375785,-0.33198496053883,-0.0296384198048238,0.527804405712936
"sin4",-0.553589766908986,-0.100247207535265,-0.0788205934387688,0.255920460405586,0.483656781776816,0.228003500369338,0.291100117939436,-0.160266647055317,0.00276298701678828,-0.169398358840796,-0.446507728307869,0.0500293678295594,-0.539752579109873
"cos4",0.120153828735727,0.187070981041995,0.366507546557746,0.132752342249018,-0.0617414439222157,0.40258631891805,-0.0918903472488728,-0.354498922775385,0.0242667853321796,-0.256469807608166,0.561127432764417,0.295414351882258,-0.211076136898197
"sin5",-0.231189374387926,-0.171599923396606,0.291154492045712,-0.00270892119448706,0.60292773014883,0.178788826955311,0.125777728873077,0.298676019066889,0.0383000947152532,0.0646158958358612,0.361640749763012,-0.446525331338347,0.22237239320431
"cos5",0.0265328331112397,0.0713970131259585,0.150725658158588,-0.16406921432906,-0.0805009633593408,0.484565958343198,-0.571887401077518,-0.168052445733905,-0.0116485636634811,0.270354666663739,-0.339055047179277,-0.39258347119814,-0.0798542208377416
"sin6",-0.159259083167543,-0.123402801446596,0.129521762240692,-0.178366195146626,0.28645145424415,0.215162799685026,-0.147518034298902,0.231700097284198,-0.0142422279784943,0.324518089407775,-0.161750623970942,0.743341366109546,0.219433152151285
"cos6",2.22025702399396e-05,-1.89705171538568e-06,-2.45063142029297e-06,-6.18738718907331e-06,1.23478473749346e-06,2.63519504170566e-06,1.62496321481505e-06,-4.38260671028658e-06,-2.57325844135737e-06,-5.86168287928807e-06,-1.18654509109182e-06,-1.37997273358761e-07,4.96905634477935e-06
