"","mean","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"const",65.7522646912111,0.552898643603064,0.314003588692876,-0.255045376164885,0.0456273485774271,-0.44606014681579,0.328233063892867,0.0131465981224657,-0.0129555578933222,0.292616665481022,0.0661864676140384,-0.197731616089113,0.304014153622132
"sin1",-6.87168876950648,0.52574713888185,0.209990788031331,0.376947902305299,-0.160808840320537,0.472667151903967,0.312786925414468,-0.119180106157806,-0.128619535541273,-0.234223486691409,-0.266232069811397,0.0163875275519191,-0.183136897218552
"cos1",-24.1755762025875,0.289022252526196,-0.584095435519689,-0.431520474716643,0.408876561891436,0.316387350183825,0.175501331939667,-0.0627358848087185,0.190004657656052,-0.0617153454930931,-0.0631544293773707,0.168013297140408,0.122244545514061
"sin2",1.09780113168154,0.166359494630555,-0.190217260459106,0.474312554180692,0.178851361392418,-0.354921139278274,0.174296372755735,0.413549376200962,0.182224191539521,-0.305417951100137,0.35393675617507,0.314636846991018,-0.0325118891045883
"cos2",-1.88030856566582,0.0517051633975256,0.165174263088111,0.239323008848385,0.14697534821359,0.142543201451114,-0.0804097620137562,-0.399020181613546,0.261107138435977,0.582878842789644,0.257892441134126,0.475272114711088,-0.0696319353977991
"sin3",-0.00224862687062481,-0.107135924552464,-0.30239392725219,0.487389052308173,0.242299617900076,0.160902380557302,0.100520181845297,0.181644096433564,-0.257709362110783,0.443481483883894,-0.106142887462607,-0.377370551226408,0.339218757045198
"cos3",-0.34622779936506,-0.387080528825812,0.460415968071728,0.00373456472764302,0.499272537544327,0.157313885438696,0.377403293773566,-0.0170847473685116,0.366613417448644,-0.208093025346091,-0.0260512753607319,-0.192638117258172,0.0770050343385955
"sin4",-0.442760165170837,0.162365973548525,0.218260986245866,-0.0944302367115112,0.38457962277906,0.237289241923429,-0.323067918876617,0.00312878531500835,-0.506378593961777,-0.17761507735205,0.55823903387156,-0.0941346088173181,0.00578646493221324
"cos4",0.056703496787121,-0.182274481483375,0.114247560968675,-0.229490895201752,0.124743290684434,0.021251100529294,0.357711610005622,0.41861492477085,-0.431342468620151,0.285647248634498,-0.153718247229656,0.376210536927345,-0.386049925138788
"sin5",0.814633720704526,0.193385400999636,0.285874518431427,-0.00411277227186159,0.162015881354439,0.119381262601618,-0.53490988018184,0.474955687182774,0.196433249129997,0.0388968405952321,-0.419360582548063,0.213868939146563,0.258739653363067
"cos5",0.297206899743884,-0.101378464887116,0.0652417718506821,-0.148180487962402,-0.503558759859967,0.440585589862327,0.201937488129266,0.351076525959833,0.147876352491273,0.0699900443275627,0.418846650472549,0.0766583335584465,0.379094789709626
"sin6",0.129543040063563,0.188251489962774,-0.0507636758563946,-0.0573128741287408,0.00489282780486254,0.124358345542363,-0.122500464828811,0.306716389078722,0.376903501059117,0.251289913458816,0.17455858959119,-0.475389490126391,-0.61029556517909
"cos6",2.52666319527439e-05,-6.23265569022088e-07,-1.99104739904111e-06,-2.88485291432828e-06,-1.77167362085489e-06,-1.71824753575311e-06,9.69277201405649e-07,4.80987824504604e-06,-3.14744366987497e-06,-7.02615154441732e-06,-3.10869299167014e-06,-5.72903605022072e-06,8.39358875560991e-07
