"","mean","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"const",31.5723083100659,0.425031114970602,0.590352879238332,-0.0808211939234939,0.029594089438437,0.197135972396585,0.218714529074689,-0.505347288800789,-0.296932012493059,-0.037312270626827,0.0705131901332726,0.124987378394914,-0.105805738512704
"sin1",-12.2298493810646,0.455475447081122,-0.00807644443406056,-0.330036538893209,-0.050544567754339,0.391092870956801,-0.542062482024744,0.331847306256824,0.0686274702212952,0.174752772071815,0.190438070467853,-0.10398796803993,-0.204356545819197
"cos1",-28.5867318658068,0.220776649781349,0.333871587597603,0.160673631849944,-0.382879838561287,0.00886944032168251,-0.0230085873978619,0.0560260257910574,0.560242514128787,-0.316839157708325,-0.372670530051269,-0.271823432527679,0.191304575459445
"sin2",-0.0632677411481016,0.566437427598875,-0.204612090756739,-0.149668720435,0.109819340417045,-0.601204144719489,0.0393073961743501,-0.0398789668431938,0.0221749691669143,0.347112056408015,-0.294971574461209,0.0862442804302627,0.151045946315177
"cos2",-0.387922498895921,-0.025033030607869,0.417400987036045,0.316495516720107,-0.100320839489115,-0.575342392337497,-0.353517142327104,0.234499068662569,-0.132483147416601,-0.104340607237884,0.355112100214227,0.103522461529608,-0.196653955830113
"sin3",-0.889666272448516,0.302563029449548,-0.261183570531176,0.431767221959688,0.480835686339398,0.0046600572377789,0.0435149342842387,-0.195236541595518,0.192571353576041,-0.211377770546962,0.293205310582462,-0.426817809560611,-0.180757314800379
"cos3",0.187122238838777,-0.250664106938903,0.251651046838286,0.206133558025739,0.177805346836208,0.0748199210634145,-0.18032986328947,-0.272183153202628,0.46100381729625,0.674896293093198,-0.0385343133582587,0.077749718660608,-0.109514765625972
"sin4",-0.0616485007653577,0.245416571483626,-0.186447680610548,0.479305110308823,-0.0279750935968307,0.263206536200364,-0.114844422850658,0.0445011169631798,0.0598625524738036,-0.0839253101618304,0.0617328552335694,0.685659904849269,0.324772642365648
"cos4",-0.165480098713915,0.0327343899120266,0.12002407701357,0.461327121122878,0.0895414194462576,0.190831206479848,-0.0639235046721144,0.277908874228974,-0.521978790725335,0.255464966418109,-0.45091285518842,-0.316035895653645,0.0708582996758727
"sin5",-0.280597155001937,0.158662924111801,-0.114094652240193,0.206271013861145,-0.45239739425319,0.0502449065303691,0.575717939745575,0.261098975109102,0.0829999664339213,0.292919704546199,0.188346092002854,0.0243881997604153,-0.428589546508284
"cos5",-0.425240556660513,0.00578017596921362,0.297591142510472,-0.135214808052651,0.590012798479034,0.0370928509777469,0.300913611916594,0.516872289076224,0.204968871059469,-0.144209582958901,-0.174744062541215,0.25723131590737,-0.162523939580111
"sin6",0.23398966753084,0.0280228167265129,0.203878932209333,-0.0621032125606732,0.0587488929415474,0.0206256780089829,0.239990355924297,0.219175994105532,0.0255264681062796,0.239246185003421,0.496152940405115,-0.237765252683608,0.695478656840393
"cos6",5.21270560897323e-06,3.01753732886272e-07,-5.03144457227733e-06,-3.81510753266919e-06,1.20928976936459e-06,6.93530549041139e-06,4.26137446303882e-06,-2.82670406381757e-06,1.59698140048838e-06,1.25774494606691e-06,-4.28060044053357e-06,-1.2478828356349e-06,2.37051063539437e-06
