"","mean","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"const",39.70943742374,0.425269528516221,0.435160743230236,-0.136909025928698,-0.0435458833594686,0.195524073654391,-0.419245614332058,-0.209917749622918,-0.473639804541368,0.123546179903144,0.200815396366862,0.199484370208604,-0.177086023775529
"sin1",-10.5757944984208,0.335768869619676,0.0525948796310693,-0.264967127873748,-0.121390567069139,-0.193153731402023,0.788450549507395,0.0505844072713026,-0.167709176757383,0.0983414054459324,0.000249204857293156,0.291319141373066,-0.123951913033806
"cos1",-29.7247367070125,0.271108972083007,0.394123759158431,0.0996847293486712,0.126882106951354,-0.427586509398854,0.019370979759957,-0.511397374602384,0.454837066442832,-0.272234541834445,-0.0382559066308975,-0.133955947371775,-0.00119488897795753
"sin2",-0.420807293934237,0.632320058800063,-0.174257107468401,0.0277853508545106,-0.0831298009678096,0.101836197106631,-0.0964203867560328,0.485271323706491,0.178824097516405,-0.397444498005424,0.233109279465778,-0.136179560704574,0.210101068049443
"cos2",-1.21114365067583,0.0986139144914476,0.323672991451111,0.424026461580958,-0.129485736338409,-0.34057212444933,-0.136224703034513,0.507641389352828,0.116622481344649,0.43024273881033,-0.265207464336219,0.0728769067760429,-0.149479471181705
"sin3",-0.466331834403535,0.24204834200431,-0.28624383596568,0.320890638417428,-0.472043176510596,0.409431217114385,0.0156988484563859,-0.362331539321395,0.298951481870867,0.173719750604482,-0.22476172810126,0.244802695164144,-0.067232805766672
"cos3",0.312057783516413,-0.254632643691222,0.194828109440363,0.532370325033021,-0.147210062771364,0.00726265847854719,0.190889599211864,-0.0209873869667263,-0.0590506823529563,-0.123027663257807,0.660015506022089,0.258540735121039,0.184652739906881
"sin4",-0.578357093959604,0.270901021137017,-0.174227455479415,0.386574615747179,0.259174508831266,0.0161342615846209,0.205564902320461,-0.199603749876506,-0.335029129248549,0.356832486787338,0.0438241979927542,-0.56782728775441,0.18266045107878
"cos4",0.34813884300619,-0.0295409826790916,0.217143047092115,0.355408571947408,0.144973871917282,0.246890926468046,0.160115005198501,0.0640623923148843,-0.342392078259932,-0.549833163471719,-0.536455910067241,0.0795958302133402,-0.0166833382916049
"sin5",0.155399300340229,0.110376955301471,-0.0921230828411914,0.120835663862959,0.758592894105276,0.259056370564326,0.0472991305317013,0.0677838843568917,0.284687134378095,0.134131039368454,0.123843189625111,0.343204937736468,-0.288373191775485
"cos5",-0.2068679424032,-0.110524466555594,0.511743109751255,-0.148121667316796,-0.106824725592686,0.549715688550782,0.259866989990932,0.135563213054014,0.287196781218891,0.109893468915105,0.0767698310234807,-0.433053501093827,-0.128330427845614
"sin6",0.229144426918775,0.0356049532002959,0.222796130961824,-0.147835690169115,0.155025107176957,0.130660298267498,0.00156625808207111,-0.00425933869017885,0.0960144241419096,0.229901546598938,-0.190945321512605,0.269590562708356,0.845517953350718
"cos6",1.62747335320869e-05,-1.18871411479553e-06,-3.90162641356647e-06,-5.11130952006082e-06,1.56084993923629e-06,4.1053323308659e-06,1.64208294620722e-06,-6.11922250420031e-06,-1.40579339546915e-06,-5.18624191153046e-06,3.19686991222017e-06,-8.78474484595294e-07,1.80185887818557e-06
