"","entity.cik","entity.name","period.start","period.end","period.fiscal.year","location","CurrentRatio","DERatio","NetMargin","OperatingMargin","QuickRatio","ROA1","ROC1","ROE1","eps","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","BurntArea"
"1",1441693,"MARRONE BIO INNOVATIONS INC","1/1/20","31/12/20",2020,"CA",1.414066369,0.365456861,-0.525564184,-0.448089853,1.140911342,-0.248383561,-0.107011343,-0.642088507,-0.14,2.00675625275138,1.48215975698901,-2.44710115684935,1.17789971872381,-1.36084869056807,0.240883804417197,-1.41965676794546,-0.419042588473897,-0.780524730965779,0.815892875260233,-0.224604537402296,-0.317532248710612,4092150.5
"2",1441693,"MARRONE BIO INNOVATIONS INC","1/1/19","31/12/19",2019,"CA",1.029926488,0.502886493,-1.265618085,-0.952745719,0.643443206,-0.511228461,-0.348309199,-1.578020205,-0.32,-2.93377344047613,-0.189444610506518,0.534455596146354,2.94741491417081,1.03763506236825,-1.78587485225963,1.09603640714423,0.00585598009911942,0.738549159240067,0.340204905722233,0.201822255803553,-0.0437378775492376,259148
"3",1441693,"MARRONE BIO INNOVATIONS INC","1/1/18","31/12/18",2018,"CA",2.662426009,0.913651824,-0.952544769,-0.919132893,1.935860058,-0.434062748,-0.180256405,-1.562538652,-0.2,0.584982518152617,0.492454097759061,-1.86732919483401,0.935390481880095,1.60099516108349,-0.64968656107201,0.716744228167595,0.408536354454553,0.318815611668143,-0.0724284941436665,-0.727116574053316,0.236090121809722,1823153.2
"4",1441693,"MARRONE BIO INNOVATIONS INC","1/1/17","31/12/17",2017,"CA",0.868921007,-0.481866103,-1.702262344,-1.265756592,0.422279793,-0.837780728,-0.176577358,0.610550631,-1.06,0.886893782590271,-2.21214295341266,-0.557654716499793,-0.312645815580211,0.34362658070683,-1.12710343839379,-1.88113548699484,-1.31703817591335,-0.0307981293813529,0.280021964577655,0.124399979132144,0.584631127342976,1266224
"5",1441693,"MARRONE BIO INNOVATIONS INC","1/1/16","31/12/16",2016,"CA",1.76241065,-0.69848264,-2.212718986,-1.684945165,1.206177454,-0.675706239,-0.217210708,1.02938643,-1.26,1.96052692645575,-2.21259070302546,-0.34450080339544,-0.960217786211694,-0.735936394764175,-0.835711305460116,1.17457937361804,0.857847350391053,-0.0804838670517037,0.21867173930486,-0.0257643705809751,0.0793669947514366,560815
"6",1441693,"MARRONE BIO INNOVATIONS INC","1/1/15","31/12/15",2015,"CA",2.794925675,-10.63748764,-4.461585552,-4.025813692,2.089501128,-0.614148678,-0.312060224,21.62611276,-1.79,5.62137427239479,0.531253467309314,2.50732112875537,-0.497493503297592,-1.08828900527894,-0.0925281009706063,1.36733490988616,0.433468802440313,0.317340241335789,0.310827128820633,-0.0715103391654413,0.139333575042964,893362
"7",1441693,"MARRONE BIO INNOVATIONS INC","1/1/14","31/12/14",2014,"CA",1.753829883,0.290903072,-5.654443958,-5.312281086,1.348599449,-0.669314089,-0.544064678,-1.554542445,-2.32,3.93725604577707,0.0323190922071423,-1.1124757588621,0.686786476485258,1.61306577161811,-0.666275819261517,-0.378443917751555,0.616266262099354,-0.565426884397981,-0.943092369871618,0.445176231339096,-0.385675157262842,555044
"8",1441693,"MARRONE BIO INNOVATIONS INC","1/1/13","31/12/13",2013,"CA",3.847456536,0.314621711,-3.699029126,-3.755505565,3.028589826,-0.446837724,-0.27120341,-0.800440675,-3.74,-0.536010325373045,-2.8424759772668,0.541187291757664,0.495615073832502,0.278112058856457,0.568655871235734,0.493285284392275,-1.35903301250172,-0.778630721595897,-0.613634414567256,-0.188109644882985,-0.048783230491385,577675
"9",1441693,"MARRONE BIO INNOVATIONS INC","1/1/12","31/12/12",2012,"CA",0.705442684,-0.104596819,-5.433333333,-3.338655462,0.580304626,-1.148499023,-0.918586062,0.522499226,-32.48,-0.0524862820898632,1.00750165541119,-1.24266336847787,1.66903220913214,-1.29692228327597,0.711881049971093,-0.228343687556849,0.783695907943519,0.174761845429595,0.174314360565846,0.539553200001257,0.25234210627068,869599
"10",1441693,"MARRONE BIO INNOVATIONS INC","1/1/11","31/12/11",2011,"CA",NA,NA,-2.509998096,-2.49933346,NA,NA,NA,0.386510264,-10.64,-2.70968891265812,3.23879219081875,2.22823124036359,0.915718308154593,-1.14164952580059,-0.231111971253381,-0.0372171966328137,0.262055841917679,-0.532827539344246,-0.04690482717304,-0.244386286376037,-0.179200352486741,126854
"11",1159275,"KIWA BIO-TECH PRODUCTS GROUP CORP","1/1/19","31/12/19",2019,"CA",1.602045029,0,-0.165512244,-0.0295783,1.599834684,-0.275674324,-0.275674324,-0.685090211,-0.29,-2.93377344047613,-0.189444610506518,0.534455596146354,2.94741491417081,1.03763506236825,-1.78587485225963,1.09603640714423,0.00585598009911942,0.738549159240067,0.340204905722233,0.201822255803553,-0.0437378775492376,259148
"12",1159275,"KIWA BIO-TECH PRODUCTS GROUP CORP","1/1/18","31/12/18",2018,"CA",1.601761386,0,0.011217504,0.084480001,1.518715028,0.010575515,0.010575515,0.027016118,0.02,0.584982518152617,0.492454097759061,-1.86732919483401,0.935390481880095,1.60099516108349,-0.64968656107201,0.716744228167595,0.408536354454553,0.318815611668143,-0.0724284941436665,-0.727116574053316,0.236090121809722,1823153.2
