"","entity.cik","entity.name","period.start","period.end","period.fiscal.year","location","CurrentRatio","DERatio","NetMargin","OperatingMargin","QuickRatio","ROA1","ROC1","ROE1","eps","const","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","BurntArea"
"206",277638,"DAVEY TREE EXPERT CO","1/1/12","31/12/12",2012,"OH",1.641438589,0.463879904,0.036160981,0.067289272,NA,0.074320404,0.239874053,0.208245136,1.74,43.7363036170563,-5.40081022715044,-28.2557967221963,1.78935224403499,0.0240416303820059,-1.37495950345639,-0.91307934331697,-2.29031716607368,1.1153335017908,-2.0671836393803,3.47478641188835,1.69320209155962,-3.23059222980683e-07,1250
"207",277638,"DAVEY TREE EXPERT CO","1/1/11","31/12/11",2011,"OH",1.279325722,0.507674285,0.0217713,0.05077287,NA,0.046306966,0.214664805,0.139636241,1,40.5888786245691,-11.1732281780825,-30.1018806866703,-2.10492817002739,0.0714177843700552,-3.34458971289571,-1.19857901618338,-1.14056239236704,-0.749543305010216,-1.61576702846253,-1.41911510212602,-0.0853235051580792,-9.59675929871653e-07,1203
"208",277638,"DAVEY TREE EXPERT CO","1/1/10","31/12/10",2010,"OH",1.286899447,0.321147923,0.023748927,0.050042925,NA,0.04874318,0.158317349,0.142860047,0.97,39.4858509352823,-9.6721541244375,-34.6206642642828,-0.964282454822085,-3.87282381182967,-1.04009638584593,-0.57013332317751,0.840749339444773,0.441724322451551,2.33614719221392,0.0786640310256174,0.826903155151605,5.20410403164131e-05,4218
"210",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/20","31/12/20",2020,"MA",5.701212789,NA,-12.77346683,-12.02628285,5.701212789,-0.702795758,NA,-1.07070919,-4.3,34.8315417402101,-11.7851371720534,-26.3418567709416,1.94081235861156,1.55068515963894,-0.764411665470552,-1.87465610174076,-0.315369390573897,-0.390693324016762,0.749134948969538,0.664854798672451,1.18268992391131,-2.08373199573025e-05,834
"211",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/19","31/12/19",2019,"MA",5.294064341,NA,-16.07444169,-10.66501241,5.294064341,-0.774973083,NA,3.171603427,-35.5,30.4627322532522,-11.8538943452379,-29.5233335353436,1.04981047106327,-0.136825161144608,-0.637394621808355,0.0502294676186533,1.44426452970222,1.09634997037306,-0.989602718540227,-0.578164749110638,-0.633598467912644,1.8385870549206e-06,248
"212",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/18","31/12/18",2018,"MA",3.886045094,NA,-16.51978417,-16.76079137,3.886045094,-0.708719136,NA,-1.611969112,-36.99,32.2946646573909,-11.9151612833085,-29.8007889222998,2.84651118415279,0.341886126167552,0.84697274353011,0.520192530693749,-1.46689192992277,-2.73015841626133,-3.03232971877364,0.375287808582045,0.0767503300565082,-4.59409220203101e-06,210
"213",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/17","31/12/17",2017,"MA",6.280842105,NA,-9.953389831,-9.833686441,6.280842105,-0.556569127,NA,-0.695896904,-3.29,32.5870925687354,-12.3964648285218,-27.1119382648651,0.90712769459084,-2.07465128061133,3.47016338137529,-0.239889007742465,3.79645349325397,0.599716293605668,1.02346179261992,-2.27605498144268,-0.746886853786924,2.78781106968918e-05,369
"214",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/16","31/12/16",2016,"MA",2.849891226,NA,-6.5608283,-8.842105263,2.849891226,-0.707480461,NA,-1.193907992,-2.73,34.1199575334339,-11.6085756848359,-27.8276815581362,2.22250367693107,-0.942573332329545,-0.737564881194661,-0.981784016432887,-0.925602090271824,-0.589510093918709,0.551574047972272,0.732679384366079,1.09267158488924,1.26658219365038e-05,946
"215",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/15","31/12/15",2015,"MA",3.797953964,NA,-17.54148148,-9.236296296,3.784910486,-1.385826311,NA,-1.817700338,-0.95,30.4797640861933,-17.104209143393,-29.7811786497571,-6.17046874031826,1.17202948112246,-3.99151061283495,5.44008226561308,-2.64634516641888,0.434171734683201,-1.95828504699527,0.51267712700172,1.02490267607823,-1.57491371766977e-05,574
"216",1121702,"YIELD10 BIOSCIENCE, INC.","1/1/14","31/12/14",2014,"MA",5.243494868,NA,-10.54785714,-9.581785714,5.103604679,-1.276593905,NA,-1.571291764,-2.88,29.0213773062203,-14.1225767741683,-29.2246693618049,-2.78506981701684,0.792666695830028,-0.130192470838401,1.20233179303325,0.191625795617772,1.08022417486766,-2.1154169488957,-0.541329032270804,-1.09063035274562,-1.06514526562042e-05,158
"217",1121702,"METABOLIX, INC.","1/1/13","31/12/13",2013,"MA",4.072800646,NA,-5.655543196,-5.291064145,3.762711864,-1.140923031,NA,-1.495538778,-5.31,30.7667071699806,-11.1437414246409,-29.6502862380741,0.321495526422668,0.632507011079359,0.342657343872307,-0.874396878861754,1.41244474814208,0.737499989379603,-0.796756211088356,-0.157213295191303,0.554194536281057,-8.49930811687095e-06,NA
