,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,8514272.0,-1758716.0,-2362624.0,4813266,3683293,327109.0,5903689,,"SURNA
INC.",0001482541,-1333698,
1,2019,2020-01-01,15224454.0,-1338566.0,-1310589.0,4047318,2561268,1231243.0,3998740,,"SURNA
INC.",0001482541,-355631,
2,2018,2019-01-01,9581968.0,-4743745.0,-4820494.0,2753221,1527808,935886.0,2558885,,Surna Inc.,0001482541,194336,
3,2017,,,-4918699.0,-4241660.0,4828823,3707418,522622.0,3398941,,Surna Inc.,0001482541,1412486,
4,2016,,,-3272613.0,-532917.0,2117821,1356811,747905.0,4216880,,Surna Inc.,0001482541,-2111044,
5,2015,,,-5296022.0,-3113843.0,3102734,2292740,1261802.0,5312971,,Surna Inc.,0001482541,-2847297,-0.04
6,2014,,,-2991969.0,-3192464.0,2321292,1505913,264031.0,2285300,,Surna Inc.,0001482541,-883752,-0.03
7,2013,,,-193156.0,-193156.0,4409,4409,,2641766,,Surna Inc.,0001482541,-2637357,
8,2012,,,-767365.0,-778972.0,18115,1447,,2455370,,Surna Inc.,0001482541,-2437255,
9,2010,,,-98370.0,98370.0,76689,76689,,91459,,Surna Inc.,0001482541,-14770,
10,2011,,,,,39118,9118,,1709008,,Surna Inc.,0001482541,-1669890,
