name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalExpenses,"773,700,000","796,400,000","884,700,000","873,000,000","855,000,000","907,300,000","1,287,600,000","2,167,300,000","2,055,500,000","2,177,000,000","1,743,900,000","670,737,723.043","1,172,382,850.585","475,967,853.885","455,255,420.801","327,566,265.06"
NetIncomeFromContinuingAndDiscontinuedOperation,"42,200,000","-7,500,000","-47,700,000","-53,000,000","61,100,000","-165,900,000","-359,300,000","-99,700,000","-518,600,000","-375,800,000","-77,000,000","12,536,358.843","4,003,485.794","17,567,358.271","32,065,417.126","23,839,357.43"
NormalizedIncome,"32,943,971.631","-11,912,000","-44,598,245.614","-57,936,982.249","-23,636,000","-131,675,000","-39,420,000","7,392,000","336,246,716.185","203,380,000","14,152,000","12,536,358.843","-16,571,670.161","17,567,358.271","32,065,417.126","23,839,357.43"
InterestIncome,"4,100,000","3,800,000","1,900,000","3,700,000","3,000,000","1,900,000","2,500,000","3,000,000","1,300,000","1,700,000","3,700,000","1,581,928.592","1,052,640.661","3,628,197.259","4,061,006.983","931,726.908"
InterestExpense,"32,000,000","33,500,000","41,500,000","41,900,000","46,000,000","63,000,000","50,200,000","46,100,000","51,800,000","61,500,000","46,400,000","22,606,269.88","61,208,465.992","21,267,259.033","6,192,576.259","514,056.225"
NetInterestIncome,"-16,700,000","-32,100,000","-41,300,000","-33,900,000","-51,300,000","-63,500,000","-52,000,000","-40,500,000","-51,600,000","-60,700,000","-43,700,000","-36,979,707.088","-66,954,848.618","-23,231,935.019","-1,525,174.568","369,477.912"
EBIT,"88,400,000","37,600,000","-9,800,000","-25,700,000","99,100,000","-98,600,000","-69,300,000","-33,500,000","-459,800,000","-308,000,000","-16,100,000","50,893,874.704","59,085,928.265","41,874,845.837","50,716,648.291","34,072,289.157"
EBITDA,"136,700,000"
ReconciledCostOfRevenue,"48,300,000","48,000,000","50,400,000","55,700,000","63,700,000","72,600,000","79,200,000","145,900,000","161,400,000","205,000,000",,,,,,
ReconciledDepreciation,"48,300,000","48,000,000","50,400,000","55,700,000","63,700,000","72,600,000","79,200,000","149,300,000","159,100,000","205,000,000","147,100,000","23,167,599.381","22,709,428.036","15,401,912.476","9,849,320.103","7,421,686.747"
NetIncomeFromContinuingOperationNetMinorityInterest,"42,200,000","-7,500,000","-47,700,000","-53,000,000","63,300,000","-162,500,000","-123,200,000","-97,100,000","-509,000,000","-375,800,000","-77,000,000","12,536,358.843","4,003,485.794","17,567,358.271","32,065,417.126","23,839,357.43"
TotalUnusualItemsExcludingGoodwill,"12,400,000","15,400,000","-1,400,000","7,700,000","118,600,000","-17,500,000","-46,000,000","-60,400,000","-423,700,000","-334,000,000","-126,600,000",,"28,576,605.493",,,
TotalUnusualItems,"20,000,000","23,000,000","400,000","8,800,000","121,800,000","200,000","4,200,000","0","0","4,700,000","-126,600,000",,"28,576,605.493",,,
NormalizedEBITDA,"116,700,000","62,600,000","40,200,000","21,200,000","41,000,000","-26,200,000","5,700,000","115,800,000","-300,700,000","-107,700,000","257,600,000","74,061,474.085","159,638,996.022","57,276,758.313","60,565,968.394","41,493,975.904"
TaxRateForCalcs,"0.254","0.22","0.07","0.216","0.24","0.25","0.27","0.27","0.005","0.28","0.28","0.28","0.28","0.172","0.28","0.29"
TaxEffectOfUnusualItems,"3,143,971.631","3,388,000","-98,245.614","1,663,017.751","28,464,000","-4,375,000","-12,420,000","-16,308,000","-2,153,283.815","-93,520,000","-35,448,000","0","8,001,449.538","0","0","0"
