name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,04/30/1999,04/30/1998,04/30/1997,04/30/1996
	TotalOtherFinanceCost,,"6,203,000","5,889,000","6,434,000","10,322,000","11,244,000","5,743,000","3,483,000","4,343,000","3,362,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"35,769,000","33,142,000","65,650,000","-205,889,000","-21,364,000","-12,001,000","-286,496,000","-94,224,000","9,112,000","-56,441,000","27,428,000","12,712,000","122,846,000","2,041,039","-2,398,451","760,718","-156,915,920","1,624,670","5,920,000","-3,418,000","2,911,000","40,000","-900,000","14,700,000","-100,000","-100,000","-300,000"
	GainOnSaleOfSecurity,"-2,419,000","-4,542,000","8,722,000","-4,017,000","2,970,000","-6,008,000","33,251,000","946,000","9,112,000","-3,753,000","23,674,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"38,188,000","37,684,000","56,928,000","-201,872,000","-24,334,000","-5,993,000","-319,747,000","-95,170,000","0","-52,688,000","3,754,000","12,712,000","122,846,000","2,041,039","-2,398,451","760,718","-156,915,920","1,624,670","5,920,000","-3,418,000","2,911,000","40,000","-900,000","14,700,000","-100,000","-100,000","-300,000"
		RestructuringAndMergernAcquisition,,"18,061,000","6,438,000",,"0","5,754,000","20,643,000",,,,,,,,,,"17,512,501",,,,,,,,,,
		ImpairmentOfCapitalAssets,,"0","-5,810,000","207,544,000","15,313,000","0","299,104,000","95,170,000","0","52,539,000",,,,,,,,,,,,,,,,,
		WriteOff,,"0",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-32,323,000","-43,814,000","-6,815,000","-5,672,000","9,021,000","239,000",,,,"149,000",,,,,,,"139,403,419",,,,,,,,,,
		GainOnSaleOfPPE,"7,815,000","11,931,000","50,741,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-171,714,000","-109,184,000","-8,339,000","-323,596,000","-232,057,000","-308,586,000","-566,172,000","21,077,000","221,538,000","27,677,000","240,784,000","54,049,000","162,273,000","340,574,308","349,032,675","587,658,434","293,230,608","382,443,005","263,663,000","123,573,000","311,053,000","209,411,000","51,500,000","111,400,000","246,000,000","82,300,000","30,100,000"
TaxProvision,"6,298,000","10,954,000","-14,957,000","-29,326,000","-100,021,000","-153,031,000","-202,736,000","-12,075,000","30,388,000","-24,683,000","47,307,000","-8,042,000","570,000","37,843,613","6,213,129","15,145,620","72,382,835","131,557,475","72,532,000","32,308,000","123,009,000","77,851,000","30,900,000","58,000,000","128,500,000","39,900,000","12,500,000"
NetIncomeCommonStockholders,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","155,295,000","302,729,480","345,775,151","579,588,770","1,630,562,856","247,404,608","188,676,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,100,000","42,400,000","17,600,000"
	NetIncome,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","161,703,000","302,729,480","345,775,151","579,588,770","1,630,562,856","247,404,608","188,676,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,500,000","42,400,000","17,600,000"
		NetIncomeIncludingNoncontrollingInterests,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","161,703,000","302,729,480","345,775,151","579,588,770","1,630,562,856","248,702,904","190,428,000","92,416,000","188,912,000","131,560,000","20,600,000","53,400,000","117,500,000","42,400,000","17,800,000"
			NetIncomeContinuousOperations,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","161,703,000","302,729,480","342,819,545","572,511,650","220,847,773","249,587,233","191,131,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,500,000","42,400,000","17,600,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,"0",,"2,955,606","7,077,120","74,333,062","-1,567,075","-2,455,000",,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,"1,335,382,021","-615,551",,,,,,,,,
		MinorityInterests,,,,,,,,,,,,,,,,,,"-1,298,296","-1,752,000","-1,151,000","-868,000",,,,,,"-200,000"
	PreferredStockDividends,,,,,,,,,,,,,"6,408,000",,,,,,,,,,,,"400,000",,
DilutedNIAvailtoComStockholders,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","155,295,000","302,729,480","345,775,151","579,588,770","1,630,562,856","247,404,608","188,676,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,100,000","42,400,000","17,600,000"
BasicEPS,,"-8.76","0.4","-20","-9","-10.6","-24.8","2.2","13.8","3.8","14","4.6","13","47.8","55","92.4","264.4","24.824","20.126","9.86","20.59","15.66","1.305","3.683","8.178","2.073","1.508"
DilutedEPS,,"-8.76","0.4","-20","-9","-10.6","-24.8","2.2","13.2","3.6","13.4","4.4","12.6","47.8","55","92.4","260","24.476","19.778","9.628","20.126","14.79","1.305","3.538","7.743","1.972","1.392"
