name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
DilutedEPS,,"-0.49","-1.02","0.37","-0.24","-0.99","-0.68","0.46","0.84","1.42","1.388","0.79","0.82","1.68","1.62","2.18","1.085","0.77","0.645","0.345","0.67","0.585","0.205","0.353","0.542","0.21","0.145","0.16","0.07"
BasicAverageShares,,"161,667,010","159,598,788","156,862,920","156,545,624","152,759,973","152,476,615","152,710,636","152,693,280","152,664,447","152,865,133","153,172,370","153,154,557","153,094,863","152,295,732","151,681,778","151,486,607","150,441,772","150,045,455","147,837,143","147,194,161","124,828,492","104,705,882","135,555,556","123,636,364","121,889,764","114,000,000","109,714,286","103,750,000"
DilutedAverageShares,,"161,927,251","159,686,192","157,041,720","156,727,777","153,184,332","152,476,615","153,158,330","153,620,372","152,994,985","153,062,375","153,172,847","153,260,657","154,408,234","154,175,926","156,552,294","156,373,272","154,349,351","153,534,884","149,979,710","150,489,552","127,317,949","111,250,000","138,113,208","125,538,462","122,857,143","117,931,034","120,000,000","118,571,429"
TotalOperatingIncomeAsReported,,,,,,"175,061,000","42,736,000","162,737,000","235,637,000","344,145,000",,,,"370,125,000","382,925,000","518,463,000","277,831,000","174,667,000","137,823,000","84,618,000","165,892,000","132,552,000",,"89,500,000",,"47,900,000","32,600,000","36,100,000","12,400,000"
TotalExpenses,"935,066,000","1,074,352,000","1,563,194,000","1,318,004,000","1,125,333,000","1,034,763,000","1,433,714,000","2,159,028,000","1,862,374,000","1,853,176,000","1,577,666,000","1,166,365,000","948,440,000","1,335,454,000","1,194,676,000","1,288,767,000","1,242,893,000","884,827,000","791,137,000","567,150,000","601,777,000","539,489,000","316,100,000","329,400,000","391,000,000","197,500,000","148,100,000","138,800,000","80,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-93,629,000","-79,329,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
NormalizedIncome,"-66,886,800","-47,983,745","-137,822,552","-103,157,655","-21,545,295","-151,248,320.438","-54,247,351.149","90,839,246.857","142,659,329.72","221,910,057.759","209,092,017.044","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
InterestIncome,,,,,"281,000","367,000","420,000","859,000","1,320,000","504,000","647,000",,,,,,,,,,,,,,,,,,
InterestExpense,"98,961,000","107,374,000","149,159,000","52,416,000","41,491,000","30,838,000","25,333,000","21,546,000","18,795,000","18,666,000","6,586,000","1,279,000","1,432,000","6,545,000","5,249,000","5,127,000","6,823,000","3,503,000","4,516,000","1,923,000","1,105,000","3,513,000",,"4,100,000",,"1,300,000","1,700,000","1,600,000","1,200,000"
NetInterestIncome,"-110,579,000","-119,261,000","-149,159,000","-52,416,000","-41,210,000","-30,471,000","-24,913,000","-20,687,000","-17,475,000","-18,162,000","-5,939,000","-1,279,000","-1,432,000","-6,545,000","-5,249,000","-5,127,000","-6,823,000","-3,503,000","-4,516,000","-1,923,000","-1,105,000","-3,513,000",,"-4,100,000",,"-1,300,000","-1,700,000","-1,600,000","-1,200,000"
EBIT,"-43,344,000","-13,154,000","-34,438,000","58,900,000","-146,305,000","-173,707,000","-104,421,000","132,760,000","215,862,000","338,203,000","318,196,000","189,318,000","189,135,000","370,125,000","382,925,000","518,463,000","277,831,000","174,667,000","137,823,000","84,618,000","165,892,000","132,552,000","56,200,000","89,500,000","126,500,000","47,900,000","32,600,000","36,100,000","12,400,000"
EBITDA,"312,553,000"
ReconciledCostOfRevenue,"890,719,000","1,032,906,000","1,504,083,000","1,270,860,000","1,085,511,000","971,973,000","1,330,538,000","1,985,249,000","1,772,199,000","1,775,736,000","1,322,926,000","991,977,000","781,021,000","1,145,884,000","1,054,334,000","1,161,213,000","1,031,412,000","776,688,000","683,878,000","498,325,000","546,350,000","486,024,000","274,100,000","290,900,000","359,300,000","177,500,000","134,400,000","128,300,000","73,800,000"
ReconciledDepreciation,"355,897,000","374,705,000","363,144,000","415,036,000","325,811,000","349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000","125,809,000","92,636,000","80,921,000","74,917,000","50,956,000","44,209,000","39,170,000","29,184,000","26,525,000","22,700,000","20,500,000","12,500,000","6,400,000","5,000,000","3,400,000","2,200,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-81,957,000","-66,530,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
TotalUnusualItemsExcludingGoodwill,"-25,117,000","-25,233,000","-28,246,000","219,673,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000","4,843,000",,,,,,,,,,,,,,,,,,
TotalUnusualItems,"-25,117,000","-25,233,000","-28,246,000","219,673,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000","4,843,000",,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"337,670,000","386,784,000","356,952,000","254,263,000","201,409,000","175,253,000","293,197,000","462,450,000","484,983,000","564,876,000","491,280,000","325,117,000","300,150,000","495,934,000","475,561,000","599,384,000","352,748,000","225,623,000","182,032,000","123,788,000","195,076,000","159,077,000","78,900,000","110,000,000","139,000,000","54,300,000","37,600,000","39,500,000","14,600,000"
TaxRateForCalcs,"0.4","0.265","0.112","0.265","0.265","0.264","0.198","0.361","0.346","0.319","0.318","0.354","0.332","0.284","0.339","0.335","0.374","0.306","0.257","0.374","0.388","0.326","0.4","0.4","0.4","0.4","0.4","0.4","0.341"
TaxEffectOfUnusualItems,"-10,046,800","-6,686,745","-3,163,552","58,213,345","-5,804,295","260,679.562","-12,303,351.149","-11,116,753.143","-7,300,670.28","-2,057,942.241","1,542,017.044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
