name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"387,549,000","315,468,000","262,658,000","236,437,000","210,766,000","146,042,000","101,583,000","96,274,000","94,425,000","82,513,000","61,447,000","87,309,000","110,851,000","110,700,000","89,800,000","72,500,000","61,100,000","77,100,000","50,100,000","48,600,000","47,700,000","40,300,000","41,600,000","41,700,000","37,600,000","34,200,000","38,500,000","40,400,000"
			DepreciationIncomeStatement,,,,,,,,,,"387,549,000","315,468,000","262,658,000","236,437,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,"-13,903,000","-4,992,000","-6,573,000","-23,726,000","-58,358,000","-7,492,000",,,,,"41,640,000","29,202,000","25,500,000","25,700,000","21,300,000","16,900,000","15,400,000","15,500,000","14,700,000","11,500,000","12,800,000","13,400,000","9,700,000","8,700,000","7,800,000","11,200,000","12,700,000"
OperatingIncome,"-341,090,000","-87,681,000","205,218,000","32,070,000","-193,168,000","-29,612,000","703,276,000","1,035,202,000","937,738,000","890,376,000","702,511,000","451,796,000","583,532,000","703,945,000","632,319,000","417,286,000","179,206,000","72,211,000","46,231,000","92,200,000","235,070,000","139,839,000","71,400,000","153,000,000","131,700,000","64,500,000","14,200,000","30,700,000","43,300,000","24,700,000","11,900,000","67,600,000","38,300,000","32,800,000","38,800,000","11,000,000","7,900,000"
NetNonOperatingInterestIncomeExpense,"-15,955,000","-17,170,000","-15,720,000","-16,248,000","-13,832,000","-19,747,000","-9,202,000","-3,071,000","-4,476,000","-7,273,000","-15,404,000","-15,347,000","-8,525,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"8,222,000","7,304,000","9,468,000","8,017,000","5,915,000","3,166,000","5,834,000","1,583,000","1,653,000","1,380,000","1,951,000","1,811,000","4,965,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"24,177,000","24,474,000","25,188,000","24,265,000","19,747,000","22,913,000","15,036,000","4,654,000","6,129,000","8,653,000","17,355,000","17,158,000","13,490,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-46,398,000","-531,647,000","-240,720,000","19,000","22,402,000","-23,308,000","-28,427,000","64,183,000","181,035,000","19,477,000","-40,000","1,787,000","808,000","50,727,000","132,176,000","35,265,000","42,696,000","-23,190,000","6,533,000","31,503,000","12,771,000","35,194,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
	GainOnSaleOfSecurity,"6,316,000","-8,720,000","-54,488,000","1,000",,"-25,989,000",,"45,234,000","162,121,000",,"913,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,"17,366,000","9,892,000","7,268,000","2,412,000","724,000","-1,420,000","3,059,000","2,179,000","3,221,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-46,070,000","-517,543,000","-184,636,000","-468,000","20,627,000","3,646,000","-27,526,000","19,585,000","18,923,000","19,477,000","-953,000","1,787,000","808,000","33,361,000","122,284,000","27,997,000","40,284,000","-23,914,000","7,953,000","28,444,000","10,592,000","31,973,000","3,600,000","5,600,000","2,300,000","7,500,000","1,100,000","900,000",,"-4,600,000","22,000,000","3,100,000","100,000",,,,"23,200,000"
		RestructuringAndMergernAcquisition,"17,793,000","16,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"563,234,000","224,327,000","23,128,000","0","6,250,000","39,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,"563,234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"0","14,963,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"26,007,000","46,775,000","39,691,000","22,660,000","20,627,000","9,896,000","11,716,000","19,585,000","18,923,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-6,644,000","-5,384,000","-1,596,000","486,000","1,775,000","-965,000","-901,000","-636,000","-9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-403,443,000","-636,498,000","-51,222,000","15,841,000","-184,598,000","-72,667,000","665,647,000","1,096,314,000","1,114,297,000","902,580,000","687,067,000","438,236,000","575,815,000","699,929,000","690,353,000","440,981,000","212,657,000","8,000,000","33,942,000","91,220,000","235,102,000","136,763,000","68,500,000","157,900,000","129,700,000","71,200,000","14,800,000","31,200,000","42,000,000","19,400,000","33,500,000","69,800,000","32,500,000","26,500,000","32,100,000","2,600,000","24,200,000"
