name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
PretaxIncome,"-46,697,000","-102,701,000","-24,679,000","-12,288,000","-53,230,000","7,535,000","-44,544,000","28,121,000","35,682,000","38,344,000","31,762,000","8,510,000","11,901,000","20,133,000","28,139,835","48,129,077","44,770,322","32,121,000","28,678,000","23,473,000","30,395,000","19,792,000","9,200,000","19,800,000","21,500,000","12,800,000","11,200,000","12,400,000","4,800,000"
TaxProvision,"-2,029,000","-9,427,000","-4,804,000","3,651,000","-14,053,000","2,206,000","-10,579,000","7,042,000","9,167,000","9,641,000","8,409,000","2,809,000","3,521,000","7,147,000","7,388,023","14,374,418","15,506,454","11,246,000","9,856,000","9,128,000","12,506,000","8,635,000","4,000,000","6,900,000","10,100,000","5,700,000","5,100,000","5,400,000","2,200,000"
NetIncomeCommonStockholders,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","9,736,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
	NetIncome,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","14,847,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
		NetIncomeIncludingNoncontrollingInterests,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","14,847,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
			NetIncomeContinuousOperations,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","12,986,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,"0","1,861,000",,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,"5,111,000",,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","9,736,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
BasicEPS,,"-2.35","-0.5","-0.65","-2.18","0.3","-1.89","1.17","1.48","1.6","1.29","0.31","0.46","0.81","1.14","1.83","1.57","1.155","1.045","0.79","0.985","0.615","0.28","0.68","0.6","0.385","0.33","0.385","0.16"
