name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"3,046,000,000","3,152,000,000","3,088,000,000","3,018,000,000","2,973,000,000","4,161,000,000","7,386,000,000","9,174,000,000","9,484,000,000","9,196,000,000","9,142,000,000","9,576,000,000","11,556,000,000","12,674,000,000","6,377,000,000","3,882,000,000","2,891,700,000","2,613,900,000","2,434,300,000","2,673,900,000","2,820,100,000","1,229,513,000","648,236,000","1,089,600,000","4,174,600,000","528,903,000","1,990,100,000","243,000,000","271,300,000","209,700,000"
	OperatingRevenue,"3,046,000,000","3,152,000,000","3,088,000,000","3,018,000,000","2,731,000,000","3,705,000,000","6,802,000,000","8,952,000,000","9,070,000,000","8,773,000,000","9,142,000,000","9,576,000,000","11,556,000,000","12,674,000,000","6,377,000,000","3,882,000,000","2,891,700,000","2,613,900,000","2,434,300,000","2,673,900,000","2,820,100,000","1,229,513,000","648,236,000","1,089,600,000","4,174,600,000","528,903,000","1,990,100,000","243,000,000","271,300,000","209,700,000"
CostOfRevenue,"762,000,000","781,000,000","855,000,000","818,000,000","832,000,000","893,000,000","963,000,000","1,139,000,000","1,109,000,000","1,123,000,000","6,956,000,000","5,119,000,000","5,140,000,000","5,355,000,000","2,781,000,000","2,155,000,000","1,720,600,000","1,726,300,000","1,610,400,000","1,494,200,000","1,603,300,000","803,130,000","476,923,000","484,400,000","3,355,200,000","351,569,000","1,320,800,000","179,300,000","212,900,000","158,200,000"
GrossProfit,"2,284,000,000","2,371,000,000","2,233,000,000","2,200,000,000","2,141,000,000","3,268,000,000","6,423,000,000","8,035,000,000","8,375,000,000","8,073,000,000","2,186,000,000","4,457,000,000","6,416,000,000","7,319,000,000","3,596,000,000","1,727,000,000","1,171,100,000","887,600,000","823,900,000","1,179,700,000","1,216,800,000","426,383,000","171,313,000","605,200,000","819,400,000","177,334,000","669,300,000","63,700,000","58,400,000","51,500,000"
OperatingExpense,"2,074,000,000","2,183,000,000","2,333,000,000","1,987,000,000","1,544,000,000","2,047,000,000","3,148,000,000","5,344,000,000","6,077,000,000","6,388,000,000","1,737,000,000","2,591,000,000","1,664,000,000","1,962,000,000","357,000,000","86,000,000","451,600,000","559,700,000","584,200,000","3,489,600,000","666,800,000","311,051,000","122,469,000","144,900,000","522,200,000","69,720,000","480,400,000","42,800,000","34,200,000","44,300,000"
	SellingGeneralAndAdministration,"179,000,000","183,000,000","193,000,000","188,000,000","156,000,000","172,000,000","193,000,000","234,000,000","286,000,000","282,000,000","288,000,000","247,000,000","209,000,000","199,000,000","142,000,000","90,000,000","74,800,000","67,000,000","65,300,000","65,600,000","57,900,000","42,141,000","16,703,000","28,000,000","152,400,000","23,133,000","140,500,000","18,300,000","13,200,000","16,200,000"
		GeneralAndAdministrativeExpense,"179,000,000","183,000,000","193,000,000","188,000,000","156,000,000","172,000,000","193,000,000","234,000,000","286,000,000","282,000,000",,,,,,,,,,,,,,,,,,,,
			OtherGandA,"179,000,000","183,000,000","193,000,000","188,000,000","156,000,000","172,000,000","193,000,000","234,000,000","286,000,000","282,000,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"1,449,000,000","1,589,000,000","1,464,000,000","1,436,000,000","499,000,000","401,000,000","405,800,000","524,600,000","508,200,000","500,300,000","625,000,000","268,910,000","105,766,000","116,900,000","326,000,000","46,587,000","298,700,000","24,500,000","21,000,000","28,100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"1,449,000,000","1,589,000,000","1,464,000,000","1,436,000,000","499,000,000","401,000,000","405,800,000","524,600,000","508,200,000","500,300,000","625,000,000","268,910,000","105,766,000","116,900,000","326,000,000","46,587,000","298,700,000","24,500,000","21,000,000","28,100,000"
			DepreciationIncomeStatement,,,,,,,,,,,,"1,589,000,000","1,464,000,000",,,,,,,,"470,100,000",,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,"154,900,000",,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,"154,900,000",,,,,,,,,
	OtherOperatingExpenses,"1,895,000,000","2,000,000,000","2,140,000,000","1,799,000,000","1,388,000,000","1,875,000,000","2,955,000,000","5,110,000,000","5,791,000,000","6,106,000,000",,"755,000,000","-9,000,000","327,000,000","-284,000,000","-405,000,000","-29,000,000","-31,900,000","10,700,000","2,923,700,000","-16,100,000",,,,"43,800,000",,"41,200,000",,,
OperatingIncome,"210,000,000","188,000,000","-100,000,000","213,000,000","597,000,000","1,221,000,000","3,275,000,000","2,691,000,000","2,298,000,000","1,685,000,000","449,000,000","1,866,000,000","4,752,000,000","5,357,000,000","3,239,000,000","1,641,000,000","719,500,000","327,900,000","239,700,000","-2,309,900,000","550,000,000","115,332,000","48,844,000","460,300,000","297,200,000","107,614,000","188,900,000","20,900,000","24,200,000","7,200,000"
NetNonOperatingInterestIncomeExpense,"-515,000,000","-554,000,000","-617,000,000","-567,000,000","-448,000,000","-389,000,000","-410,000,000","-444,000,000","-532,000,000","-667,000,000","-577,000,000","-544,000,000","-479,000,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"15,000,000","21,000,000","43,000,000","53,000,000","43,000,000","20,000,000","22,000,000","39,000,000","52,000,000","56,000,000","44,000,000","23,000,000","5,000,000",,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"530,000,000","575,000,000","660,000,000","620,000,000","491,000,000","409,000,000","432,000,000","483,000,000","584,000,000","723,000,000","621,000,000","567,000,000","484,000,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"40,000,000","-175,000,000","-481,000,000","-1,421,000,000","-3,152,000,000","102,000,000","-1,835,000,000","-4,047,000,000","-102,000,000","-152,000,000","-5,306,000,000","-23,000,000","337,000,000","-304,000,000","571,000,000","465,000,000","203,500,000","106,700,000","-45,600,000","-2,916,200,000","31,800,000","25,890,000","4,780,000","50,800,000","49,900,000","16,013,000","188,800,000","-200,000","25,300,000","7,600,000"
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,"10,100,000","9,200,000","5,100,000","7,800,000","16,500,000",,,,,"5,168,000",,,,
	SpecialIncomeCharges,"70,000,000","-148,000,000","-662,000,000","-1,467,000,000","-3,156,000,000","59,000,000","-1,895,000,000","-4,069,000,000","-74,000,000","-102,000,000","-5,306,000,000","-23,000,000","337,000,000","-304,000,000","571,000,000","465,000,000","193,400,000","97,500,000","-50,700,000","-2,924,000,000","15,300,000","25,890,000","4,780,000","50,800,000","49,900,000","10,845,000","188,800,000","-200,000","25,300,000","7,600,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,"5,229,000,000",,"-334,000,000",,,,,,,,,,,,,,,,,
