name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"1,876,190,000","2,134,043,000","3,043,383,000","3,057,619,000","2,564,285,000","2,227,839,000","3,864,437,000","6,804,197,000","6,152,015,000","6,989,573,000","6,060,351,000","4,215,540,000","3,503,431,000","5,303,788,000","4,940,681,000","4,942,714,000","3,551,009,000","2,448,152,000","1,922,846,000","1,519,012,000","2,121,157,000","1,327,124,000","642,300,000","968,200,000","1,029,300,000","719,700,000","572,800,000","422,600,000","352,000,000","286,300,000","240,100,000","139,000,000","74,500,000","56,100,000","28,600,000","69,200,000","91,600,000"
	OperatingRevenue,"1,876,190,000","2,134,043,000","3,043,383,000","3,057,619,000","2,564,285,000","2,227,839,000","3,864,437,000","6,804,197,000","6,152,015,000","6,989,573,000","6,060,351,000","4,215,540,000","3,503,431,000","5,303,788,000","4,938,848,000","4,820,162,000","3,459,908,000","2,394,031,000","1,880,003,000","1,466,443,000","2,121,157,000","1,327,124,000","642,300,000","968,200,000","1,029,300,000","719,700,000","572,800,000","422,600,000","352,000,000","286,300,000","240,100,000","139,000,000","74,500,000","56,100,000","28,600,000","69,200,000","91,600,000"
CostOfRevenue,"1,965,798,000","2,186,771,000","2,805,422,000","2,843,844,000","2,561,012,000","2,215,929,000","3,341,895,000","5,650,164,000","5,068,505,000","5,538,837,000","3,775,964,000","2,423,602,000","2,012,352,000","3,110,316,000","2,764,559,000","2,569,800,000","1,997,267,000","1,572,649,000","1,276,953,000","973,910,000","1,296,941,000","888,322,000","418,700,000","623,800,000","737,800,000","539,700,000","434,100,000","325,100,000","261,200,000","195,100,000","170,400,000","99,700,000","56,600,000","46,000,000","26,700,000","51,200,000","70,200,000"
GrossProfit,"-89,608,000","-52,728,000","237,961,000","213,775,000","3,273,000","11,910,000","522,542,000","1,154,033,000","1,083,510,000","1,450,736,000","2,284,387,000","1,791,938,000","1,491,079,000","2,193,472,000","2,176,122,000","2,372,914,000","1,553,742,000","875,503,000","645,893,000","545,102,000","824,216,000","438,802,000","223,600,000","344,400,000","291,500,000","180,000,000","138,700,000","97,500,000","90,800,000","91,200,000","69,700,000","39,300,000","17,900,000","10,100,000","1,900,000","18,000,000","21,400,000"
OperatingExpense,"230,413,000","237,079,000","385,515,000","336,586,000","302,253,000","343,172,000","479,493,000","943,696,000","584,374,000","671,234,000","1,413,986,000","1,175,917,000","1,122,118,000","1,138,029,000","976,194,000","830,561,000","588,505,000","495,787,000","400,530,000","337,260,000","325,392,000","258,917,000","165,100,000","161,900,000","136,800,000","103,000,000","80,100,000","91,100,000","59,200,000","57,100,000","42,900,000","26,600,000","14,600,000","11,100,000","11,600,000","17,500,000","22,900,000"
	SellingGeneralAndAdministration,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","570,330,000","532,568,000","489,892,000","346,661,000","429,663,000","479,984,000","436,282,000","420,854,000","249,973,000","195,388,000","165,403,000","141,895,000","135,496,000","106,504,000","65,300,000","77,000,000","70,400,000","56,900,000","49,100,000","71,200,000","40,500,000","42,700,000","34,400,000","22,100,000","11,300,000","7,900,000","5,900,000","7,600,000","10,300,000"
		GeneralAndAdministrativeExpense,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","570,330,000","532,568,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,"0","0","45,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"200,791,000","203,515,000","258,731,000","265,822,000","251,184,000","240,518,000","324,328,000","549,734,000","525,330,000","532,568,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"29,622,000","33,564,000","50,359,000","56,147,000","51,069,000","33,582,000","41,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"885,564,000",,"876,091,000","866,870,000","842,943,000","871,631,000","970,459,000","1,145,100,000","1,086,677,000","1,055,517,000","924,094,000","782,196,000","679,493,000","658,045,000","539,912,000","409,707,000","338,532,000","300,399,000","235,127,000","195,365,000","189,896,000","152,413,000","99,800,000","84,900,000","66,400,000","46,100,000","31,000,000","19,900,000","18,700,000","14,400,000","8,500,000","4,500,000","3,300,000","3,200,000","5,700,000","9,900,000","12,600,000"
		DepreciationAndAmortizationInIncomeStatement,"885,564,000",,"876,091,000","866,870,000","842,943,000","871,631,000","970,459,000","1,145,100,000","1,086,677,000","1,055,517,000","924,094,000","764,253,000","668,415,000","658,045,000","539,912,000","409,707,000","338,532,000","300,399,000","235,127,000","195,365,000","189,896,000","152,413,000","99,800,000","84,900,000","66,400,000","46,100,000","31,000,000","19,900,000","18,700,000","14,400,000","8,500,000","4,500,000","3,300,000","3,200,000","5,700,000","9,900,000","12,600,000"
		DepletionIncomeStatement,,,,,,,,,,,,"17,943,000","11,078,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,"76,425,000","14,617,000",,"69,072,000","113,912,000","393,962,000","14,044,000","138,666,000",,"47,060,000","12,962,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"-320,021,000","-289,807,000","-147,554,000","-122,811,000","-298,980,000","-331,262,000","43,049,000","210,337,000","499,136,000","779,502,000","870,401,000","616,021,000","368,961,000","1,055,443,000","1,199,928,000","1,542,353,000","965,237,000","379,716,000","245,363,000","207,842,000","498,824,000","179,885,000","58,500,000","182,500,000","154,700,000","77,000,000","58,600,000","6,400,000","31,600,000","34,100,000","26,800,000","12,700,000","3,300,000","-1,000,000","-9,700,000","500,000","-1,500,000"
NetNonOperatingInterestIncomeExpense,"-190,902,000","-201,569,000","-195,887,000","-222,167,000","-222,889,000","-185,360,000","-181,928,000","-177,948,000","-223,418,000","-251,552,000","-256,633,000","-273,044,000","-264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"3,625,000","4,705,000","8,424,000","4,957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"194,527,000","206,274,000","204,311,000","227,124,000","222,889,000","185,360,000","181,928,000","177,948,000","223,418,000","251,552,000","256,633,000","273,044,000","264,948,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"43,328,000","-214,191,000","-245,481,000","-173,816,000","-58,215,000","-681,453,000","-288,656,000","-637,004,000","-169,558,000","-253,267,000","-125,999,000","-260,931,000","-339,129,000","-162,199,000","-53,794,000","43,073,000","3,246,000","8,686,000","15,091,000","18,483,000","50,207,000","61,611,000","8,900,000","33,100,000","44,100,000","16,400,000","7,700,000","5,100,000","12,800,000","6,900,000","7,300,000","7,700,000","3,000,000","4,100,000","-69,100,000","-5,800,000","-15,100,000"
