name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalAssets,"840,978,000","801,213,000","763,947,000","738,694,000","353,710,000","348,215,000"
	CurrentAssets,"490,770,000","616,444,000","657,761,000","633,708,000","249,228,000","252,570,000"
		CashCashEquivalentsAndShortTermInvestments,"334,430,000","309,187,000","346,480,000","371,013,000","75,968,000","142,129,000"
			CashAndCashEquivalents,"334,430,000","309,187,000","346,480,000","371,013,000","75,968,000","102,116,000"
				CashFinancial,"121,000","42,000","177,033,000","344,821,000","22,691,000","23,193,000"
				CashEquivalents,"334,309,000","309,145,000","169,447,000","26,192,000","53,277,000","78,923,000"
			OtherShortTermInvestments,,,,,"0","40,013,000"
		Receivables,"122,455,000","270,173,000","270,143,000","227,392,000","143,920,000","77,344,000"
			AccountsReceivable,"79,816,000","213,551,000","230,060,000","197,389,000","123,267,000","58,370,000"
				GrossAccountsReceivable,"90,611,000","216,756,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-10,795,000","-3,205,000",,,,
			TaxesReceivable,"34,465,000","37,067,000","33,042,000","23,866,000","20,582,000","20,412,000"
			DuefromRelatedPartiesCurrent,"8,174,000","19,555,000","8,653,000","5,253,000","2,240,000","1,947,000"
			OtherReceivables,,,"453,000","4,048,000","1,344,000","16,000"
			ReceivablesAdjustmentsAllowances,,,"-2,065,000","-3,164,000","-3,513,000","-3,401,000"
		PrepaidAssets,"15,839,000","30,566,000","33,487,000","383,000","715,000","5,214,000"
		RestrictedCash,"16,055,000","4,457,000","5,709,000","33,237,000","27,075,000","24,883,000"
		OtherCurrentAssets,"1,991,000","2,061,000","1,942,000","1,683,000","1,550,000","3,000,000"
	TotalNonCurrentAssets,"350,208,000","184,769,000","106,186,000","104,986,000","104,482,000","95,645,000"
		NetPPE,"58,701,000","62,843,000","19,716,000","16,171,000","13,717,000","15,168,000"
			GrossPPE,"108,008,000","97,613,000","44,679,000","40,770,000","33,778,000","30,330,000"
				Properties,"0","0","0","0","0","0"
				LandAndImprovements,"266,000","41,000","41,000","64,000","75,000","92,000"
				BuildingsAndImprovements,"3,128,000","2,086,000","2,018,000","2,790,000","2,298,000","2,594,000"
