name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009
			LongTermCapitalLeaseObligation,"20,915,000",,,,"0","8,000","24,369","55,765",,,"42,815","38,801"
		NonCurrentDeferredLiabilities,"3,620,000","3,085,000","1,823,000","1,451,000","2,380,000","4,008,000","8,659,985","1,057,574","600,607",,"2,299,974","2,602,257"
			NonCurrentDeferredTaxesLiabilities,"1,777,000","601,000","115,000","159,000","203,000","226,000","277,096","383,444",,,,
			NonCurrentDeferredRevenue,"1,548,000","372,000","91,000","265,000","1,407,000","3,147,000","2,353,593",,,"0","1,852,679","2,320,399"
		TradeandOtherPayablesNonCurrent,,"0","584,000",,,,,,,,,
		EmployeeBenefits,"6,335,000","4,789,000","3,721,000","2,946,000","1,641,000","1,345,000","963,176","1,010,293","681,135","667,050","437,444","281,377"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,"681,135","667,050","437,444","281,377"
		DerivativeProductLiabilities,,,,,,,,,,"0","48,382","301,594"
		OtherNonCurrentLiabilities,"9,480,000",,,,,"352,000","1,638,370","6,130,081","887,051","503,320",,"281,858"
TotalEquityGrossMinorityInterest,"862,292,000","1,357,368,000","1,558,932,000","1,405,462,000","77,609,000","157,854,000","162,299,525","101,993,951","118,791,789","76,275,880","-24,951,045","-27,233,459"
	StockholdersEquity,"858,237,000","1,357,175,000","1,558,634,000","1,404,801,000","77,609,000","157,258,000","161,585,020","101,299,901","118,716,169","76,275,880","-24,955,435","-27,237,520"
		CapitalStock,"52,000","52,000","52,000","46,000","21,000","21,000","20,836","18,797","18,576","17,546","8,767","8,714"
			CommonStock,"52,000","52,000","52,000","46,000","21,000","21,000","20,836","18,797","18,576","17,546","8,767","8,714"
		AdditionalPaidInCapital,"1,985,555,000","1,977,318,000","1,960,691,000","1,607,373,000","248,732,000","242,662,000","238,423,499","153,742,563","150,144,112","111,541,661","11,356,522","10,816,307"
		RetainedEarnings,"-1,147,597,000","-682,054,000","-515,850,000","-298,581,000","-188,217,000","-100,181,000","-81,806,068","-60,964,228","-31,827,379","-38,024,060","-42,510,416","-36,295,338"
		GainsLossesNotAffectingRetainedEarnings,"-115,511,000","-40,568,000","34,937,000","34,553,000","-20,830,000","-13,856,000","-15,145,426","-11,399,034","-8,578,442","2,740,733","-872,218","-2,523,402"
			UnrealizedGainLoss,,"634,000","3,232,000","952,000","-5,817,000","571,000","-1,481,871","-494,988","-8,578,442","-1,174,111","-872,218","-2,523,402"
			ForeignCurrencyTranslationAdjustments,"-114,166,000","-41,202,000","31,705,000","33,601,000","-15,013,000","-14,427,000","-13,663,555","-10,904,046",,,"-872,218","-2,523,402"
			OtherEquityAdjustments,"-1,345,000","634,000","3,232,000","952,000","-5,817,000","571,000","-1,481,871","-494,988",,,,
		OtherEquityInterest,"135,738,000","102,427,000","78,804,000","61,410,000","37,903,000","28,612,000","20,092,179","19,901,803","8,959,302","3,914,844","7,061,910","756,199"
	MinorityInterest,"4,055,000","193,000","298,000","661,000","0","596,000","714,505","694,050","75,620","0","4,390","4,061"
TotalCapitalization,"858,935,000","1,357,649,000","1,559,058,000","1,405,324,000","272,892,000","157,612,000","161,763,759","101,528,569","118,893,449","76,424,803","-24,866,147","-27,236,998"
