Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,349953000,-98181000,-34882000,"CVR PARTNERS, LP",1425292,1032880000.0,118214000.0,42349000.0,76341000.0,633942000.0,314241000.0,-8.77,TX,-0.09505557276740764,-0.3124385423926222,0.5187059484160793,-0.09967624223824342,-0.2805548173611885,1.5484994956838396,0.9937648183806866,2.017375199289717
1,2019,1/1/19,31/12/19,404177000,-34969000,27380000,"CVR Partners, LP",1425292,1137955000.0,124960000.0,48296000.0,75531000.0,632406000.0,419544000.0,-3.09,TX,-0.030729686147519013,-0.08335001811490571,0.5250093369245709,0.06774259792120779,-0.08651902508059588,1.654420039453999,1.0150004633858944,1.5073651392940908
2,2018,1/1/18,31/12/18,351082000,-50027000,6314000,"CVR Partners, LP",1425292,1254388000.0,191331000.0,63554000.0,122635000.0,628989000.0,499826000.0,-0.44,TX,-0.03988159963264955,-0.10008883091315778,0.4615493770667449,0.017984402504258264,-0.1424937763827254,1.5601663472907408,1.041929302401435,1.2584159287432026
10,2017,1/1/17,31/12/17,330802000,-72788000,-10278000,"CVR PARTNERS, LP",1425292,1234276000.0,117990000.0,53169000.0,56095000.0,625904000.0,549853000.0,-0.64,TX,-0.05897222339249892,-0.1323771989968228,0.44812991583730055,-0.031069945163572168,-0.22003494537517912,2.103396024601123,1.1555575363223103,1.1383115123496643
11,2016,1/1/16,31/12/16,356284000,-26938000,24557000,"CVR PARTNERS, LP",1425292,1312217000.0,134531000.0,58167000.0,63016000.0,623107000.0,624907000.0,-0.26,TX,-0.020528616837001808,-0.0431072143534958,0.4543219604684286,0.06892535168573385,-0.07560822265383794,2.13487050907706,1.2118192205154246,0.9971195713922232
12,2015,1/1/15,31/12/15,298194000,62042000,68729000,"CVR PARTNERS, LP",1425292,536255000.0,98545000.0,37529000.0,25914000.0,124773000.0,385552000.0,0.85,TX,0.11569495855516498,0.16091733410798026,0.3483697121705159,0.23048418143892901,0.2080591829480137,3.8027707030948523,2.3545573821100563,0.3236217163962319
13,2014,1/1/14,31/12/14,298665000,76149000,82803000,"CVR PARTNERS, LP",1425292,578839000.0,129578000.0,35614000.0,39707000.0,125000000.0,413931000.0,1.04,TX,0.1315547155599398,0.18396544351594832,0.34750422829145927,0.27724373461905477,0.25496459243634173,3.2633540685521445,2.3664341300022667,0.30198269759935836
14,2013,1/1/13,31/12/13,323672000,118616000,124851000,"CVR PARTNERS, LP",1425292,593454000.0,135780000.0,33064000.0,27386000.0,125000000.0,439921000.0,1.62,TX,0.1998739582174861,0.26963022906385464,0.4105052792634307,0.38573308781729654,0.366469759509627,4.958007741181626,3.7506755276418606,0.2841419254820752
15,2012,1/1/12,31/12/12,302309000,112223000,115758000,"CVR PARTNERS, LP",1425292,622954000.0,166048000.0,28949000.0,49475000.0,125000000.0,446193000.0,1.54,TX,0.1801465276729903,0.2515122379777361,0.38080339800370494,0.38291284745078713,0.37121951380871887,3.356200101061142,2.771076301162203,0.2801478284060933
16,2011,1/1/11,31/12/11,302867000,132447000,136198000,"CVR PARTNERS, LP",1425292,659309000.0,271863000.0,23255000.0,42454000.0,125000000.0,489489000.0,1.48,TX,0.20088759595273234,0.27058217855763866,0.3904800328829123,0.44969574103484367,0.43731076677221353,6.403707542281057,5.855938191925378,0.25536835352786275
17,2010,1/1/10,31/12/10,180468000,33306000,20356000,"CVR PARTNERS, LP",1425292,452165000.0,73168000.0,19830000.0,46076000.0,0.0,402203000.0,,TX,0.07365895193126402,0.08280892981902174,0.07365895193126402,0.11279562027617085,0.1845534942482878,1.5879850681482768,1.1576091674624533,0.0
18,2009,1/1/09,31/12/09,208371000,57878000,48863000,"CVR PARTNERS, LP",1425292,,,,,,,,TX,,,,0.23450000239956617,0.2777641802362133,,,
