Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,395521000,40345000,54241000,366575000,222283000,141011000,53329000,38271000,"MGP INGREDIENTS, INC.",835011,262526000,2.37,KS,0.11005933301507195,0.153680016455513,0.21446088794926005,0.13713810391862885,0.10200469760139158,4.168144911774082,1.5239738228731083,0.14577984656757806
1,2019,1/1/19,31/12/19,362745000,38793000,47242000,322597000,184206000,136931000,39295000,40658000,"MGP INGREDIENTS, INC.",835011,231044000,2.27,KS,0.12025220321329709,0.16790308339537058,0.2462856133194047,0.1302347379012805,0.10694289376834967,4.687771981168088,1.203079272172032,0.17597513893457523
2,2018,1/1/18,31/12/18,376089000,37284000,50148000,277892000,154623000,108769000,37463000,21040000,"MGP Ingredients, Inc.",835011,201441000,2.17,KS,0.13416723043484519,0.18508645211252922,0.2098800973039886,0.1333407783795857,0.0991361087402184,4.127352320956677,1.2239809945813203,0.10444745607895116
3,2017,1/1/17,31/12/17,347448000,41823000,42909000,240328000,134742000,93149000,41580000,21407000,"MGP Ingredients, Inc.",835011,168730000,2.44,KS,0.17402466628940447,0.24786937711136134,0.26309876502113777,0.12349761690958072,0.12037196933066242,3.2405483405483406,1.0003126503126503,0.1268713328987139
4,2016,1/1/16,31/12/16,318263000,31184000,41975000,225336000,110901000,78858000,36995000,16218000,"MGP Ingredients, Inc.",835011,146292000,1.82,KS,0.13838889480597863,0.2131627156645613,0.21036141584123264,0.13188777834683893,0.0979818577717171,2.997729422894986,0.8661440735234491,0.11086047083914363
5,2015,1/1/15,31/12/15,327604000,26191000,32850000,194310000,91180000,58701000,37661000,7579000,MGP INGREDIENTS INC,835011,116160000,1.48,KS,0.13478976892594308,0.22547348484848484,0.17379445216406772,0.10027350093405453,0.07994713129265821,2.4210721967021587,0.8624040784896843,0.06524621212121212
6,2014,1/1/14,31/12/14,313403000,23675000,16619000,160215000,82245000,34441000,30748000,7670000,MGP INGREDIENTS INC,835011,104365000,1.32,KS,0.14777018381549792,0.22684808125329373,0.19564335424273632,0.05302757152930891,0.07554171466131467,2.674808117601145,1.5547027448939768,0.07349207109663201
7,2013,1/1/13,31/12/13,323264000,-4929000,-5199000,151329000,71886000,34917000,34150000,3611000,MGP INGREDIENTS INC,835011,81603000,-0.29,KS,-0.03257141724322503,-0.06040219109591559,-0.008709500492304846,-0.016082830132647,-0.015247599485250446,2.1050073206442166,1.0825475841874086,0.044250824111858635
8,2012,1/1/12,31/12/12,334335000,1624000,-944000,163171000,78091000,36532000,29771000,5168000,MGP INGREDIENTS INC,835011,86827000,0.09,KS,0.009952748956616065,0.018703859398574177,0.04162504366584748,-0.002823515336414076,0.004857403502475062,2.6230559940882068,1.3959557959087703,0.059520656017137526
9,2011,1/7/11,31/12/11,146563000,10635000,3162000,169157000,78058000,31082000,59171000,6852000,MGP INGREDIENTS INC,835011,84430000,0.59,KS,0.06287058767890184,0.12596233566267914,0.10337733584776274,0.02157434004489537,0.0725626522382866,1.3191935238545909,0.793902418414426,0.08115598720833826
10,2011,1/7/10,30/6/11,248189000,-1313000,645000,136483000,60213000,17079000,37832000,7702000,MGP INGREDIENTS INC,835011,75198000,-0.08,KS,-0.009620245744891304,-0.017460570759860634,0.04681169083329059,0.0025988258947817994,-0.005290323100540314,1.591589130894481,1.1401459082258405,0.10242293678023352
11,2010,1/7/09,30/6/10,201971000,8738000,7255000,121284000,48780000,14510000,23638000,2082000,MGP INGREDIENTS INC,835011,72784000,0.52,KS,0.07204577685432538,0.1200538579907672,0.08921209722634478,0.03592099855919909,0.04326363685875695,2.0636263643286235,1.4497842457060666,0.028605187953396352
12,2009,1/7/08,30/6/09,291812000,-69123000,-79008000,145132000,80787000,20400000,49545000,9632000,MGP INGREDIENTS INC,835011,63884000,-4.17,KS,-0.4762767687346691,-1.0820080145263289,-0.40990959953697326,-0.27074966074047674,-0.23687511137307582,1.6305782621858915,1.2188313654253708,0.15077327656377185
