Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/11/19,31/10/20,1059371000,-13625000,"CALAVO GROWERS, INC",1133470,32162000,429624000,135895000,41787000,106331000,7059000,256002000,-0.78,CA,-0.03171377762881031,-0.053222240451246475,-0.015283131296203192,0.030359524661332054,-0.012861405494392427,1.2780374490976292,0.8850476342741064,0.027574003328099
1,2019,1/11/18,31/10/19,1195777000,36646000,"CALAVO GROWERS, INC",1133470,71046000,390360000,127515000,36889000,90629000,6174000,285869000,2.09,CA,0.09387744645967824,0.12819158425712476,0.10969361614919561,0.059414088078295534,0.030646182356743774,1.4069999668980129,0.9999668980127774,0.021597305059310384
2,2018,1/11/17,31/10/18,1088758000,32281000,"CALAVO GROWERS, INC",1133470,56535000,367736000,128510000,35044000,98943000,432000,264959000,1.85,CA,0.0877830835164357,0.12183394411965624,0.08895783931951183,0.05192613969311821,0.02964938030306092,1.2988286184975188,0.9446448965566033,0.0016304409361448376
3,2017,1/11/16,31/10/17,1075565000,37270000,"CALAVO GROWERS, INC",1133470,57893000,364117000,119828000,30858000,116167000,568000,244122000,2.14,CA,0.10235720935853036,0.15266956685591632,0.1039171475102783,0.05382566372092807,0.03465155522911214,1.0315149741320684,0.765880155293672,0.0023267054997091617
4,2016,1/11/15,31/10/16,935679000,38022000,CALAVO GROWERS INC,1133470,61094000,327933000,134953000,31849000,109341000,583000,215069000,2.19,CA,0.11594441547511229,0.1767897744444806,0.11772221764811715,0.06529375993262647,0.04063573084359059,1.2342396722181066,0.9429582681702198,0.0027107579427997526
5,2015,1/11/14,31/10/15,856824000,27199000,CALAVO GROWERS INC,1133470,43669000,284945000,116822000,26351000,97858000,2792000,185982000,1.57,CA,0.09545350857182965,0.14624533557010894,0.10525189071575217,0.050966126065563055,0.03174397542552496,1.1937910032904822,0.9245130699585113,0.01501220548225097
6,2014,1/11/13,31/10/14,782510000,97000,CALAVO GROWERS INC,1133470,-16459000,283464000,123044000,30975000,100997000,7890000,179406000,0.01,CA,0.00034219512883470213,0.0005406731101523917,0.02817641746394604,-0.021033597014734635,0.00012396007718751197,1.2182936126815649,0.9116013346931097,0.043978462258787335
7,2013,1/11/12,31/10/13,691451000,-1795000,CALAVO GROWERS INC,1133470,-6904000,239939000,109730000,28673000,112982000,13050000,119093000,-0.12,CA,-0.007481068104809973,-0.015072254456601144,0.046907755721245815,-0.00998480007983212,-0.0025959901713932007,0.97121665398028,0.7174328654121895,0.10957822877918938
8,2012,1/11/11,31/10/12,551119000,15802000,CALAVO GROWERS INC,1133470,25379000,207891000,83464000,22948000,73808000,18455000,102719000,1.07,CA,0.07601098652659326,0.1538371674179071,0.16478346825980922,0.046049945656019844,0.028672573436952817,1.1308259267288099,0.8199111207457186,0.17966491106805946
9,2011,1/11/10,31/10/11,522529000,11068000,CALAVO GROWERS INC,1133470,18332000,185323000,71478000,17787000,62835000,23692000,89632000,0.75,CA,0.05972275432623042,0.12348268475544448,0.18756441456268244,0.03508322026145917,0.021181599490171836,1.137550728097398,0.8544760085939365,0.26432524098536236
10,2010,1/11/09,31/10/10,398351000,17764000,CALAVO GROWERS INC,1133470,28362000,150198000,61812000,14831000,47011000,7458000,88257000,1.22,CA,0.11827054954127218,0.20127581948174084,0.16792500565919652,0.07119851588172241,0.04459383809755718,1.3148412073769968,0.9993618514815682,0.0845032122097964
11,2009,1/11/08,31/10/09,344765000,13611000,CALAVO GROWERS INC,1133470,21742000,123216000,49346000,11731000,36789000,15274000,69487000,0.94,CA,0.11046455005843397,0.19587836573747608,0.23442572393195688,0.06306324597914521,0.03947906545037924,1.3413248525374433,1.0224523634782137,0.2198108998805532
12,2008,1/11/07,31/10/08,361474000,7725000,CALAVO GROWERS INC,1133470,12267000,134686000,55015000,14889000,39602000,26713000,65517000,0.54,CA,0.05735562716243708,0.11790832913594945,0.2556910146563117,0.033936050725640016,0.021370831650409157,1.3891975152770062,1.013231654966921,0.4077262389914068
13,2007,1/11/06,31/10/07,302984000,7330000,CALAVO GROWERS INC,1133470,12013000,128018000,46585000,8359000,30251000,14413000,74003000,0.51,CA,0.05725757315377525,0.09905003851195222,0.16984330328547548,0.03964895836083754,0.02419269664404721,1.5399490925919805,1.263627648672771,0.19476237449833114
14,2006,1/11/05,31/10/06,273723000,5788000,CALAVO GROWERS INC,1133470,9317000,107563000,45846000,10569000,33825000,11714000,58943000,0.4,CA,0.05381032511179495,0.0981965627809918,0.16271394438608072,0.034038060374904554,0.02114546457550151,1.3553880266075389,1.0429268292682927,0.19873437049352766
15,2005,1/11/04,31/10/05,258822000,3322000,CALAVO GROWERS INC,1133470,3146000,108482000,41046000,10096000,23428000,13032000,64746000,0.24,CA,0.030622591766375988,0.05130818892286782,0.1507531203333272,0.012155071825424423,0.012835075843629985,1.7520061464913779,1.3210688065562575,0.20127884348067834
16,2004,1/11/03,31/10/04,274218000,6210000,CALAVO GROWERS INC,1133470,9299000,67398000,42940000,11375000,22587000,56000,43937000,0.46,CA,0.09213923261817858,0.14133873500694175,0.09297011780765008,0.03391097593885157,0.022646215784521802,1.9010935493868155,1.3974852791428698,0.0012745521997405377
17,2003,1/11/02,31/10/03,246761000,7160000,CALAVO GROWERS INC,1133470,10590000,53689000,36799000,8021000,16064000,85000,37147000,0.55,CA,0.1333606511575928,0.19274773198374026,0.13494384324535752,0.042916019954530905,0.029015930394187088,2.290774402390438,1.7914591633466135,0.0022882063154494306
18,2002,1/11/01,31/10/02,242671000,6915000,CALAVO GROWERS INC,1133470,11942000,55132000,40006000,12461000,20880000,3402000,30556000,0.6,CA,0.1254262497279257,0.22630579918837543,0.1871326997025321,0.04921065969975811,0.028495370274981353,1.9159961685823754,1.3192049808429118,0.11133656237727452
