Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,4642100000.0,550600000,902200000,10186400000.0,4375600000.0,1095600000.0,2829000000.0,2929500000.0,2961800000.0,FMC CORPORATION,37785,4.24,PA,0.054052462106337865,0.18590046593287865,0.34164179690567814,0.19435169427629737,0.11861011180284785,1.5466949452103216,1.1594202898550725,0.9890944695793099
1,2019,1/1/19,31/12/19,4609800000.0,480200000,821600000,9872700000.0,4074800000.0,1017000000.0,2723900000.0,3031100000.0,2532300000.0,FMC CORPORATION,37785,3.64,PA,0.048639176719641034,0.18962998065000197,0.3556575202325605,0.17822899041173154,0.10416937828105341,1.495943316568156,1.1225815925694775,1.196975081941318
2,2018,1/1/18,31/12/18,4727800000.0,502100000,880500000,9974300000.0,4030200000.0,1097300000.0,2993400000.0,2179000000.0,3210400000.0,FMC CORPORATION,37785,3.72,PA,0.050339372186519356,0.15639795664091702,0.2688008181025235,0.1862388425906341,0.10620161597360295,1.3463619963920626,0.9797888688447919,0.6787316222277597
3,2017,1/1/17,31/12/17,2878600000.0,538400000,259800000,9206300000.0,3652700000.0,992500000.0,2209400000.0,2993000000.0,2707100000.0,FMC CORPORATION,37785,3.99,PA,0.0584816918849049,0.19888441505670273,0.38358515364478674,0.09025220593343987,0.18703536441325644,1.6532542771793246,1.2040372951932652,1.1056111706253924
4,2016,1/1/16,31/12/16,3282400000.0,211700000,421500000,6139300000.0,2849200000.0,703500000.0,1438200000.0,1798800000.0,1993000000.0,FMC CORPORATION,37785,1.56,PA,0.034482758620689655,0.10622177621675866,0.3274803316338996,0.12841213746039484,0.0644954911040702,1.9810874704491725,1.4919343623974413,0.9025589563472153
5,2015,1/1/15,31/12/15,3276500000.0,498500000,-50200000,6325900000.0,2971900000.0,800200000.0,1453300000.0,2036300000.0,1908300000.0,FMC CORPORATION,37785,3.66,PA,0.07880301617161195,0.26122727034533355,0.40070187641284244,-0.015321226918968412,0.1521440561574851,2.044932223216129,1.4943232642950526,1.0670754074306974
6,2014,1/1/14,31/12/14,4037700000.0,322100000,545400000,5340500000.0,2934400000.0,636500000.0,1910400000.0,1153400000.0,1564000000.0,FMC CORPORATION,37785,2.3,PA,0.06031270480292107,0.2059462915601023,0.2762849920419436,0.1350769002154692,0.0797731381727221,1.5360134003350083,1.2028371021775544,0.7374680306905371
7,2013,1/1/13,31/12/13,3874800000.0,308000000,659000000,5235200000.0,2945000000.0,688400000.0,1986700000.0,1154100000.0,1519800000.0,FMC CORPORATION,37785,2.16,PA,0.05883251833740831,0.20265824450585604,0.2792825488997555,0.17007329410550223,0.07948797357282956,1.4823576785624402,1.1358534252780994,0.7593762337149625
8,2012,1/1/12,31/12/12,3748300000.0,435700000,658200000,4373900000.0,2181900000.0,675700000.0,1135500000.0,908800000.0,1480300000.0,FMC CORPORATION,37785,3.01,PA,0.09961361713802327,0.2943322299533878,0.3073915727382885,0.17559960515433662,0.11623936184403597,1.9215323645970939,1.3264641127256716,0.6139296088630682
9,2011,1/1/11,31/12/11,3377900000.0,382200000,587400000,3743500000.0,1869400000.0,470300000.0,919900000.0,779100000.0,1240600000.0,FMC CORPORATION,37785,2.57,PA,0.10209696807800187,0.3080767370627116,0.31021771069854415,0.1738950235353326,0.11314722164658515,2.0321774105881074,1.52092618762909,0.6280025793970659
10,2010,1/1/10,31/12/10,3116300000.0,184900000,387100000,3319900000.0,1646200000.0,347800000.0,963400000.0,503000000.0,1131500000.0,FMC CORPORATION,37785,1.19,PA,0.055694448627970725,0.16341140079540434,0.207205036296274,0.12421782241761063,0.05933318358309534,1.7087398795931077,1.3477268009134316,0.4445426425099426
11,2009,1/1/09,31/12/09,2826200000.0,228500000,334700000,3136200000.0,1487700000.0,350500000.0,709200000.0,588000000.0,1076400000.0,FMC CORPORATION,37785,3.15,PA,0.072858873796314,0.21228167967298403,0.2603469166507238,0.11842757058948411,0.08085061212936098,2.0977157360406093,1.6034968979131416,0.5462653288740246
12,2008,1/1/08,31/12/08,,304600000,500700000,2993900000.0,1432800000.0,380800000.0,759100000.0,592900000.0,902900000.0,FMC Corporation,37785,4.1,PA,0.10174020508367013,0.33735740392069996,0.299776211630315,,,1.887498353313134,1.3858516664471083,0.6566618673164248
13,2007,1/1/07,31/12/07,,132400000,228000000,,,,,,,FMC Corporation,37785,1.74,PA,,,,,,,,
