Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,31/12/20,1/1/20,799000,-10206000,-9609000,14522000,10342000,0,1814000,0,"YIELD10 BIOSCIENCE, INC.",1121702,9532000,-4.3,MA,-0.702795758,-1.07070919,-1.07070919,-12.02628285,-12.77346683,5.701212789,5.701212789,0
1,2019,31/12/19,1/1/19,806000,-12956000,-8596000,16718000,11684000,0,2207000,0,"YIELD10 BIOSCIENCE, INC.",1121702,-4085000,-35.5,MA,-0.774973083,3.171603427,3.171603427,-10.66501241,-16.07444169,5.294064341,5.294064341,0
2,2018,31/12/18,1/1/18,556000,-9185000,-9319000,12960000,6377000,0,1641000,0,"YIELD10 BIOSCIENCE, INC.",1121702,5698000,-36.99,MA,-0.708719136,-1.611969112,-1.611969112,-16.76079137,-16.51978417,3.886045094,3.886045094,0
3,2017,31/12/17,1/1/17,944000,-9396000,-9283000,16882000,14917000,0,2375000,0,"YIELD10 BIOSCIENCE, INC.",1121702,13502000,-3.29,MA,-0.556569127,-0.695896904,-0.695896904,-9.833686441,-9.953389831,6.280842105,6.280842105,0
4,2016,31/12/16,1/1/16,1159000,-7604000,-10248000,10748000,7860000,0,2758000,0,"YIELD10 BIOSCIENCE, INC.",1121702,6369000,-2.73,MA,-0.707480461,-1.193907992,-1.193907992,-8.842105263,-6.5608283,2.849891226,2.849891226,0
5,2015,31/12/15,1/1/15,1350000,-23681000,-12469000,17088000,14850000,51000,3910000,0,"YIELD10 BIOSCIENCE, INC.",1121702,13028000,-0.95,MA,-1.385826311,-1.817700338,-1.817700338,-9.236296296,-17.54148148,3.797953964,3.784910486,0
6,2014,31/12/14,1/1/14,2800000,-29534000,-26829000,23135000,21965000,586000,4189000,0,"YIELD10 BIOSCIENCE, INC.",1121702,18796000,-2.88,MA,-1.276593905,-1.571291764,-1.571291764,-9.581785714,-10.54785714,5.243494868,5.103604679,0
7,2013,31/12/13,1/1/13,5394000,-30506000,-28540000,26738000,25231000,1921000,6195000,0,"METABOLIX, INC.",1121702,20398000,-5.31,MA,-1.140923031,-1.495538778,-1.495538778,-5.291064145,-5.655543196,4.072800646,3.762711864,0
8,2012,31/12/12,1/1/12,42316000,3630000,3929000,53510000,48955000,3204000,5984000,0,"METABOLIX, INC.",1121702,47340000,0.11,MA,0.067837787,0.076679341,0.076679341,0.092849041,0.085783155,8.18098262,7.645554813,0
9,2011,31/12/11,1/1/11,1425000,-38785000,-38861000,82912000,78439000,0,7165000,0,"METABOLIX, INC.",1121702,39463000,-1.24,MA,-0.467785122,-0.98281935,-0.98281935,-27.27087719,-27.21754386,10.94752268,10.94752268,0
10,2010,31/12/10,1/1/10,448000,-38803000,-38939000,66771000,63256000,0,6395000,0,"METABOLIX, INC.",1121702,23676000,-1.45,MA,-0.581135523,-1.638917047,-1.638917047,-86.91741071,-86.61383929,9.891477717,9.891477717,0
11,2009,31/12/09,1/1/09,1425000,-37957000,-38729000,97554000,93353000,0,4562000,0,"METABOLIX, INC.",1121702,55044000,-1.62,MA,-0.38908707,-0.689575612,-0.689575612,-27.17824561,-26.63649123,20.46317405,20.46317405,0
12,2008,31/12/08,1/1/08,1555000,-36005000,-38892000,96946000,91841000,0,4610000,0,"METABOLIX, INC.",1121702,59091000,-1.58,MA,-0.371392321,-0.609314447,-0.609314447,-25.01093248,-23.15434084,19.92212581,19.92212581,0
13,2007,31/12/07,1/1/07,1683000,-27875000,-33816000,119004,111546000,0,4659000,0,,1121702,89202000,-1.27,MA,-234.235824,-0.312492993,-0.312492993,-20.09269162,-16.56268568,23.94204765,23.94204765,0
14,2006,31/12/06,1/1/06,4590000,-16062000,-17524000,127596000,123400000,0,3221000,0,,1121702,109588000,-2.96,MA,-0.125881689,-0.146567142,-0.146567142,-3.817864924,-3.499346405,38.31108351,38.31108351,0
15,2005,31/12/05,1/1/05,2781000,-7625000,-7024000,7325000,3759000,0,2973000,0,,1121702,-46558000,-2.56,MA,-1.040955631,0.163774217,0.163774217,-2.525710176,-2.741819489,1.264379415,1.264379415,0
