Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,38374000.0,-20168000.0,-17195000.0,81197000.0,34260000.0,6618000.0,24228000.0,11479000.0,"Marrone Bio Innovations, Inc.",1441693,31410000,-0.14,CA,-0.24838356096900133,-0.6420885068449539,-0.10701134278360037,-0.4480898525042998,-0.5255641840829729,1.4140663694898465,1.1409113422486379,0.36545686087233364
1,2019,1/1/19,31/12/19,29373000.0,-37175000.0,-27985000.0,72717000.0,21716000.0,8149000.0,21085000.0,11847000.0,"Marrone Bio Innovations, Inc.",1441693,23558000,-0.32,CA,-0.5112284610201191,-1.5780202054503778,-0.34830919867431276,-0.9527457188574541,-1.2656180846355496,1.0299264880246621,0.6434432060706663,0.502886492911113
2,2018,1/1/18,31/12/18,21220000.0,-20213000.0,-19504000.0,46567000.0,30136000.0,8224000.0,11319000.0,11819000.0,MARRONE BIO INNOVATIONS INC,1441693,12936000,-0.2,CA,-0.43406274829815106,-1.562538651824366,-0.18025640475014496,-0.9191328934967012,-0.9525447690857681,2.662426009364785,1.935860058309038,0.91365182436611
3,2017,1/1/17,31/12/17,18167000.0,-30925000.0,-22995000.0,36913000.0,19118000.0,9827000.0,22002000.0,24407000.0,MARRONE BIO INNOVATIONS INC,1441693,-50651000,-1.06,CA,-0.837780727656923,0.6105506307871513,-0.1765773575705036,-1.265756591622172,-1.7022623438102054,0.8689210071811654,0.422279792746114,-0.48186610333458374
4,2016,1/1/16,31/12/16,14042000.0,-31071000.0,-23660000.0,45983000.0,26875000.0,8482000.0,15249000.0,21083000.0,MARRONE BIO INNOVATIONS INC,1441693,-30184000,-1.26,CA,-0.6757062392623361,1.029386429896634,-0.21721070830524325,-1.6849451645064806,-2.2127189858994445,1.7624106498786807,1.2061774542592958,-0.6984826398091705
5,2015,1/1/15,31/12/15,9801000.0,-43728000.0,-39457000.0,71201000.0,35912000.0,9064000.0,12849000.0,21509000.0,MARRONE BIO INNOVATIONS INC,1441693,-2022000,-1.79,CA,-0.6141486776871111,21.626112759643917,-0.3120602238732602,-4.02581369248036,-4.461585552494643,2.794925675149817,2.08950112849249,-10.637487636003957
6,2014,1/1/14,31/12/14,9136000.0,-51659000.0,-48533000.0,77182000.0,54723000.0,12644000.0,31202000.0,9667000.0,MARRONE BIO INNOVATIONS INC,1441693,33231000,-2.32,CA,-0.669314088777176,-1.5545424453070928,-0.5440646782928662,-5.3122810858143605,-5.654443957968477,1.7538298826998269,1.348599448753285,0.29090307243236735
7,2013,1/1/13,31/12/13,8446000.0,-31242000.0,-31719000.0,69918000.0,59751000.0,12717000.0,15530000.0,12280000.0,MARRONE BIO INNOVATIONS INC,1441693,39031000,-3.74,CA,-0.4468377241911954,-0.8004406753606108,-0.2712034097085157,-3.7555055647643854,-3.6990291262135924,3.8474565357372827,3.028589826142949,0.31462171094770824
8,2012,1/1/12,31/12/12,7140000.0,-38794000.0,-23838000.0,33778000.0,27465000.0,4872000.0,38933000.0,7766000.0,MARRONE BIO INNOVATIONS INC,1441693,-74247000,-32.48,CA,-1.1484990230327432,0.522499225557935,-0.9185860619338031,-3.338655462184874,-5.433333333333334,0.7054426835846197,0.5803046258957697,-0.10459681872668256
9,2011,1/1/11,31/12/11,5251000.0,-13180000.0,-13124000.0,,,,,,MARRONE BIO INNOVATIONS INC,1441693,-34100000,-10.64,CA,,0.3865102639296188,,-2.4993334602932773,-2.509998095600838,,,
10,2010,1/1/10,31/12/10,,,,,,,,,MARRONE BIO INNOVATIONS INC,1441693,-21204000,,CA,,,,,,,,
