Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/10/19,30/9/20,92507000,23662000,6921000,"ALICO, INC.",3545,423937000.0,51899000.0,40855000.0,21158000.0,0.0,216341000.0,3.16,FL,0.05581489702479378,0.10937362774508762,0.05581489702479378,0.07481595987330689,0.2557860486233474,2.452925607335287,0.5219775025994896,0.0
1,2019,1/10/18,30/9/19,122251000,37833000,45214000,"ALICO, INC.",3545,417388000.0,61977000.0,40143000.0,28951000.0,158111000.0,194303000.0,5.06,FL,0.09064228008471734,0.1947113528869858,0.4694528831686584,0.3698456454343932,0.3094698611872296,2.1407550689095367,0.7541708403854789,0.8137342192349063
2,2018,1/10/17,30/9/18,81281000,13050000,10535000,"ALICO, INC.",3545,423422000.0,71061000.0,41033000.0,21476000.0,169074000.0,172117000.0,1.59,FL,0.03082031637468058,0.07582051743871901,0.4301240842469215,0.12961208646547165,0.16055412704075983,3.3088563978394485,1.3982119575339915,0.9823201659336381
3,2017,1/10/16,30/9/17,129829000,-9451000,-6094000,ALICO INC,3545,419182000.0,66489000.0,36204000.0,15983000.0,181926000.0,160641000.0,-1.14,FL,-0.02254629254118736,-0.05883305009306466,0.4114561216846143,-0.046938665475356044,-0.07279575441542337,4.159982481386473,1.8948257523618846,1.1325004201916073
4,2016,1/10/15,30/9/16,144196000,6993000,21846000,ALICO INC,3545,455445000.0,71871000.0,58469000.0,18678000.0,192726000.0,173490000.0,0.84,FL,0.015354214010473273,0.04030779872038734,0.4385139808319336,0.15150212211157035,0.04849649088740326,3.847895920334083,0.7175286433236964,1.1108767075912156
5,2015,1/10/14,30/9/15,153126000,13183000,18964000,ALICO INC,3545,460088000.0,70763000.0,58273000.0,24134000.0,200970000.0,170704000.0,1.64,FL,0.028653214167724435,0.07722724716468272,0.4654609552955087,0.12384572182385747,0.08609249898776171,2.932087511394713,0.5175271401342504,1.1773010591433124
6,2014,1/10/13,30/9/14,104003000,9495000,9383000,ALICO INC,3545,257580000.0,125712000.0,25469000.0,20670000.0,58444000.0,161851000.0,1.29,FL,0.03686233403214535,0.05866506848891882,0.26375883220746954,0.09021855138794073,0.09129544340067114,6.0818577648766325,4.849685534591195,0.3610975526873482
7,2013,1/10/12,30/9/13,101661000,19646000,11935000,ALICO INC,3545,198840000.0,59795000.0,29403000.0,11491000.0,34000000.0,142736000.0,2.69,FL,0.0988030577348622,0.1376387176325524,0.26979480989740495,0.11739998622874062,0.19325011558021266,5.203637629449134,2.6448524932555912,0.2382019952920076
8,2012,1/10/11,30/9/12,127187000,18489000,23742000,ALICO INC,3545,185083000.0,51467000.0,27290000.0,17148000.0,36633000.0,127546000.0,2.51,FL,0.09989572245965324,0.14495946560456618,0.29782313880799427,0.18667002130720908,0.14536863044179044,3.0013412642873805,1.4099020293911826,0.2872140247440139
9,2011,1/10/10,30/9/11,98592000,7097000,15237000,ALICO INC,3545,180035000.0,29181000.0,22373000.0,11827000.0,53879000.0,112414000.0,0.96,FL,0.039420112755853026,0.06313270589072535,0.3386896992251507,0.15454600778967867,0.07198352807530023,2.4673205377526,0.5756320284095713,0.47929083566103864
10,2010,1/10/09,30/9/10,79792000,-623000,3465000,ALICO INC,3545,188817000.0,37441000.0,18601000.0,7912000.0,72179000.0,105237000.0,-0.08,FL,-0.0032994910415905347,-0.005919971112821536,0.37897011391982716,0.043425406055744936,-0.007807800280729898,4.732178968655207,2.3811931243680484,0.6858709389283237
11,2009,1/10/08,30/9/09,89528000,-3649000,-7258000,ALICO INC,3545,200235000.0,51335000.0,18737000.0,12644000.0,73806000.0,106876000.0,-0.49,FL,-0.018223587284940196,-0.03414237059770201,0.350373311359153,-0.08106960950764007,-0.040758198552408184,4.060028472002531,2.5781398291679847,0.6905759946105767
12,2008,1/10/07,30/9/08,116382000,5603000,2579000,ALICO INC,3545,273932000.0,123130000.0,27451000.0,18200000.0,132288000.0,115493000.0,0.64,FL,0.0204539812800257,0.04851376273886729,0.5033767504344144,0.022159784159062397,0.04814318365382963,6.765384615384615,5.257087912087912,1.1454200687487552
13,2007,1/9/07,30/9/07,758000,-849000,-884000,ALICO INC,3545,285349000.0,135376000.0,27232000.0,25138000.0,134534000.0,116946000.0,-0.09,FL,-0.0029753039260694797,-0.0072597609152942385,0.4684964727403986,-1.16622691292876,-1.1200527704485488,5.385313071843425,4.302012888853529,1.1503941990320319
14,2007,1/9/06,31/8/07,132005000,-13690000,16958000,ALICO INC,3545,,,,,,,-1.86,FL,,,,0.12846483087761829,-0.10370819287148214,,,
15,2006,1/9/05,31/8/06,74164000,6791000,5351000,ALICO INC,3545,,,,,,,0.92,FL,,,,0.07215090879672079,0.09156733725257538,,,
