Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,entity.name,entity.cik,current_asset,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2018,1/1/18,31/12/18,66000,3715000,-6427000,30695000,TWO RIVERS WATER & FARMING Co,1302946,64000,0,20092000,9272000,-12970000,0.08,CO,0.12102948362925559,-0.2864302235929067,0.4230982244665255,-97.37878787878788,56.28787878787879,0.0031853474019510252,0.0031853474019510252,-0.7148804934464148
1,2017,1/1/17,31/12/17,692000,-12698000,-9070000,38152000,TWO RIVERS WATER & FARMING Co,1302946,70000,0,24777000,18657000,-19615000,-0.4,CO,-0.33282658838330886,0.6473617129747642,0.15619102537219542,-13.106936416184972,-18.34971098265896,0.0028252007910562213,0.0028252007910562213,-0.9511598266632679
2,2016,1/1/16,31/12/16,272000,-8119000,-3605000,47767000,TWO RIVERS WATER & FARMING Co,1302946,3180000,0,18916000,15538000,-9071000,-0.38,CO,-0.1699709004124186,0.8950501598500716,0.15531643184625368,-13.253676470588236,-29.84926470588235,0.16811165151194757,0.16811165151194757,-1.7129313195899019
3,2015,1/1/15,31/12/15,3438000,-3746000,-2232000,47889000,TWO RIVERS WATER & FARMING Co,1302946,6558000,0,15757000,14698000,31124000,-0.22,CO,-0.07822255632817557,-0.12035728055519856,0.2286955250683873,-0.6492146596858639,-1.089586969168121,0.41619597639144507,0.41619597639144507,0.4722400719701838
4,2014,1/1/14,31/12/14,2436000,-4666000,-3431000,43030000,TWO RIVERS WATER & FARMING Co,1302946,2128000,0,4249000,13370000,28695000,-0.24,CO,-0.1084359749012317,-0.16260672591043737,0.20227748082732977,-1.408456486042693,-1.9154351395730707,0.500823723228995,0.500823723228995,0.46593483185223905
5,2013,1/1/13,31/12/13,2091000,-5050000,-3103000,41702000,TWO RIVERS WATER & FARMING Co,1302946,2260000,0,3123000,15720000,25618000,-0.2,CO,-0.12109730948155964,-0.1971270200640175,0.25586302815212697,-1.483978957436633,-2.4151123864179818,0.723663144412424,0.723663144412424,0.6136310406745257
6,2012,1/1/12,31/12/12,1075000,-14549000,-7889000,44452000,TWO RIVERS WATER & FARMING Co,1302946,1647000,0,12106000,15346000,27978000,-0.61,CO,-0.3272968595338792,-0.5200157266423618,0.017929451993161163,-7.3386046511627905,-13.533953488372093,0.13604824054188006,0.13604824054188006,0.5485023947387233
7,2011,1/1/11,31/12/11,105000,-6147000,-6640000,35458000,TWO RIVERS WATER & FARMING Co,1302946,1064000,0,1158000,13540000,22196000,-0.27,CO,-0.1733600315866659,-0.27694179131375024,0.20850019741666195,-63.23809523809524,-58.542857142857144,0.918825561312608,0.918825561312608,0.6100198233916021
8,2010,1/1/10,31/12/10,196000,-9466000,-7607000,27198000,TWO RIVERS WATER Co,1302946,699000,0,577000,9128000,17493000,-0.67,CO,-0.3480402970806677,-0.5411307380094895,-0.012427384366497537,-38.81122448979592,-48.295918367346935,1.2114384748700173,1.2114384748700173,0.5218087234893958
9,2009,1/1/09,31/12/09,11000,-3100000,-2169000,11205000,Two Rivers Water Company,1302946,1757000,0,1266000,3125000,7764000,-0.33,CO,-0.2766622043730477,-0.39927872230808864,0.0022311468094600626,-197.1818181818182,-281.8181818181818,1.3878357030015798,1.3878357030015798,0.4024987120041216
10,2008,1/1/08,31/12/08,1439000,822000,-1858000,9350000,TWO RIVERS WATER & FARMING Co,1302946,3180000,0,1663000,1391000,7687000,0.02,CO,0.0879144385026738,0.10693378431117471,0.23668449197860963,-1.291174426685198,0.5712300208478109,1.9122068550811786,1.9122068550811786,0.1809548588526083
11,2007,1/1/07,31/12/07,844000,2301000,-910000,9423000,TWO RIVERS WATER Co,1302946,4714000,0,455000,286000,8968000,0.26,CO,0.24418974848774275,0.2565789473684211,0.2745410166613605,-1.0781990521327014,2.726303317535545,10.360439560439561,10.360439560439561,0.03189116859946477
