Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,1170156,-632365,-681883,4924941,4081283,1723674,2374549,187447,2550392,"NOCERA, INC.",1756180,-0.0538,GA,-0.12840052297073204,-0.24794815855758645,-0.09033976244588514,-0.5827282858012094,-0.5404108512027456,1.7187613310990846,0.9928660137146044,0.07349732903804591
1,2019,1/1/19,31/12/19,456860,-1256752,-1380469,3359189,2502640,287409,2596776,0,733341,"NOCERA, INC.",1756180,-0.1017,GA,-0.37412363519885306,-1.7137348109542492,-0.37412363519885306,-3.02164558070306,-2.750847086634855,0.9637488947833776,0.8530697295415546,0.0
2,2018,1/1/18,31/12/18,4812788,1791349,2501777,4241353,4182651,63401,2209041,0,1853326,"NOCERA, INC.",1756180,0.179,GA,0.4223531971991013,0.9665590403415265,0.4223531971991013,0.5198186581249787,0.37220608927715076,1.8934238884656283,1.8647231988903783,0.0
