Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,entity.name,entity.cik,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2021,1/7/20,30/6/21,84049036,-19170967,-20269261,151470976,87867936,63395256,S&W Seed Co,1477246,61095846,62777012,74393193,-0.55,CO,-0.12656528337151535,-0.25769786491083935,0.28788383194942907,-0.24115994620092965,-0.22809264582166058,1.4381982041790533,0.4005620938615041,0.843854248869248
1,2020,1/7/19,30/6/20,79582198,-19674324,-18763749,155955633,88403807,63882938,S&W Seed Co,1477246,52600276,16109345,81335977,-0.59,CO,-0.12615334003357223,-0.24188956382733315,-0.022858930654976725,-0.23577822014918462,-0.24722016348430084,1.6806719227100633,0.466173770647135,0.19805927947481347
2,2019,1/7/18,30/6/19,109722511,-9305242,-4993735,146364269,91645276,71295520,S&W Seed Co,1477246,33927538,13271597,99998212,-0.31,CO,-0.0635759127796416,-0.09305408380701848,0.027099202743259696,-0.04551240173495483,-0.08480704565720337,2.7012062001080066,0.5998005513986897,0.13271834300397292
3,2018,1/7/17,30/6/18,64085510,-4725090,-2993592,137767208,79881896,60419276,S&W Seed Co,1477246,42396217,13480099,81742124,-0.21,CO,-0.03429763924663408,-0.057804835117815145,0.06354929541723746,-0.0467124627704453,-0.07373101969540384,1.8841750904331864,0.45906501516397086,0.16491006521924975
4,2017,1/7/16,30/6/17,75373810,-11822042,-2408456,117100288,56724192,31489945,S&W Seed Co,1477246,51312931,11405819,61221655,-0.67,CO,-0.10095655785235985,-0.19310229362469863,-0.0035544148277414996,-0.031953486230827395,-0.1568454878425278,1.105456088641672,0.49177169396150844,0.18630366983708624
5,2016,1/7/15,30/6/16,96044254,365227,2043414,127004985,57588509,21846130,S&W Seed Co,1477246,41398096,18230035,67761444,0.02,CO,0.0028756902731022723,0.005389893993404273,0.1464136388032328,0.021275754820272746,0.0038026949535159074,1.3910907641742751,0.8633821951618258,0.26903256370982886
6,2015,1/7/14,30/6/15,81208903,-3163127,2385878,122343067,56869653,25521747,S&W Seed Co,1477246,42484189,22171466,51875605,-0.25,CO,-0.02585456681415384,-0.06097523103585973,0.15536915549125477,0.029379512736429896,-0.038950495366253134,1.3386074758305966,0.7378722940903968,0.4273967696376746
7,2014,1/7/13,30/6/14,51533643,373100,1061935,89300409,55440255,28485584,S&W Seed Co,1477246,33055677,4720395,51514235,0.03,CO,0.004178032376089117,0.007242658267176054,0.05703775668037534,0.020606635552623362,0.00723993062163294,1.6771780230064566,0.8154324293524529,0.09163282731462478
8,2013,1/7/12,30/6/13,37338258,-2516027,-3368268,85583219,51767558,25822467,S&W Seed Co,1477246,30234635,5415746,50057063,-0.29,CO,-0.02939860207875565,-0.05026317664701982,0.03388186415376594,-0.09020956467760226,-0.06738469159434272,1.7121939127097119,0.8581248293554726,0.10819144543098744
9,2012,1/7/11,30/6/12,14147617,374835,619614,22033695,17423189,6116785,S&W Seed Co,1477246,1903263,0,20130432,0.06,CO,0.01701189927517831,0.018620315748812545,0.01701189927517831,0.0437963510038475,0.026494567954447736,9.154378033934353,5.940536856966168,0.0
10,2011,1/7/10,30/6/11,2664256,-811448,-1498297,15157261,11617416,5664119,S&W Seed Co,1477246,594997,0,14562264,-0.14,CO,-0.05353526603520253,-0.055722654114772265,-0.05353526603520253,-0.5623697572605636,-0.30456832977011217,19.525167353784976,10.005591624831721,0.0
11,2010,1/1/00,30/6/10,6122291,384476,396293,15579134,12919957,2714183,S&W Seed Co,1477247,327607,0,15251527,0.11,CO,0.024678907056066145,0.025209016775828413,0.024678907056066145,0.06472952690422588,0.06279936709966906,39.43736550195814,31.15249063664696,0.0
