Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,1287552000.0,60937000,94201000,655354000.0,305062000.0,,219872000.0,77068000.0,79674000,THE DAVEY TREE EXPERT COMPANY,277638,2.77,OH,0.09298333419800596,0.7648291789040339,0.21058084638226057,0.07316287031514067,0.04732779724624714,1.3874526997525833,,0.9672917137334639
1,2019,1/1/19,31/12/19,1143720000.0,41050000,69956000,596924000.0,281425000.0,,165672000.0,143354000.0,59846000,THE DAVEY TREE EXPERT COMPANY,277638,1.79,OH,0.06876922355274709,0.6859272131804967,0.30892374908698594,0.06116532018326164,0.03589165180288882,1.6986877686030228,,2.3953814791297665
2,2018,1/1/18,31/12/18,1024791000.0,27358000,54937000,526623000.0,255068000.0,,139312000.0,155563000.0,41049000,THE DAVEY TREE EXPERT COMPANY,277638,1.12,OH,0.051949876856878636,0.666471777631611,0.3473471534665216,0.053608003973493135,0.02669617512253718,1.8309119099575055,,3.7896903700455553
3,2017,1/1/17,31/12/17,915958000.0,22120000,52191000,473135000.0,209125000.0,,128657000.0,117351000.0,36177000,THE DAVEY TREE EXPERT COMPANY,277638,0.87,OH,0.046751984106016255,0.6114382065953506,0.29478055945977366,0.056979686841536405,0.02414957891082342,1.6254459531933747,,3.2438013102247285
4,2016,1/1/16,31/12/16,845678000.0,22284000,48867000,423939000.0,178773000.0,,118905000.0,90117000.0,27978000,DAVEY TREE EXPERT CO,277638,0.85,OH,0.05256416607106211,0.796482950889985,0.26513484251272,0.05778440493899569,0.02635045490127448,1.5034943862747572,,3.2209950675530776
5,2015,1/1/15,31/12/15,821904000.0,21798000,44108000,393586000.0,160934000.0,,111950000.0,84633000.0,14450000,DAVEY TREE EXPERT CO,277638,0.81,OH,0.05538306748715655,1.5085121107266437,0.2704135817839049,0.053665634915999925,0.026521345558605386,1.437552478785172,,5.856955017301038
6,2014,1/1/14,31/12/14,789911000.0,23169000,44003000,381004000.0,158269000.0,,108353000.0,81306000.0,12824000,DAVEY TREE EXPERT CO,277638,0.84,OH,0.06081038519280638,1.806690580162196,0.2742097195829965,0.0557062757703083,0.02933115249692687,1.4606794458852086,,6.340143480973175
7,2013,1/1/13,31/12/13,713848000.0,22853000,40789000,333378000.0,152016000.0,,105271000.0,50034000.0,131138000,DAVEY TREE EXPERT CO,277638,1.61,OH,0.06854981432488047,0.1742668029099117,0.21863170335175086,0.0571396151561677,0.03201381806771189,1.4440444186908075,,0.38153700681724595
8,2012,1/1/12,31/12/12,680153000.0,24595000,45767000,330932000.0,161749000.0,,98541000.0,54787000.0,118106000,DAVEY TREE EXPERT CO,277638,1.74,OH,0.07432040419179771,0.20824513572553469,0.23987405267547413,0.0672892716785782,0.03616098142623792,1.64143858901371,,0.4638799044925745
9,2011,1/1/11,31/12/11,646034000.0,14065000,32801000,303734000.0,130536000.0,,102035000.0,51136000.0,100726000,DAVEY TREE EXPERT CO,277638,1.0,OH,0.046306965963639236,0.1396362408911304,0.21466480538892585,0.050772869539374085,0.02177129996254067,1.2793257215661293,,0.5076742846931279
10,2010,1/1/10,31/12/10,591732000.0,14053000,29612000,288307000.0,115875000.0,,90042000.0,31591000.0,98369000,DAVEY TREE EXPERT CO,277638,0.97,OH,0.04874318001297228,0.14286004737264787,0.15831734921455254,0.0500429248375954,0.023748926879060116,1.2868994469247685,,0.32114792261789793
11,2009,1/1/00,31/12/09,,14377000,27811000,,,,,,97223000,DAVEY TREE EXPERT CO,277638,0.97,OH,,0.1478765312734641,,,,,,
