name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
DilutedNIAvailtoComStockholders,"-3,247,000,000","-3,247,000,000","7,384,000,000","1,112,000,000","2,194,240,848","-1,430,703,195","2,693,245,657","242,739,781","1,013,815,705","719,023,262","1,076,414,897","1,048,069,740","658,973,622","444,107,873","398,895,873.077","240,360,401.51","224,337,521.003","133,126,360.616","3,283,337.8","-19,063,573.876","-29,577,000","-26,173,000"
BasicEPS,,,"12.348","2.031","4.039","-3.023","8.293","0.885","3.793","2.609","3.74","3.703","2.453","1.665","1.513","0.929","0.883","0.541","0.039","-0.124","-0.408","-0.379"
DilutedEPS,,,"11.503","1.959","3.821","-3.023","7.106","0.794","3.329","2.49","3.538","3.486","2.336","1.613","1.459","0.903","0.864","0.529","0.029","-0.124","-0.408","-0.379"
BasicAverageShares,,,"567,871,968","547,227,408","530,406,464","473,332,656","302,381,584","274,313,360","263,244,808","273,894,088","287,816,504","283,083,608","268,738,672","266,822,760","263,419,632","258,743,984","254,099,352","245,699,728","84,847,656","152,331,168","72,581,595","69,103,630"
DilutedAverageShares,,,"641,952,112","567,396,984","574,207,144","473,332,656","379,001,984","305,662,864","304,558,728","288,726,280","304,247,792","300,616,448","282,002,680","275,396,392","272,971,120","266,145,760","259,529,048","252,037,616","114,844,360","152,331,168","72,581,595","69,103,630"
TotalOperatingIncomeAsReported,"-1,423,000,000","-1,423,000,000","5,040,000,000","2,605,000,000","2,926,170,544","-1,568,478,486","381,042,945","-150,797,144","838,441,684","654,605,812","1,065,994,170","1,054,125,287","687,366,222","461,206,876","40,490,568.204","255,000,121.988","219,592,063.026","135,669,946.376","58,085,402.721","23,272,886.497","-19,652,000","-31,740,000"
TotalExpenses,"19,739,000,000","19,739,000,000","30,626,000,000","28,360,000,000","23,853,460,474","20,796,918,300","10,516,525,116","7,497,715,513","4,548,303,858","3,504,185,437","2,432,090,458","1,827,108,210","1,300,640,736","1,020,797,756","1,160,343,319.468","524,291,806.078","301,845,777.185","198,150,301.714","115,091,458.854","76,787,610.807","63,636,000","38,193,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-3,247,000,000","-3,247,000,000","7,011,000,000","1,112,000,000","2,142,011,537","-1,430,703,195","2,507,655,884","242,739,781","998,319,684","714,405,864","1,076,414,897","1,048,069,740","658,973,622","444,107,873","398,895,873.077","240,360,401.51","224,337,521.003","133,126,360.616","53,822,941.895","14,195,210.194","-15,261,000","-23,977,000"
NormalizedIncome,"-2,446,000,000","-2,446,000,000","4,687,920,000","2,379,500,000","1,787,527,002.68","-1,230,377,382.75","569,699,709.44","205,576,011.25","979,682,795.1","690,496,677.45","982,704,656.031","966,009,882.62","608,628,714.279","399,495,884.855","368,041,206.602","230,795,721.983","204,148,678.902","129,040,446.338","49,550,184.243","14,135,310.007","-15,261,000","-23,977,000"
InterestIncome,"2,187,000,000","2,187,000,000","2,094,000,000","1,899,000,000","987,610,015","567,144,610","445,767,036","304,583,544","200,068,533","165,799,964","106,002,655","37,585,865","17,392,472","31,100,097",,"15,619,258.023","12,665,835.976",,"400,629.347",,,
InterestExpense,"1,716,000,000","1,716,000,000","1,677,000,000","1,508,000,000","1,286,284,010","731,922,838","302,425,829","162,354,675","57,043,756",,,,,,,,,,,,,
NetInterestIncome,"471,000,000","471,000,000","417,000,000","391,000,000","-298,673,995","-266,752,022","82,190,500","92,515,614","143,024,777","165,799,964","106,002,655","37,585,865","17,392,472","31,100,097",,"15,619,258.023","12,665,835.976",,"400,629.347",,,
EBIT,"491,000,000","491,000,000","10,764,000,000","3,429,000,000","4,792,778,696","-1,028,182,163","3,307,789,811","297,792,835","1,201,632,591","654,605,812","1,065,994,170","1,054,125,287","821,921,240","567,541,040","128,784,316.149","309,029,490.73","219,592,063.026","135,669,946.376","58,085,402.721","23,272,886.497","-19,652,000","-31,740,000"
EBITDA,"2,057,000,000"
ReconciledCostOfRevenue,"4,031,000,000","4,031,000,000","7,372,000,000","6,324,000,000","4,678,209,103","4,729,750,192","3,043,439,819","2,100,606,413","1,386,767,067","1,037,791,093","805,129,784","625,261,342","450,602,773","326,610,463","236,565,446.145","153,002,357.86","88,663,556.455","42,194,376.246","20,525,391.468","10,440,869.127","7,940,000","1,950,000"
ReconciledDepreciation,"1,566,000,000","1,566,000,000","1,450,000,000","982,000,000","883,201,662","718,835,720","316,214,010","182,121,001","121,040,782","99,001,189","89,876,523","9,742,475","8,135,635","2,625,968","26,316,543.395","14,202,241.74","8,836,623.367","6,773,828.026","5,521,385.321","3,587,049.348",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-3,247,000,000","-3,247,000,000","7,011,000,000","1,112,000,000","2,142,011,537","-1,430,703,195","2,507,655,884","242,739,781","998,319,684","714,405,864","1,076,414,897","1,048,069,740","658,973,622","444,107,873","398,895,873.077","240,360,401.51","224,337,521.003","133,126,360.616","53,822,941.895","14,195,210.194","-15,261,000","-23,977,000"
TotalUnusualItemsExcludingGoodwill,"-1,068,000,000","-1,068,000,000","2,868,000,000","-1,690,000,000","562,673,864","-267,101,083","2,307,090,684","49,551,693","25,184,985","34,650,995","117,623,725","99,125,516","60,801,280","54,944,595","35,347,930.68","11,204,321.32","22,938,428.2","4,469,977.49","5,094,092.053","99,833.645",,
TotalUnusualItems,"-1,068,000,000","-1,068,000,000","2,868,000,000","-1,690,000,000","562,673,864","-267,101,083","2,307,090,684","49,551,693","25,184,985","34,650,995","117,623,725","99,125,516","60,801,280","54,944,595","35,347,930.68","11,204,321.32","22,938,428.2","4,469,977.49","5,094,092.053","99,833.645",,
NormalizedEBITDA,"3,125,000,000","3,125,000,000","9,346,000,000","6,101,000,000","5,113,306,494","-42,245,360","1,316,913,137","430,362,143","1,297,488,388","718,956,006","1,038,246,968","964,742,246","769,255,595","515,222,413","119,752,928.863","312,027,411.15","205,490,258.193","137,973,796.912","58,512,695.99","26,760,102.2","-19,652,000","-31,740,000"
TaxRateForCalcs,"0.25","0.25","0.19","0.25","0.37","0.25","0.16","0.25","0.26","0.31","0.203","0.172","0.172","0.188","0.127","0.146","0.12","0.086","0.161","0.4","0.133","0.228"
TaxEffectOfUnusualItems,"-267,000,000","-267,000,000","544,920,000","-422,500,000","208,189,329.68","-66,775,270.75","369,134,509.44","12,387,923.25","6,548,096.1","10,741,808.45","23,913,484.031","17,065,658.62","10,456,372.279","10,332,606.855","4,493,264.206","1,639,641.793","2,749,586.099","384,063.211","821,334.4","39,933.458","0","0"
