name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
	InterestExpenseNonOperating,"204,000,000","192,000,000","162,000,000","170,000,000","156,000,000","136,000,000","125,000,000","113,000,000","131,000,000","132,000,000","152,000,000","167,000,000","114,000,000","80,000,000",,,,,,,
OtherIncomeExpense,,"-165,000,000","10,000,000","-197,000,000","-285,000,000","-4,000,000","4,000,000","-39,000,000","-123,000,000","-115,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000",,"5,000,000",,
	SpecialIncomeCharges,"-144,000,000","-179,000,000","-13,000,000","-235,000,000","-312,000,000","-26,000,000","-13,000,000","-46,000,000","-129,000,000","-123,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000","0","0",,
		RestructuringAndMergernAcquisition,"36,000,000","39,000,000","54,000,000","239,000,000","66,000,000","15,000,000","6,000,000","11,000,000","10,000,000","7,000,000","6,000,000","9,000,000","47,000,000","79,000,000","16,000,000",,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,"8,000,000",,"57,000,000","4,000,000","15,000,000","1,426,000,000",,,,,,,
		WriteOff,"42,000,000","52,000,000","27,000,000","-4,000,000","246,000,000",,,,"8,000,000","8,000,000",,,,,,,,,,,
		OtherSpecialCharges,"66,000,000","88,000,000",,,,"11,000,000",,,"111,000,000","108,000,000","-11,000,000","-7,000,000","-6,000,000","-11,000,000","-7,000,000",,,,,,
		GainOnSaleOfBusiness,,"0","68,000,000","-223,000,000","-51,000,000",,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,"0","-7,000,000","-35,000,000",,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"14,000,000","23,000,000","38,000,000","27,000,000","22,000,000","17,000,000","7,000,000","6,000,000","8,000,000",,,,,,,,,,,
