name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalRevenue,"131,334,000","131,334,000","524,876,000","530,614,000","523,940,000","411,162,000","421,711,000"
	OperatingRevenue,"131,334,000","131,334,000","524,876,000","530,614,000","523,940,000","411,162,000","421,711,000"
CostOfRevenue,"85,518,000","85,518,000","179,565,000","172,110,000","142,479,000","126,675,000","154,213,000"
GrossProfit,"45,816,000","45,816,000","345,311,000","358,504,000","381,461,000","284,487,000","267,498,000"
OperatingExpense,"219,057,000","219,057,000","354,231,000","312,751,000","310,222,000","249,400,000","321,865,000"
	SellingGeneralAndAdministration,"152,014,000","152,014,000","280,856,000","241,597,000","238,914,000","186,149,000","248,330,000"
		GeneralAndAdministrativeExpense,"94,722,000","94,722,000","92,962,000","67,240,000","72,626,000","64,683,000","78,181,000"
			OtherGandA,"94,722,000","94,722,000","92,962,000","67,240,000","72,626,000","64,683,000","78,181,000"
		SellingAndMarketingExpense,"57,292,000","57,292,000","187,894,000","174,357,000","166,288,000","121,466,000","170,149,000"
	ResearchAndDevelopment,"67,043,000","67,043,000","73,375,000","71,154,000","71,308,000","63,251,000","73,535,000"
OperatingIncome,"-173,241,000","-173,241,000","-8,920,000","45,753,000","71,239,000","35,087,000","-54,367,000"
NetNonOperatingInterestIncomeExpense,"-8,869,000","-8,869,000","-17,215,000","-19,167,000","-16,879,000","-6,752,000","-12,905,000"
	InterestIncomeNonOperating,"3,857,000","3,857,000","7,944,000","7,621,000","2,389,000","8,327,000","10,797,000"
	InterestExpenseNonOperating,"5,471,000","5,471,000","25,159,000","26,788,000","19,268,000","15,079,000","23,702,000"
	TotalOtherFinanceCost,"7,255,000","7,255,000","17,215,000",,"16,879,000",,
OtherIncomeExpense,"17,803,000","17,803,000",,"-363,000",,,
	GainOnSaleOfSecurity,"21,779,000","21,779,000",,,,,
	EarningsFromEquityInterest,"-2,059,000","-2,059,000",,,,,
	SpecialIncomeCharges,"-1,917,000","-1,917,000","0","-363,000",,,
		ImpairmentOfCapitalAssets,"1,917,000","1,917,000","0","363,000",,,
PretaxIncome,"-164,307,000","-164,307,000","-26,135,000","26,223,000","54,360,000","28,335,000","-67,272,000"
TaxProvision,"-21,438,000","-21,438,000","-5,225,000","7,069,000","11,994,000","10,538,000","18,004,000"
NetIncomeCommonStockholders,"-142,587,000","-142,587,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
	NetIncome,"-142,587,000","-142,587,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
		NetIncomeIncludingNoncontrollingInterests,"-142,869,000","-142,869,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
			NetIncomeContinuousOperations,"-142,869,000","-142,869,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
		MinorityInterests,"282,000","282,000",,,,,
DilutedNIAvailtoComStockholders,"-142,587,000","-142,587,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
BasicEPS,,,"-0.3","0.28","0.69","0.265","-1.269"
DilutedEPS,,,"-0.3","0.27","0.69","0.258","-1.269"
BasicAverageShares,,,"69,465,000","69,235,699","61,457,000","67,182,110","67,182,110"
DilutedAverageShares,,,"70,615,000","69,235,699","61,548,000","69,097,610","69,097,610"
TotalOperatingIncomeAsReported,"-177,217,000","-177,217,000","-8,920,000","45,390,000","71,239,000","35,087,000","-54,367,000"
TotalExpenses,"304,575,000","304,575,000","533,796,000","484,861,000","452,701,000","376,075,000","476,078,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-142,587,000","-142,587,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
NormalizedIncome,"-159,866,940","-159,866,940","-20,910,000","19,418,990","42,366,000","17,797,000","-85,276,000"
InterestIncome,"3,857,000","3,857,000","7,944,000","7,621,000","2,389,000","8,327,000","10,797,000"
InterestExpense,"5,471,000","5,471,000","25,159,000","26,788,000","19,268,000","15,079,000","23,702,000"
NetInterestIncome,"-8,869,000","-8,869,000","-17,215,000","-19,167,000","-16,879,000","-6,752,000","-12,905,000"
EBIT,"-158,836,000","-158,836,000","-976,000","53,011,000","73,628,000","43,414,000","-43,570,000"
EBITDA,"-125,739,000"
ReconciledCostOfRevenue,"85,518,000","85,518,000","179,565,000","172,110,000","142,479,000","126,675,000","154,213,000"
ReconciledDepreciation,"33,097,000","33,097,000","26,719,000","15,125,000","13,826,000","12,924,000","14,439,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-142,587,000","-142,587,000","-20,910,000","19,154,000","42,366,000","17,797,000","-85,276,000"
TotalUnusualItemsExcludingGoodwill,"19,862,000","19,862,000","0","-363,000",,,
TotalUnusualItems,"19,862,000","19,862,000","0","-363,000",,,
NormalizedEBITDA,"-145,601,000","-145,601,000","25,743,000","68,499,000","87,454,000","56,338,000","-29,131,000"
TaxRateForCalcs,"0.13","0.13","0.2","0.27","0.22","0.372","0.34"
TaxEffectOfUnusualItems,"2,582,060","2,582,060","0","-98,010","0","0","0"
