name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"5,199,000,000","5,199,000,000","12,067,000,000","11,223,000,000","10,059,844,000","8,773,564,000","6,672,317,000","5,763,485,000","4,771,259,000","4,030,347,000","3,449,009,000","3,348,109,000","2,955,426,000","2,937,013,000","2,665,332,000","2,237,586,000","2,119,455,000","1,843,013,000","2,339,813,000","1,499,075,000","536,497,000"
	OperatingRevenue,"5,199,000,000","5,199,000,000","12,067,000,000","11,223,000,000","10,059,844,000","8,773,564,000","6,672,317,000","5,763,485,000","4,771,259,000","4,030,347,000","3,449,009,000","3,348,109,000","2,955,426,000","2,937,013,000","2,665,332,000","2,237,586,000","2,119,455,000","1,843,013,000","2,339,813,000","1,499,075,000","536,497,000"
CostOfRevenue,"1,680,000,000","1,680,000,000","2,163,000,000","1,965,000,000","1,756,531,000","1,596,698,000","1,309,559,000","1,179,081,000","1,038,034,000","898,604,000","761,272,000","692,832,000","607,251,000","634,744,000","562,401,000","502,638,000","470,716,000","412,701,000","1,199,414,000",,
GrossProfit,"3,519,000,000","3,519,000,000","9,904,000,000","9,258,000,000","8,303,313,000","7,176,866,000","5,362,758,000","4,584,404,000","3,733,225,000","3,131,743,000","2,687,737,000","2,655,277,000","2,348,175,000","2,302,269,000","2,102,931,000","1,734,948,000","1,648,739,000","1,430,312,000","1,140,399,000",,
OperatingExpense,"5,046,000,000","5,046,000,000","8,943,000,000","8,475,000,000","7,636,025,000","6,597,869,000","4,948,908,000","3,999,471,000","3,222,774,000","2,582,994,000","2,208,128,000","1,917,820,000","1,742,593,000","1,735,222,000","1,573,862,000","1,383,619,000","1,251,687,000","1,189,839,000","885,217,000",,"520,686,000"
	SellingGeneralAndAdministration,"3,143,000,000","3,143,000,000","6,982,000,000","6,575,000,000","5,973,793,000","5,045,709,000","3,954,999,000","3,233,702,000","2,573,223,000","2,066,391,000","1,805,204,000","1,518,250,000","1,317,546,000","1,456,834,000","1,313,810,000","1,075,844,000","909,018,000","845,057,000","643,807,000",,
		GeneralAndAdministrativeExpense,"597,000,000","597,000,000","847,000,000","808,000,000","675,961,000","678,292,000","573,913,000","425,373,000","377,078,000","345,354,000","1,805,204,000","314,109,000","290,484,000","355,431,000",,,,,,,
			SalariesAndWages,"434,000,000","434,000,000","522,000,000","520,000,000",,,,,,,,,,,,,,,,,
			OtherGandA,"163,000,000","163,000,000","325,000,000","288,000,000","675,961,000","678,292,000","573,913,000","425,373,000","377,078,000","345,354,000","1,805,204,000","314,109,000","290,484,000","355,431,000",,,,,,,
		SellingAndMarketingExpense,"2,546,000,000","2,546,000,000","6,135,000,000","5,767,000,000","5,297,832,000","4,367,417,000","3,381,086,000","2,808,329,000","2,196,145,000","1,721,037,000","1,474,641,000","1,204,141,000","1,027,062,000","1,101,403,000",,,,,,,
	ResearchAndDevelopment,"1,010,000,000","1,010,000,000","1,763,000,000","1,617,000,000","1,386,787,000","1,235,019,000","830,244,000","686,154,000","577,820,000","484,898,000","380,999,000","362,447,000","319,708,000","208,952,000","182,483,000","140,371,000",,,,,
	DepreciationAmortizationDepletionIncomeStatement,"893,000,000","893,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","344,782,000","241,410,000",,
		DepreciationAndAmortizationInIncomeStatement,"893,000,000","893,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","344,782,000","241,410,000",,
			DepreciationIncomeStatement,"739,000,000","739,000,000",,,,,,,,,,,,,,,,"31,563,000","27,582,000",,
			Amortization,"154,000,000","154,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","313,219,000","213,828,000",,
				AmortizationOfIntangiblesIncomeStatement,"154,000,000","154,000,000","198,000,000","283,000,000","275,445,000","317,141,000","163,665,000","79,615,000","71,731,000","31,705,000","21,925,000","37,123,000","37,681,000","69,436,000","77,569,000","120,404,000","138,664,000","313,219,000","213,828,000",,
	OtherTaxes,,,,,,,,,,,,,"67,658,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,"208,952,000",,"47,000,000","204,005,000",,,,
OperatingIncome,"-1,527,000,000","-1,527,000,000","961,000,000","783,000,000","667,288,000","578,997,000","413,850,000","584,933,000","510,451,000","548,749,000","479,609,000","737,457,000","605,582,000","567,047,000","529,069,000","351,329,000","397,052,000","240,473,000","255,182,000","1,499,075,000","15,811,000"
NetNonOperatingInterestIncomeExpense,"-342,000,000","-342,000,000","-114,000,000","-119,000,000","-147,575,000","-153,422,000","-109,500,000","-70,801,000","-62,579,000","-61,392,000","-70,500,000","-94,131,000","-78,027,000","-41,573,000",,,,,,,
	InterestIncomeNonOperating,"18,000,000","18,000,000","59,000,000","71,000,000","34,137,000","19,726,000","16,695,000","27,288,000","24,779,000","26,396,000","20,218,000","7,160,000","6,206,000","30,411,000",,,,,,,
	InterestExpenseNonOperating,"360,000,000","360,000,000","173,000,000","190,000,000","181,712,000","173,148,000","126,195,000","98,089,000","87,358,000","87,788,000","90,718,000","101,291,000","84,233,000","71,984,000",,,,,,,
OtherIncomeExpense,"-1,282,000,000","-1,282,000,000","-72,000,000","-179,000,000","-102,949,000","-148,975,000","621,612,000","-49,491,000","-147,179,000","-137,300,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-18,607,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,
	GainOnSaleOfSecurity,"-71,000,000","-71,000,000","-26,000,000","-108,000,000","-59,932,000","-15,244,000","24,787,000","6,069,000","-473,000","-16,179,000",,,,,,,,,,,
	EarningsFromEquityInterest,,,,,"232,000","-1,490,000","-13,000","2,743,000","-2,315,000","-5,163,000",,,,,"-2,614,000",,,,,,
	SpecialIncomeCharges,"-1,205,000,000","-1,205,000,000","-58,000,000","-69,000,000","-40,472,000","-129,412,000","585,926,000","-64,386,000","-144,391,000","-117,025,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-15,993,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,
		RestructuringAndMergernAcquisition,"231,000,000","231,000,000","24,000,000","0","16,738,000","55,907,000","104,871,000","25,630,000","66,472,000",,"0","0",,,,,,"0","11,664,000",,
		ImpairmentOfCapitalAssets,"974,000,000","974,000,000","0","128,000,000","0","34,890,000",,,,,,,"0","2,996,000,000",,,,,,,
		WriteOff,,,,,,"12,117,000",,,,,,,,,,,,,,,
		OtherSpecialCharges,"-13,000,000","-13,000,000","34,000,000","-59,000,000","25,412,000","26,498,000","-104,587,000","41,539,000","77,919,000","117,025,000","7,037,000","22,758,000","69,532,000","44,178,000",,,,"9,252,000","7,729,000",,
		GainOnSaleOfBusiness,"-13,000,000","-13,000,000",,,"1,678,000","0","586,210,000","2,783,000",,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-6,000,000","-6,000,000","12,000,000","-2,000,000","-2,777,000","-2,829,000","10,912,000","6,083,000","-2,788,000","1,067,000",,,,,,,,,,,
PretaxIncome,"-3,151,000,000","-3,151,000,000","775,000,000","485,000,000","416,764,000","276,600,000","925,962,000","464,641,000","300,693,000","350,057,000","402,072,000","620,568,000","458,023,000","-2,514,704,000","496,984,000","384,898,000","413,871,000","269,543,000","255,498,000",,
TaxProvision,"-423,000,000","-423,000,000","203,000,000","87,000,000","45,405,000","15,315,000","203,214,000","91,691,000","84,335,000","47,078,000","75,731,000","195,008,000","154,400,000","5,966,000","203,114,000","139,451,000","185,977,000","106,371,000","97,202,000",,
NetIncomeCommonStockholders,"-2,687,000,000","-2,687,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","280,171,000","472,294,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000"
	NetIncome,"-2,612,000,000","-2,612,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","280,171,000","472,294,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000"
		NetIncomeIncludingNoncontrollingInterests,"-2,728,000,000","-2,728,000,000","572,000,000","398,000,000","371,359,000","261,285,000","722,748,000","372,950,000","216,358,000","280,440,000","474,603,000","425,560,000","303,623,000","-2,520,670,000","293,870,000","245,447,000","227,894,000","163,172,000","158,296,000","76,713,000","8,901,000"
